Wavelength (nm),Sum(calc),Al I (3.9e-2),Al II (7.6e-1),Al III (5.6e-4),Si I (2.2e-2),Si II (1.8e-1),Si III (1.5e-4)
199.975,1.329e-22,,,,,,1.329e-22
199.980,3.372e-21,,,,,,3.372e-21
199.985,7.554e-20,,,,,,7.554e-20
199.990,1.494e-18,,,,,,1.494e-18
199.995,2.607e-17,,,,,,2.607e-17
200.000,4.015e-16,,,,,,4.015e-16
200.005,5.458e-15,,,,,,5.458e-15
200.010,6.550e-14,,,,,,6.550e-14
200.015,6.936e-13,,,,,,6.936e-13
200.020,6.484e-12,,,,,,6.484e-12
200.025,5.349e-11,,,,,,5.349e-11
200.030,3.895e-10,,,,,,3.895e-10
200.035,2.503e-9,,,,,,2.503e-9
200.040,1.420e-8,,,,,,1.420e-8
200.045,7.110e-8,,,,,,7.110e-8
200.050,3.142e-7,,,,,,3.142e-7
200.055,1.225e-6,,,,,,1.225e-6
200.060,4.218e-6,,,,,,4.218e-6
200.065,1.282e-5,,,,,,1.282e-5
200.070,3.437e-5,,,,,,3.437e-5
200.075,8.135e-5,,,,,,8.135e-5
200.080,1.699e-4,,,,,,1.699e-4
200.085,3.134e-4,,,,,,3.134e-4
200.090,5.099e-4,,,,,,5.099e-4
200.095,7.325e-4,,,,,,7.325e-4
200.100,9.286e-4,,,,,,9.286e-4
200.105,1.039e-3,,,,,,1.039e-3
200.110,1.026e-3,,,,,,1.026e-3
200.115,8.944e-4,,,,,,8.944e-4
200.120,6.881e-4,,,,,,6.881e-4
200.125,4.673e-4,,,,,,4.673e-4
200.130,2.800e-4,,,,,,2.800e-4
200.135,1.481e-4,,,,,,1.481e-4
200.140,6.916e-5,,,,,,6.916e-5
200.145,2.850e-5,,,,,,2.850e-5
200.150,1.037e-5,,,,,,1.037e-5
200.155,3.327e-6,,,,,,3.327e-6
200.160,9.428e-7,,,,,,9.428e-7
200.165,2.358e-7,,,,,,2.358e-7
200.170,5.203e-8,,,,,,5.203e-8
200.175,1.014e-8,,,,,,1.014e-8
200.180,1.743e-9,,,,,,1.743e-9
200.185,2.645e-10,,,,,,2.645e-10
200.190,3.543e-11,,,,,,3.543e-11
200.195,4.188e-12,,,,,,4.188e-12
200.200,4.370e-13,,,,,,4.370e-13
200.205,4.025e-14,,,,,,4.025e-14
200.210,3.271e-15,,,,,,3.271e-15
200.215,2.347e-16,,,,,,2.347e-16
200.220,1.486e-17,,,,,,1.486e-17
200.225,8.306e-19,,,,,,8.306e-19
200.230,4.097e-20,,,,,,4.097e-20
200.235,1.784e-21,,,,,,1.784e-21
200.365,6.797e-14,,,,,6.797e-14,1.561e-21
200.370,1.621e-12,,,,,1.621e-12,1.552e-21
200.375,3.414e-11,,,,,3.414e-11,1.544e-21
200.380,6.350e-10,,,,,6.350e-10,1.535e-21
200.385,1.043e-8,,,,,1.043e-8,1.526e-21
200.390,1.512e-7,,,,,1.512e-7,1.518e-21
200.395,1.936e-6,,,,,1.936e-6,1.509e-21
200.400,2.190e-5,,,,,2.190e-5,1.501e-21
200.405,2.186e-4,,,,,2.186e-4,1.492e-21
200.410,1.928e-3,,,,,1.928e-3,1.484e-21
200.415,1.501e-2,,,,,1.501e-2,1.475e-21
200.420,1.032e-1,,,,,1.032e-1,1.466e-21
200.425,6.265e-1,,,,,6.265e-1,1.458e-21
200.430,3.359e+0,,,,,3.359e+0,1.449e-21
200.435,1.590e+1,,,,,1.590e+1,1.441e-21
200.440,6.647e+1,,,,,6.647e+1,1.432e-21
200.445,2.454e+2,,,,,2.454e+2,1.423e-21
200.450,7.999e+2,,,,,7.999e+2,1.415e-21
200.455,2.302e+3,,,,,2.302e+3,1.406e-21
200.460,5.852e+3,,,,,5.852e+3,1.398e-21
200.465,1.314e+4,,,,,1.314e+4,1.389e-21
200.469,2.293e+4,,,,,2.293e+4,1.382e-21
200.474,4.115e+4,,,,,4.115e+4,1.374e-21
200.479,6.519e+4,,,,,6.519e+4,1.365e-21
200.484,9.121e+4,,,,,9.121e+4,1.357e-21
200.489,1.127e+5,,,,,1.127e+5,1.348e-21
200.494,1.229e+5,,,,,1.229e+5,1.339e-21
200.499,1.184e+5,,,,,1.184e+5,1.331e-21
200.504,1.008e+5,,,,,1.008e+5,1.322e-21
200.509,7.569e+4,,,,,7.569e+4,1.314e-21
200.514,5.021e+4,,,,,5.021e+4,1.305e-21
200.519,2.941e+4,,,,,2.941e+4,1.297e-21
200.524,1.521e+4,,,,,1.521e+4,1.288e-21
200.529,6.948e+3,,,,,6.948e+3,1.279e-21
200.534,2.802e+3,,,,,2.802e+3,1.271e-21
200.539,9.981e+2,,,,,9.981e+2,1.262e-21
200.544,3.139e+2,,,,,3.139e+2,1.254e-21
200.549,8.718e+1,,,,,8.718e+1,1.245e-21
200.554,2.138e+1,,,,,2.138e+1,1.237e-21
200.559,4.630e+0,,,,,4.630e+0,1.228e-21
200.564,8.853e-1,,,,,8.853e-1,1.219e-21
200.569,1.495e-1,,,,,1.495e-1,1.211e-21
200.574,2.229e-2,,,,,2.229e-2,1.202e-21
200.579,2.935e-3,,,,,2.935e-3,1.194e-21
200.584,3.413e-4,,,,,3.413e-4,1.185e-21
200.589,3.504e-5,,,,,3.504e-5,1.176e-21
200.594,3.177e-6,,,,,3.177e-6,1.168e-21
200.599,2.543e-7,,,,,2.543e-7,1.159e-21
200.604,1.798e-8,,,,,1.798e-8,1.151e-21
200.609,1.122e-9,,,,,1.122e-9,1.142e-21
200.614,6.187e-11,,,,,6.187e-11,1.134e-21
200.619,3.012e-12,,,,,3.012e-12,1.125e-21
200.624,1.295e-13,,,,,1.295e-13,1.116e-21
200.784,8.420e-22,,,,,1.072e-13,8.420e-22
200.789,1.982e-20,,,,,1.065e-13,1.982e-20
200.794,4.121e-19,,,,,1.058e-13,4.121e-19
200.799,7.572e-18,,,,,1.051e-13,7.572e-18
200.804,1.229e-16,,,,,1.044e-13,1.229e-16
200.809,1.762e-15,,,,,1.037e-13,1.762e-15
200.814,2.233e-14,,,,,1.030e-13,2.233e-14
200.819,2.500e-13,,,,,1.023e-13,2.500e-13
200.824,2.472e-12,,,,,1.016e-13,2.472e-12
200.829,2.160e-11,,,,,1.009e-13,2.160e-11
200.834,1.668e-10,,,,,1.002e-13,1.668e-10
200.839,1.137e-9,,,,,9.950e-14,1.137e-9
200.844,6.853e-9,,,,,9.881e-14,6.853e-9
200.849,3.648e-8,,,,,9.811e-14,3.648e-8
200.854,1.716e-7,,,,,9.741e-14,1.716e-7
200.859,7.131e-7,,,,,9.671e-14,7.131e-7
200.864,2.618e-6,,,,,9.602e-14,2.618e-6
200.869,8.493e-6,,,,,9.532e-14,8.493e-6
200.874,2.434e-5,,,,,9.462e-14,2.434e-5
200.879,6.162e-5,,,,,9.393e-14,6.162e-5
200.884,1.379e-4,,,,,9.323e-14,1.379e-4
200.889,2.724e-4,,,,,9.253e-14,2.724e-4
200.894,4.757e-4,,,,,9.184e-14,4.757e-4
200.899,7.339e-4,,,,,9.114e-14,7.339e-4
