Wavelength (nm),Sum(calc),Cu I (8.1e-2),Cu II (8.6e-1),Sn I (2.1e-3),Sn II (3.8e-2),Pb I (8.7e-4),Pb II (1.9e-2)
201.163,1.627e-11,,1.627e-11,,,,
201.168,4.280e-10,,4.280e-10,,,,
201.173,9.953e-9,,9.953e-9,,,,
201.178,2.046e-7,,2.046e-7,,,,
201.183,3.717e-6,,3.717e-6,,,,
201.188,5.970e-5,,5.970e-5,,,,
201.193,8.475e-4,,8.475e-4,,,,
201.198,1.063e-2,,1.063e-2,,,,
201.203,1.179e-1,,1.179e-1,,,,
201.208,1.156e+0,,1.156e+0,,,,
201.213,1.002e+1,,1.002e+1,,,,
201.218,7.676e+1,,7.676e+1,,,,
201.223,5.197e+2,,5.197e+2,,,,
201.228,3.110e+3,,3.110e+3,,,,
201.233,1.645e+4,,1.645e+4,,,,
201.238,7.693e+4,,7.693e+4,,,,
201.243,3.180e+5,,3.180e+5,,,,
201.248,1.162e+6,,1.162e+6,,,,
201.253,3.751e+6,,3.751e+6,,,,
201.258,1.071e+7,,1.071e+7,,,,
201.263,2.701e+7,,2.701e+7,,,,
201.268,6.024e+7,,6.024e+7,,,,
201.273,1.187e+8,,1.187e+8,,,,
201.278,2.069e+8,,2.069e+8,,,,
201.283,3.187e+8,,3.187e+8,,,,
201.288,4.338e+8,,4.338e+8,,,,
201.293,5.220e+8,,5.220e+8,,,,
201.298,5.553e+8,,5.553e+8,,,,
201.303,5.220e+8,,5.220e+8,,,,
201.308,4.338e+8,,4.338e+8,,,,
201.313,3.187e+8,,3.187e+8,,,,
201.318,2.069e+8,,2.069e+8,,,,
201.323,1.187e+8,,1.187e+8,,,,
201.329,5.182e+7,,5.182e+7,,,,
201.334,2.267e+7,,2.267e+7,,,,
201.339,8.767e+6,,8.767e+6,,,,
201.344,2.996e+6,,2.996e+6,,,,
201.349,9.053e+5,,9.053e+5,,,,
201.354,2.418e+5,,2.418e+5,,,,
201.359,5.707e+4,,5.707e+4,,,,
201.364,1.191e+4,,1.191e+4,,,,
201.369,2.196e+3,,2.196e+3,,,,
201.374,3.580e+2,,3.580e+2,,,,
201.379,5.159e+1,,5.159e+1,,,,
201.384,6.571e+0,,6.571e+0,,,,
201.389,7.398e-1,,7.398e-1,,,,
201.394,7.362e-2,,7.362e-2,,,,
201.399,6.476e-3,,6.476e-3,,,,
201.404,5.035e-4,,5.035e-4,,,,
201.409,3.460e-5,,3.460e-5,,,,
201.414,2.102e-6,,2.102e-6,,,,
201.419,1.129e-7,,1.129e-7,,,,
201.424,5.604e-9,,5.604e-9,,,,
201.429,6.278e-9,,6.278e-9,,,,
201.434,1.413e-7,,1.413e-7,,,,
201.439,2.812e-6,,2.812e-6,,,,
201.444,4.947e-5,,4.947e-5,,,,
201.449,7.697e-4,,7.697e-4,,,,
201.454,1.059e-2,,1.059e-2,,,,
201.459,1.288e-1,,1.288e-1,,,,
201.464,1.385e+0,,1.385e+0,,,,
201.469,1.317e+1,,1.317e+1,,,,
201.474,1.107e+2,,1.107e+2,,,,
201.479,8.233e+2,,8.233e+2,,,,
201.484,5.412e+3,,5.412e+3,,,,
201.489,3.146e+4,,3.146e+4,,,,
201.494,1.617e+5,,1.617e+5,,,,
