Wavelength (nm),Sum(calc),C I (6.9e-1),C II (3.1e-1),C III (8.0e-8)
199.884,2.139e-20,,2.139e-20,
199.889,6.017e-19,,6.017e-19,
199.894,1.494e-17,,1.494e-17,
199.899,3.273e-16,,3.273e-16,
199.904,6.328e-15,,6.328e-15,
199.909,1.080e-13,,1.080e-13,
199.914,1.626e-12,,1.626e-12,
199.919,2.161e-11,,2.161e-11,
199.924,2.534e-10,,2.534e-10,
199.929,2.623e-9,,2.623e-9,
199.934,2.396e-8,,2.396e-8,
199.939,1.932e-7,,1.932e-7,
199.944,1.374e-6,,1.374e-6,
199.949,8.628e-6,,8.628e-6,
199.954,4.780e-5,,4.780e-5,
199.959,2.338e-4,,2.338e-4,
199.964,1.009e-3,,1.009e-3,
199.969,3.842e-3,,3.842e-3,
199.974,1.291e-2,,1.291e-2,
199.979,3.830e-2,,3.830e-2,
199.984,1.003e-1,,1.003e-1,
199.989,2.316e-1,,2.316e-1,
199.994,4.723e-1,,4.723e-1,
199.999,8.497e-1,,8.497e-1,
200.004,1.349e+0,,1.349e+0,
200.009,1.891e+0,,1.891e+0,
200.014,2.338e+0,,2.338e+0,
200.019,2.552e+0,,2.552e+0,
200.024,2.458e+0,,2.458e+0,
200.029,2.090e+0,,2.090e+0,
200.034,1.568e+0,,1.568e+0,
200.039,1.038e+0,,1.038e+0,
200.044,6.064e-1,,6.064e-1,
200.049,3.127e-1,,3.127e-1,
200.054,1.423e-1,,1.423e-1,
200.059,5.714e-2,,5.714e-2,
200.064,2.025e-2,,2.025e-2,
200.069,6.334e-3,,6.334e-3,
200.074,1.748e-3,,1.748e-3,
200.079,4.259e-4,,4.259e-4,
200.084,9.156e-5,,9.156e-5,
200.089,1.737e-5,,1.737e-5,
200.094,2.909e-6,,2.909e-6,
200.099,4.298e-7,,4.298e-7,
200.104,5.605e-8,,5.605e-8,
200.109,6.451e-9,,6.451e-9,
200.114,6.552e-10,,6.552e-10,
200.119,5.872e-11,,5.872e-11,
200.124,4.645e-12,,4.645e-12,
200.129,3.243e-13,,3.243e-13,
200.134,1.998e-14,,1.998e-14,
200.139,1.086e-15,,1.086e-15,
200.144,5.213e-17,,5.213e-17,
200.149,2.207e-18,,2.207e-18,
200.798,7.055e-30,,3.870e-18,7.055e-30
200.803,1.926e-28,,3.883e-18,1.926e-28
200.808,4.643e-27,,3.896e-18,4.643e-27
200.813,9.891e-26,,3.909e-18,9.891e-26
200.818,1.862e-24,,3.921e-18,1.862e-24
200.823,3.096e-23,,3.934e-18,3.096e-23
200.828,4.549e-22,,3.947e-18,4.549e-22
200.833,5.905e-21,,3.960e-18,5.905e-21
200.838,6.773e-20,,3.973e-18,6.773e-20
200.843,6.863e-19,,3.985e-18,6.863e-19
200.848,6.145e-18,,3.998e-18,6.145e-18
200.853,4.861e-17,,4.011e-18,4.861e-17
200.858,3.398e-16,,4.024e-18,3.398e-16
200.863,2.098e-15,,4.037e-18,2.098e-15
200.868,1.145e-14,,4.050e-18,1.145e-14
200.873,5.522e-14,,4.062e-18,5.522e-14
200.878,2.353e-13,,4.075e-18,2.353e-13
200.883,8.868e-13,,4.088e-18,8.868e-13
200.888,2.955e-12,,4.101e-18,2.955e-12
200.893,8.718e-12,,4.114e-18,8.718e-12
200.898,2.279e-11,,4.126e-18,2.279e-11
200.903,5.292e-11,,4.139e-18,5.292e-11
200.908,1.095e-10,,4.152e-18,1.095e-10
200.913,2.031e-10,,4.165e-18,2.031e-10
200.918,3.407e-10,,4.178e-18,3.407e-10
200.923,5.230e-10,,4.190e-18,5.230e-10
200.928,7.456e-10,,4.203e-18,7.456e-10
200.933,1.001e-9,,4.216e-18,1.001e-9
200.938,1.277e-9,,4.229e-18,1.277e-9
200.943,1.546e-9,,4.242e-18,1.546e-9
200.948,1.758e-9,,4.254e-18,1.758e-9
200.953,1.851e-9,,4.267e-18,1.851e-9
200.958,1.780e-9,,4.280e-18,1.780e-9
200.963,1.553e-9,,4.293e-18,1.553e-9
200.968,1.236e-9,,4.306e-18,1.236e-9
200.973,9.359e-10,,4.319e-18,9.359e-10
200.978,7.616e-10,,4.331e-18,7.616e-10
200.983,7.938e-10,,4.344e-18,7.938e-10
200.988,1.061e-9,,4.357e-18,1.061e-9
200.993,1.525e-9,,4.370e-18,1.525e-9
200.998,2.073e-9,,4.383e-18,2.073e-9
201.003,2.539e-9,,4.395e-18,2.539e-9
201.008,2.764e-9,,4.408e-18,2.764e-9
201.013,2.661e-9,,4.421e-18,2.661e-9
201.018,2.266e-9,,4.434e-18,2.266e-9
201.023,1.704e-9,,4.447e-18,1.704e-9
201.028,1.133e-9,,4.459e-18,1.133e-9
201.033,6.654e-10,,4.472e-18,6.654e-10
201.038,3.454e-10,,4.485e-18,3.454e-10
201.043,1.584e-10,,4.498e-18,1.584e-10
201.048,6.417e-11,,4.511e-18,6.417e-11
201.053,2.298e-11,,4.524e-18,2.298e-11
201.058,7.269e-12,,4.536e-18,7.269e-12
201.063,2.032e-12,,4.549e-18,2.032e-12
201.068,5.019e-13,,4.562e-18,5.019e-13
201.073,1.095e-13,,4.575e-18,1.095e-13
201.078,2.113e-14,,4.588e-18,2.113e-14
201.083,3.600e-15,,4.600e-18,3.600e-15
201.088,5.420e-16,,4.613e-18,5.420e-16
201.093,7.211e-17,,4.626e-18,7.211e-17
201.098,8.477e-18,,4.639e-18,8.477e-18
201.103,8.805e-19,,4.652e-18,8.805e-19
201.108,8.082e-20,,4.664e-18,8.082e-20
201.113,6.554e-21,,4.677e-18,6.554e-21
201.118,4.697e-22,,4.690e-18,4.697e-22
201.123,2.974e-23,,4.703e-18,2.974e-23
201.128,1.664e-24,,4.716e-18,1.664e-24
201.133,8.226e-26,,4.728e-18,8.226e-26
201.138,3.593e-27,,4.741e-18,3.593e-27
201.657,6.071e-18,,6.071e-18,3.113e-27
201.662,1.611e-16,,1.611e-16,3.108e-27
201.667,3.781e-15,,3.781e-15,3.104e-27
201.672,7.848e-14,,7.848e-14,3.099e-27
201.677,1.441e-12,,1.441e-12,3.094e-27
201.682,2.339e-11,,2.339e-11,3.090e-27
201.687,3.360e-10,,3.360e-10,3.085e-27
201.692,4.267e-9,,4.267e-9,3.081e-27
201.697,4.794e-8,,4.794e-8,3.076e-27
201.702,4.763e-7,,4.763e-7,3.071e-27
201.707,4.186e-6,,4.186e-6,3.067e-27
201.712,3.253e-5,,3.253e-5,3.062e-27
201.717,2.236e-4,,2.236e-4,3.057e-27
201.722,1.360e-3,,1.360e-3,3.053e-27
201.727,7.312e-3,,7.312e-3,3.048e-27
201.732,3.478e-2,,3.478e-2,3.044e-27
201.737,1.463e-1,,1.463e-1,3.039e-27
201.742,5.442e-1,,5.442e-1,3.034e-27
201.747,1.791e+0,,1.791e+0,3.030e-27
201.752,5.212e+0,,5.212e+0,3.025e-27
201.757,1.342e+1,,1.342e+1,3.020e-27
201.762,3.054e+1,,3.054e+1,3.016e-27
201.767,6.150e+1,,6.150e+1,3.011e-27
201.772,1.095e+2,,1.095e+2,3.007e-27
201.777,1.726e+2,,1.726e+2,3.002e-27
201.782,2.406e+2,,2.406e+2,2.997e-27
201.787,2.972e+2,,2.972e+2,2.993e-27
201.792,3.263e+2,,3.263e+2,2.988e-27
201.797,3.214e+2,,3.214e+2,2.983e-27
201.802,2.919e+2,,2.919e+2,2.979e-27
201.807,2.608e+2,,2.608e+2,2.974e-27
201.812,2.559e+2,,2.559e+2,2.970e-27
201.817,2.968e+2,,2.968e+2,2.965e-27
201.822,3.847e+2,,3.847e+2,2.960e-27
201.827,4.976e+2,,4.976e+2,2.956e-27
201.832,5.974e+2,,5.974e+2,2.951e-27
201.837,6.454e+2,,6.454e+2,2.946e-27
201.842,6.203e+2,,6.203e+2,2.942e-27
201.847,5.283e+2,,5.283e+2,2.937e-27
201.852,3.982e+2,,3.982e+2,2.933e-27
201.857,2.656e+2,,2.656e+2,2.928e-27
201.862,1.567e+2,,1.567e+2,2.923e-27
201.867,8.175e+1,,8.175e+1,2.919e-27
201.872,3.773e+1,,3.773e+1,2.914e-27
201.877,1.540e+1,,1.540e+1,2.909e-27
201.882,5.561e+0,,5.561e+0,2.905e-27
201.886,2.253e+0,,2.253e+0,2.901e-27
201.891,6.524e-1,,6.524e-1,2.897e-27
201.896,1.670e-1,,1.670e-1,2.892e-27
201.901,3.783e-2,,3.783e-2,2.887e-27
201.906,7.579e-3,,7.579e-3,2.883e-27
201.911,1.343e-3,,1.343e-3,2.878e-27
201.916,2.105e-4,,2.105e-4,2.873e-27
201.921,2.917e-5,,2.917e-5,2.869e-27
201.926,3.577e-6,,3.577e-6,2.864e-27
201.931,3.879e-7,,3.879e-7,2.859e-27
