Wavelength (nm),Sum(calc),Mn I (1.3e-2),Mn II (3.9e-1),Cu I (5.2e-2),Cu II (5.5e-1)
200.048,8.304e-15,,8.304e-15,,
200.053,2.698e-13,,2.698e-13,,
200.058,7.737e-12,,7.737e-12,,
200.063,1.958e-10,,1.958e-10,,
200.068,4.376e-9,,4.376e-9,,
200.073,8.632e-8,,8.632e-8,,
200.078,1.503e-6,,1.503e-6,,
200.083,2.310e-5,,2.310e-5,,
200.088,3.133e-4,,3.133e-4,,
200.093,3.752e-3,,3.752e-3,,
200.098,3.966e-2,,3.966e-2,,
200.103,3.700e-1,,3.700e-1,,
200.108,3.047e+0,,3.047e+0,,
200.113,2.215e+1,,2.215e+1,,
200.118,1.422e+2,,1.422e+2,,
200.123,8.053e+2,,8.053e+2,,
200.128,4.027e+3,,4.027e+3,,
200.133,1.777e+4,,1.777e+4,,
200.138,6.924e+4,,6.924e+4,,
200.143,2.381e+5,,2.381e+5,,
200.148,7.227e+5,,7.227e+5,,
200.153,1.937e+6,,1.937e+6,,
200.158,4.580e+6,,4.580e+6,,
200.163,9.563e+6,,9.563e+6,,
200.168,1.762e+7,,1.762e+7,,
200.173,2.867e+7,,2.867e+7,,
200.178,4.117e+7,,4.117e+7,,
200.183,5.218e+7,,5.218e+7,,
200.188,5.838e+7,,5.838e+7,,
200.193,5.766e+7,,5.766e+7,,
200.198,5.026e+7,,5.026e+7,,
200.203,3.868e+7,,3.868e+7,,
200.208,2.627e+7,,2.627e+7,,
200.213,1.575e+7,,1.575e+7,,
200.218,8.337e+6,,8.337e+6,,
200.223,3.895e+6,,3.895e+6,,
200.227,1.937e+6,,1.937e+6,,
200.232,7.227e+5,,7.227e+5,,
200.237,2.381e+5,,2.381e+5,,
200.242,6.924e+4,,6.924e+4,,
200.247,1.777e+4,,1.777e+4,,
200.252,4.027e+3,,4.027e+3,,
200.257,8.053e+2,,8.053e+2,,
200.262,1.422e+2,,1.422e+2,,
200.267,2.215e+1,,2.215e+1,,
200.272,3.047e+0,,3.047e+0,,
200.277,3.700e-1,,3.700e-1,,
200.282,3.966e-2,,3.966e-2,,
200.287,3.752e-3,,3.752e-3,,
200.292,3.133e-4,,3.133e-4,,
200.297,2.310e-5,,2.310e-5,,
200.302,1.503e-6,,1.503e-6,,
200.307,8.632e-8,,8.632e-8,,
200.312,4.376e-9,,4.376e-9,,
200.317,1.958e-10,,1.958e-10,,
200.322,7.737e-12,,7.737e-12,,
200.327,2.698e-13,,2.698e-13,,
201.156,8.673e-14,,7.281e-13,,8.673e-14
201.161,2.712e-12,,7.309e-13,,2.712e-12
201.166,7.496e-11,,7.336e-13,,7.496e-11
201.171,1.831e-9,,7.364e-13,,1.831e-9
201.176,3.955e-8,,7.392e-13,,3.955e-8
201.181,7.550e-7,,7.419e-13,,7.550e-7
201.186,1.274e-5,,7.447e-13,,1.274e-5
201.191,1.900e-4,,7.474e-13,,1.900e-4
201.196,2.505e-3,,7.502e-13,,2.505e-3
201.201,2.918e-2,,7.530e-13,,2.918e-2
201.206,3.006e-1,,7.557e-13,,3.006e-1
201.211,2.737e+0,,7.585e-13,,2.737e+0
201.216,2.202e+1,,7.613e-13,,2.202e+1
201.221,1.567e+2,,7.640e-13,,1.567e+2
201.226,9.849e+2,,7.668e-13,,9.849e+2
201.231,5.474e+3,,7.696e-13,,5.474e+3
201.236,2.689e+4,,7.723e-13,,2.689e+4
201.241,1.168e+5,,7.751e-13,,1.168e+5
201.246,4.482e+5,,7.779e-13,,4.482e+5
201.251,1.520e+6,,7.806e-13,,1.520e+6
201.256,4.559e+6,,7.834e-13,,4.559e+6
201.261,1.209e+7,,7.861e-13,,1.209e+7
201.266,2.831e+7,,7.889e-13,,2.831e+7
201.271,5.864e+7,,7.917e-13,,5.864e+7
201.276,1.073e+8,,7.944e-13,,1.073e+8
201.281,1.737e+8,,7.972e-13,,1.737e+8
201.286,2.484e+8,,8.000e-13,,2.484e+8
201.291,3.140e+8,,8.027e-13,,3.140e+8
201.296,3.509e+8,,8.055e-13,,3.509e+8
201.301,3.466e+8,,8.083e-13,,3.466e+8
201.306,3.026e+8,,8.110e-13,,3.026e+8
201.311,2.336e+8,,8.138e-13,,2.336e+8
201.316,1.593e+8,,8.166e-13,,1.593e+8
201.321,9.606e+7,,8.193e-13,,9.606e+7
201.326,5.120e+7,,8.221e-13,,5.120e+7
201.331,2.412e+7,,8.248e-13,,2.412e+7
201.336,1.004e+7,,8.276e-13,,1.004e+7
201.341,3.697e+6,,8.304e-13,,3.697e+6
201.346,1.203e+6,,8.331e-13,,1.203e+6
201.351,3.459e+5,,8.359e-13,,3.459e+5
201.356,8.791e+4,,8.387e-13,,8.791e+4
201.361,1.975e+4,,8.414e-13,,1.975e+4
201.366,3.923e+3,,8.442e-13,,3.923e+3
201.371,6.887e+2,,8.470e-13,,6.887e+2
201.376,1.069e+2,,8.497e-13,,1.069e+2
201.381,1.466e+1,,8.525e-13,,1.466e+1
201.386,1.777e+0,,8.553e-13,,1.777e+0
201.391,1.904e-1,,8.580e-13,,1.904e-1
201.396,1.804e-2,,8.608e-13,,1.804e-2
201.401,1.510e-3,,8.635e-13,,1.510e-3
201.406,1.118e-4,,8.663e-13,,1.118e-4
201.411,7.311e-6,,8.691e-13,,7.311e-6
201.416,4.227e-7,,8.718e-13,,4.227e-7
201.421,2.163e-8,,8.746e-13,,2.163e-8
201.426,1.559e-9,,8.774e-13,,1.559e-9
201.431,1.417e-8,,8.801e-13,,1.417e-8
201.436,3.028e-7,,8.829e-13,,3.028e-7
201.441,5.735e-6,,8.857e-13,,5.735e-6
201.446,9.607e-5,,8.884e-13,,9.607e-5
201.451,1.423e-3,,8.912e-13,,1.423e-3
201.456,1.863e-2,,8.940e-13,,1.863e-2
201.461,2.157e-1,,8.967e-13,,2.157e-1
201.466,2.209e+0,,8.995e-13,,2.209e+0
201.471,2.000e+1,,9.022e-13,,2.000e+1
201.476,1.600e+2,,9.050e-13,,1.600e+2
201.481,1.133e+3,,9.078e-13,,1.133e+3
201.486,7.088e+3,,9.105e-13,,7.088e+3
201.491,3.922e+4,,9.133e-13,,3.922e+4
201.496,1.919e+5,,9.161e-13,,1.919e+5
201.501,8.300e+5,,9.188e-13,,8.300e+5
201.506,3.175e+6,,9.216e-13,,3.175e+6
201.511,1.074e+7,,9.244e-13,,1.074e+7
201.516,3.210e+7,,9.271e-13,,3.210e+7
201.521,8.488e+7,,9.299e-13,,8.488e+7
201.526,1.984e+8,,9.327e-13,,1.984e+8
201.531,4.102e+8,,9.354e-13,,4.102e+8
201.536,7.497e+8,,9.382e-13,,7.497e+8
201.541,1.212e+9,,9.409e-13,,1.212e+9
201.546,1.731e+9,,9.437e-13,,1.731e+9
201.551,2.187e+9,,9.465e-13,,2.187e+9
201.556,2.444e+9,,9.492e-13,,2.444e+9
201.561,2.414e+9,,9.520e-13,,2.414e+9
201.566,2.108e+9,,9.548e-13,,2.108e+9
201.571,1.628e+9,,9.575e-13,,1.628e+9
201.576,1.112e+9,,9.603e-13,,1.112e+9
201.581,6.711e+8,,9.631e-13,,6.711e+8
201.586,3.583e+8,,9.658e-13,,3.583e+8
201.591,1.691e+8,,9.686e-13,,1.691e+8
201.596,7.057e+7,,9.714e-13,,7.057e+7
201.601,2.604e+7,,9.741e-13,,2.604e+7
201.606,8.497e+6,,9.769e-13,,8.497e+6
201.611,2.452e+6,,9.796e-13,,2.452e+6
201.616,6.254e+5,,9.824e-13,,6.254e+5
201.621,1.411e+5,,9.852e-13,,1.411e+5
201.626,2.813e+4,,9.879e-13,,2.813e+4
201.631,4.960e+3,,9.907e-13,,4.960e+3
201.636,7.734e+2,,9.935e-13,,7.734e+2
201.641,1.066e+2,,9.962e-13,,1.066e+2
201.646,1.300e+1,,9.990e-13,,1.300e+1
201.651,1.401e+0,,1.002e-12,,1.401e+0
201.656,1.335e-1,,1.005e-12,,1.335e-1
201.661,1.125e-2,,1.007e-12,,1.125e-2
201.666,8.381e-4,,1.010e-12,,8.381e-4
201.671,5.522e-5,,1.013e-12,,5.522e-5
201.676,3.216e-6,,1.016e-12,,3.216e-6
201.681,1.656e-7,,1.018e-12,,1.656e-7
201.686,7.544e-9,,1.021e-12,,7.544e-9
201.691,3.037e-10,,1.024e-12,,3.037e-10
201.696,1.081e-11,,1.027e-12,,1.081e-11
202.290,1.224e-13,,1.355e-12,1.224e-13,4.167e-11
202.295,7.613e-12,,1.358e-12,7.613e-12,4.193e-11
202.300,2.104e-10,,1.361e-12,2.104e-10,4.219e-11
202.305,5.146e-9,,1.363e-12,5.146e-9,4.245e-11
202.310,1.114e-7,,1.366e-12,1.114e-7,4.271e-11
202.315,2.136e-6,,1.369e-12,2.136e-6,4.297e-11
202.320,3.625e-5,,1.372e-12,3.625e-5,4.323e-11
202.325,5.446e-4,,1.374e-12,5.446e-4,4.349e-11
202.330,7.243e-3,,1.377e-12,7.243e-3,4.375e-11
202.335,8.528e-2,,1.380e-12,8.528e-2,4.401e-11
202.340,8.888e-1,,1.383e-12,8.888e-1,4.427e-11
202.345,8.201e+0,,1.385e-12,8.201e+0,4.452e-11
202.350,6.699e+1,,1.388e-12,6.699e+1,4.478e-11
202.355,4.844e+2,,1.391e-12,4.844e+2,4.504e-11
202.360,3.101e+3,,1.394e-12,3.101e+3,4.530e-11
202.365,1.758e+4,,1.396e-12,1.758e+4,4.556e-11
202.370,8.817e+4,,1.399e-12,8.817e+4,4.582e-11
202.375,3.916e+5,,1.402e-12,3.916e+5,4.608e-11
202.380,1.540e+6,,1.405e-12,1.540e+6,4.634e-11
202.385,5.359e+6,,1.408e-12,5.359e+6,4.660e-11
202.390,1.651e+7,,1.410e-12,1.651e+7,4.686e-11
202.395,4.504e+7,,1.413e-12,4.504e+7,4.712e-11
202.400,1.088e+8,,1.416e-12,1.088e+8,4.738e-11
202.405,2.325e+8,,1.419e-12,2.325e+8,4.764e-11
202.410,4.399e+8,,1.421e-12,4.399e+8,4.790e-11
202.415,7.370e+8,,1.424e-12,7.370e+8,1.334e-9
202.420,1.093e+9,,1.427e-12,1.093e+9,3.291e-8
202.425,1.435e+9,,1.430e-12,1.435e+9,7.186e-7
202.430,1.668e+9,,1.432e-12,1.668e+9,1.389e-5
202.435,1.716e+9,,1.435e-12,1.716e+9,2.376e-4
202.440,1.563e+9,,1.438e-12,1.563e+9,3.599e-3
202.445,1.260e+9,,1.441e-12,1.260e+9,4.826e-2
202.450,8.994e+8,,1.443e-12,8.994e+8,5.729e-1
202.455,5.683e+8,,1.446e-12,5.683e+8,6.020e+0
202.460,3.179e+8,,1.449e-12,3.179e+8,5.600e+1
202.465,1.574e+8,,1.452e-12,1.574e+8,4.612e+2
202.470,6.900e+7,,1.455e-12,6.900e+7,3.362e+3
202.475,2.679e+7,,1.457e-12,2.677e+7,2.170e+4
202.480,9.321e+6,,1.460e-12,9.197e+6,1.240e+5
202.485,3.424e+6,,1.463e-12,2.797e+6,6.270e+5
202.490,3.560e+6,,1.466e-12,7.529e+5,2.807e+6
202.495,1.131e+7,,1.468e-12,1.794e+5,1.113e+7
202.500,3.908e+7,,1.471e-12,3.785e+4,3.905e+7
202.505,1.213e+8,,1.474e-12,7.068e+3,1.213e+8
202.510,3.335e+8,,1.477e-12,1.168e+3,3.335e+8
202.515,8.119e+8,,1.479e-12,1.710e+2,8.119e+8
202.520,1.750e+9,,1.482e-12,2.215e+1,1.750e+9
202.525,3.338e+9,,1.485e-12,2.541e+0,3.338e+9
202.530,5.638e+9,,1.488e-12,2.579e-1,5.638e+9
202.535,8.429e+9,,1.490e-12,2.318e-2,8.429e+9
202.540,1.116e+10,,1.493e-12,1.844e-3,1.116e+10
202.545,1.307e+10,,1.496e-12,1.299e-4,1.307e+10
202.550,1.356e+10,,1.499e-12,8.096e-6,1.356e+10
202.555,1.245e+10,,1.502e-12,4.468e-7,1.245e+10
202.559,1.065e+10,,1.504e-12,4.031e-8,1.065e+10
202.564,7.853e+9,,1.507e-12,1.786e-9,7.853e+9
202.569,5.126e+9,,1.509e-12,7.008e-11,5.126e+9
202.574,2.962e+9,,1.512e-12,1.944e-12,2.962e+9
202.579,1.515e+9,,1.515e-12,1.972e-12,1.515e+9
202.584,6.862e+8,,1.518e-12,2.001e-12,6.862e+8
202.589,2.751e+8,,1.520e-12,2.029e-12,2.751e+8
202.594,9.763e+7,,1.523e-12,2.058e-12,9.763e+7
202.599,3.067e+7,,1.526e-12,2.086e-12,3.067e+7
202.604,8.531e+6,,1.529e-12,2.114e-12,8.531e+6
202.609,2.101e+6,,1.531e-12,2.143e-12,2.101e+6
202.614,4.578e+5,,1.534e-12,2.171e-12,4.578e+5
202.619,8.834e+4,,1.537e-12,2.199e-12,8.834e+4
202.624,1.509e+4,,1.540e-12,2.228e-12,1.509e+4
202.629,2.284e+3,,1.542e-12,2.256e-12,2.284e+3
202.634,3.226e+2,,1.545e-12,2.284e-12,3.226e+2
