Wavelength (nm),Sum(calc),Ag I (7.4e-1),Ag II (2.6e-1)
199.64,1.601e-12,,1.601e-12
199.65,1.082e-11,,1.082e-11
199.67,4.323e-10,,4.323e-10
199.69,1.443e-8,,1.443e-8
199.70,7.790e-8,,7.790e-8
199.72,1.985e-6,,1.985e-6
199.74,4.224e-5,,4.224e-5
199.75,1.821e-4,,1.821e-4
199.77,2.960e-3,,2.960e-3
199.79,4.018e-2,,4.018e-2
199.80,1.384e-1,,1.384e-1
199.82,1.434e+0,,1.434e+0
199.84,1.242e+1,,1.242e+1
199.85,3.416e+1,,3.416e+1
199.87,2.258e+2,,2.258e+2
199.89,1.247e+3,,1.247e+3
199.90,2.739e+3,,2.739e+3
199.92,1.155e+4,,1.155e+4
199.94,4.069e+4,,4.069e+4
199.95,7.138e+4,,7.138e+4
199.97,1.920e+5,,1.920e+5
199.99,4.313e+5,,4.313e+5
200.00,6.043e+5,,6.043e+5
200.02,1.037e+6,,1.037e+6
200.04,1.485e+6,,1.485e+6
200.05,1.662e+6,,1.662e+6
200.07,1.819e+6,,1.819e+6
200.08,1.778e+6,,1.778e+6
200.10,1.485e+6,,1.485e+6
200.12,1.037e+6,,1.037e+6
200.13,8.094e+5,,8.094e+5
200.15,4.313e+5,,4.313e+5
200.17,1.920e+5,,1.920e+5
200.18,1.197e+5,,1.197e+5
200.20,4.069e+4,,4.069e+4
200.22,1.155e+4,,1.155e+4
200.23,5.753e+3,,5.753e+3
200.25,1.247e+3,,1.247e+3
200.27,2.258e+2,,2.258e+2
200.28,8.982e+1,,8.982e+1
200.30,1.242e+1,,1.242e+1
200.32,1.434e+0,,1.434e+0
200.33,4.556e-1,,4.556e-1
200.35,4.018e-2,,4.018e-2
200.37,2.960e-3,,2.960e-3
200.38,7.509e-4,,7.509e-4
200.40,4.224e-5,,4.224e-5
200.42,1.985e-6,,1.985e-6
200.43,4.021e-7,,4.021e-7
200.45,1.443e-8,,1.443e-8
200.47,4.323e-10,,4.323e-10
200.48,6.996e-11,,6.996e-11
201.16,2.159e-12,,2.159e-12
201.18,8.914e-11,,8.914e-11
201.19,5.360e-10,,5.360e-10
201.21,1.696e-8,,1.696e-8
201.23,4.498e-7,,4.498e-7
201.24,2.167e-6,,2.167e-6
201.26,4.405e-5,,4.405e-5
201.28,7.500e-4,,7.500e-4
201.29,2.896e-3,,2.896e-3
201.31,3.780e-2,,3.780e-2
201.33,4.132e-1,,4.132e-1
201.34,1.279e+0,,1.279e+0
201.36,1.072e+1,,1.072e+1
201.38,7.524e+1,,7.524e+1
201.39,1.865e+2,,1.865e+2
201.41,1.004e+3,,1.004e+3
201.42,2.180e+3,,2.180e+3
201.44,8.994e+3,,8.994e+3
201.46,3.109e+4,,3.109e+4
201.47,5.408e+4,,5.408e+4
201.49,1.433e+5,,1.433e+5
201.51,3.180e+5,,3.180e+5
201.52,4.433e+5,,4.433e+5
201.54,7.543e+5,,7.543e+5
201.56,1.075e+6,,1.075e+6
201.57,1.201e+6,,1.201e+6
201.59,1.312e+6,,1.312e+6
201.61,1.201e+6,,1.201e+6
201.62,1.075e+6,,1.075e+6
201.64,7.543e+5,,7.543e+5
201.66,4.433e+5,,4.433e+5
201.67,3.180e+5,,3.180e+5
201.69,1.433e+5,,1.433e+5
201.71,5.408e+4,,5.408e+4
201.72,3.109e+4,,3.109e+4
201.74,8.994e+3,,8.994e+3
201.76,2.180e+3,,2.180e+3
201.77,1.004e+3,,1.004e+3
201.79,1.865e+2,,1.865e+2
201.81,2.903e+1,,2.903e+1
201.82,1.072e+1,,1.072e+1
201.84,1.279e+0,,1.279e+0
201.85,4.132e-1,,4.132e-1
201.87,3.780e-2,,3.780e-2
201.89,2.896e-3,,2.896e-3
201.90,7.500e-4,,7.500e-4
201.92,4.405e-5,,4.405e-5
201.94,2.167e-6,,2.167e-6
201.95,4.498e-7,,4.498e-7
201.97,1.696e-8,,1.696e-8
201.99,5.360e-10,,5.360e-10
202.00,8.914e-11,,8.914e-11
202.96,3.062e-12,,3.062e-12
202.98,1.184e-10,,1.184e-10
203.00,3.847e-9,,3.847e-9
203.01,2.054e-8,,2.054e-8
203.03,5.141e-7,,5.141e-7
203.05,1.081e-5,,1.081e-5
203.06,4.643e-5,,4.643e-5
203.08,7.520e-4,,7.520e-4
203.10,1.023e-2,,1.023e-2
203.11,3.536e-2,,3.536e-2
203.13,3.707e-1,,3.707e-1
203.15,3.265e+0,,3.265e+0
203.16,9.076e+0,,9.076e+0
203.18,6.157e+1,,6.157e+1
203.19,1.502e+2,,1.502e+2
203.21,7.849e+2,,7.849e+2
203.23,3.446e+3,,3.446e+3
203.24,6.764e+3,,6.764e+3
203.26,2.287e+4,,2.287e+4
203.28,6.499e+4,,6.499e+4
203.29,1.026e+5,,1.026e+5
203.31,2.246e+5,,2.246e+5
203.33,4.130e+5,,4.130e+5
203.34,5.246e+5,,5.246e+5
203.36,7.431e+5,,7.431e+5
203.38,8.844e+5,,8.844e+5
203.39,9.038e+5,,9.038e+5
203.41,8.285e+5,,8.285e+5
203.43,6.381e+5,,6.381e+5
203.44,5.246e+5,,5.246e+5
203.46,3.112e+5,,3.112e+5
203.48,1.552e+5,,1.552e+5
203.49,1.026e+5,,1.026e+5
203.51,3.940e+4,,3.940e+4
203.53,1.271e+4,,1.271e+4
203.54,6.764e+3,,6.764e+3
203.56,1.681e+3,,1.681e+3
203.58,3.509e+2,,3.509e+2
203.59,1.502e+2,,1.502e+2
203.61,2.416e+1,,2.416e+1
203.62,9.076e+0,,9.076e+0
203.64,1.124e+0,,1.124e+0
203.66,1.170e-1,,1.170e-1
