Wavelength (nm),Sum(calc),Ag I (7.1e-2),Ag II (9.3e-1)
199.64,6.011e-10,,6.011e-10
199.65,4.064e-9,,4.064e-9
199.67,1.623e-7,,1.623e-7
199.69,5.417e-6,,5.417e-6
199.70,2.925e-5,,2.925e-5
199.72,7.452e-4,,7.452e-4
199.74,1.586e-2,,1.586e-2
199.75,6.840e-2,,6.840e-2
199.77,1.111e+0,,1.111e+0
199.79,1.509e+1,,1.509e+1
199.80,5.196e+1,,5.196e+1
199.82,5.386e+2,,5.386e+2
199.84,4.663e+3,,4.663e+3
199.85,1.283e+4,,1.283e+4
199.87,8.479e+4,,8.479e+4
199.89,4.683e+5,,4.683e+5
199.90,1.029e+6,,1.029e+6
199.92,4.337e+6,,4.337e+6
199.94,1.528e+7,,1.528e+7
199.95,2.680e+7,,2.680e+7
199.97,7.208e+7,,7.208e+7
199.99,1.619e+8,,1.619e+8
200.00,2.269e+8,,2.269e+8
200.02,3.892e+8,,3.892e+8
200.04,5.578e+8,,5.578e+8
200.05,6.241e+8,,6.241e+8
200.07,6.829e+8,,6.829e+8
200.08,6.677e+8,,6.677e+8
200.10,5.578e+8,,5.578e+8
200.12,3.892e+8,,3.892e+8
200.13,3.039e+8,,3.039e+8
200.15,1.619e+8,,1.619e+8
200.17,7.208e+7,,7.208e+7
200.18,4.495e+7,,4.495e+7
200.20,1.528e+7,,1.528e+7
200.22,4.337e+6,,4.337e+6
200.23,2.160e+6,,2.160e+6
200.25,4.683e+5,,4.683e+5
200.27,8.479e+4,,8.479e+4
200.28,3.373e+4,,3.373e+4
200.30,4.663e+3,,4.663e+3
200.32,5.386e+2,,5.386e+2
200.33,1.711e+2,,1.711e+2
200.35,1.509e+1,,1.509e+1
200.37,1.111e+0,,1.111e+0
200.38,2.820e-1,,2.820e-1
200.40,1.586e-2,,1.586e-2
200.42,7.452e-4,,7.452e-4
200.43,1.510e-4,,1.510e-4
200.45,5.417e-6,,5.417e-6
200.47,1.623e-7,,1.623e-7
200.48,2.627e-8,,2.627e-8
201.16,8.641e-10,,8.641e-10
201.18,3.568e-8,,3.568e-8
201.19,2.145e-7,,2.145e-7
201.21,6.790e-6,,6.790e-6
201.23,1.800e-4,,1.800e-4
201.24,8.674e-4,,8.674e-4
201.26,1.763e-2,,1.763e-2
201.28,3.002e-1,,3.002e-1
