Wavelength (nm),Sum(calc),Al I (1.0e-2),Al II (9.9e-1),Al III (8.0e-4)
201.18,1.187e-12,,1.187e-12,
201.20,5.519e-11,,5.519e-11,
201.22,1.932e-9,,1.932e-9,
201.23,1.069e-8,,1.069e-8,
201.25,2.868e-7,,2.868e-7,
201.27,6.454e-6,,6.454e-6,
201.28,2.866e-5,,2.866e-5,
201.30,4.955e-4,,4.955e-4,
201.32,7.185e-3,,7.185e-3,
201.33,2.562e-2,,2.562e-2,
201.35,2.855e-1,,2.855e-1,
201.37,2.671e+0,,2.671e+0,
201.38,7.651e+0,,7.651e+0,
201.40,5.505e+1,,5.505e+1,
201.42,3.327e+2,,3.327e+2,
201.43,7.662e+2,,7.662e+2,
201.45,3.566e+3,,3.566e+3,
201.47,1.395e+4,,1.395e+4,
201.48,2.587e+4,,2.587e+4,
201.50,7.808e+4,,7.808e+4,
201.52,1.984e+5,,1.984e+5,
201.53,2.965e+5,,2.965e+5,
201.55,5.827e+5,,5.827e+5,
201.57,9.654e+5,,9.654e+5,
201.58,1.166e+6,,1.166e+6,
201.60,1.498e+6,,1.498e+6,
201.62,1.627e+6,,1.627e+6,
201.63,1.592e+6,,1.592e+6,
201.65,1.345e+6,,1.345e+6,
201.67,9.621e+5,,9.621e+5,
201.68,7.647e+5,,7.647e+5,
201.70,4.266e+5,,4.266e+5,
201.72,2.018e+5,,2.018e+5,
201.73,1.304e+5,,1.304e+5,
201.75,4.815e+4,,4.815e+4,
201.77,1.507e+4,,1.507e+4,
201.78,7.920e+3,,7.920e+3,
201.80,1.932e+3,,1.932e+3,
201.82,3.989e+2,,3.989e+2,
201.83,1.702e+2,,1.702e+2,
201.85,2.732e+1,,2.732e+1,
201.87,3.702e+0,,3.702e+0,
201.88,1.279e+0,,1.279e+0,
201.90,1.346e-1,,1.346e-1,
201.92,1.554e-2,,1.554e-2,
201.93,1.613e-2,,1.613e-2,
201.95,1.383e-1,,1.383e-1,
201.97,1.248e+0,,1.248e+0,
201.98,3.511e+0,,3.511e+0,
202.00,2.436e+1,,2.436e+1,
202.02,1.417e+2,,1.417e+2,
202.03,3.200e+2,,3.200e+2,
202.05,1.430e+3,,1.430e+3,
202.07,5.355e+3,,5.355e+3,
202.08,9.702e+3,,9.702e+3,
202.10,2.791e+4,,2.791e+4,
202.12,6.731e+4,,6.731e+4,
202.13,9.786e+4,,9.786e+4,
202.15,1.812e+5,,1.812e+5,
202.17,2.815e+5,,2.815e+5,
202.18,3.284e+5,,3.284e+5,
202.20,3.916e+5,,3.916e+5,
202.22,3.916e+5,,3.916e+5,
202.23,3.666e+5,,3.666e+5,
202.25,2.815e+5,,2.815e+5,
202.27,1.812e+5,,1.812e+5,
202.28,1.361e+5,,1.361e+5,
202.30,6.731e+4,,6.731e+4,
202.32,2.791e+4,,2.791e+4,
202.33,1.682e+4,,1.682e+4,
202.35,5.355e+3,,5.355e+3,
202.37,1.430e+3,,1.430e+3,
202.38,6.914e+2,,6.914e+2,
202.40,1.417e+2,,1.417e+2,
202.42,2.436e+1,,2.436e+1,
202.43,9.455e+0,,9.455e+0,
202.45,1.248e+0,,1.248e+0,
202.47,1.381e-1,,1.381e-1,
202.48,4.301e-2,,4.301e-2,
202.50,3.656e-3,,3.656e-3,
202.52,2.605e-4,,2.605e-4,
202.53,6.510e-5,,6.510e-5,
202.55,3.563e-6,,3.563e-6,
202.57,1.635e-7,,1.635e-7,
202.58,3.278e-8,,3.278e-8,
202.60,1.155e-9,,1.155e-9,
202.62,3.413e-11,,3.413e-11,
202.63,5.491e-12,,5.491e-12,
206.92,2.129e-20,,5.732e-11,2.129e-20
206.93,1.465e-19,,5.744e-11,1.465e-19
206.95,4.974e-18,,5.769e-11,4.974e-18
206.97,5.793e-11,,5.793e-11,1.430e-16
206.98,3.430e-10,,3.430e-10,7.201e-16
207.00,1.060e-8,,1.060e-8,1.612e-14
207.02,2.773e-7,,2.773e-7,3.054e-13
207.03,1.332e-6,,1.332e-6,1.249e-12
207.05,2.710e-5,,2.710e-5,1.843e-11
207.07,4.664e-4,,4.664e-4,2.303e-10
207.08,1.817e-3,,1.817e-3,7.649e-10
207.10,2.433e-2,,2.433e-2,7.446e-9
207.12,2.756e-1,,2.755e-1,6.138e-8
207.13,8.709e-1,,8.709e-1,1.656e-7
207.15,7.673e+0,,7.673e+0,1.063e-6
207.17,5.719e+1,,5.719e+1,5.783e-6
207.18,1.466e+2,,1.466e+2,1.267e-5
207.20,8.501e+2,,8.501e+2,5.372e-5
207.22,4.169e+3,,4.169e+3,1.929e-4
207.23,8.672e+3,,8.672e+3,3.434e-4
207.25,3.309e+4,,3.309e+4,9.612e-4
207.27,1.068e+5,,1.068e+5,2.279e-3
207.28,1.802e+5,,1.802e+5,3.297e-3
207.30,4.524e+5,,4.524e+5,6.095e-3
207.32,9.608e+5,,9.608e+5,9.545e-3
207.33,1.315e+6,,1.315e+6,1.122e-2
207.35,2.173e+6,,2.173e+6,1.371e-2
207.37,3.037e+6,,3.037e+6,1.418e-2
207.38,3.371e+6,,3.371e+6,1.356e-2
207.40,3.666e+6,,3.666e+6,1.094e-2
207.42,3.371e+6,,3.371e+6,7.479e-3
207.43,3.037e+6,,3.037e+6,5.812e-3
207.45,2.173e+6,,2.173e+6,3.099e-3
207.47,1.315e+6,,1.315e+6,1.400e-3
207.48,9.608e+5,,9.608e+5,8.846e-4
207.50,4.524e+5,,4.524e+5,3.117e-4
207.52,1.802e+5,,1.802e+5,9.307e-5
207.53,1.068e+5,,1.068e+5,4.779e-5
207.55,3.309e+4,,3.309e+4,1.113e-5
207.57,8.672e+3,,8.672e+3,2.196e-6
207.58,4.169e+3,,4.169e+3,9.166e-7
207.60,8.501e+2,,8.501e+2,1.410e-7
207.62,1.466e+2,,1.466e+2,1.838e-8
207.63,5.719e+1,,5.719e+1,6.236e-9
207.65,7.673e+0,,7.673e+0,6.337e-10
207.67,8.709e-1,,8.709e-1,5.456e-11
207.68,2.755e-1,,2.755e-1,1.504e-11
207.70,2.433e-2,,2.433e-2,1.009e-12
207.72,1.817e-3,,1.817e-3,5.738e-14
207.73,4.664e-4,,4.664e-4,1.285e-14
207.75,2.710e-5,,2.710e-5,5.694e-16
207.77,1.332e-6,,1.332e-6,2.136e-17
207.78,2.773e-7,,2.773e-7,3.888e-18
207.80,1.060e-8,,1.060e-8,1.137e-19
207.82,3.430e-10,,3.430e-10,1.114e-19
207.83,5.793e-11,,5.793e-11,1.103e-19
208.47,3.856e-20,,2.649e-11,3.856e-20
208.48,2.417e-19,,2.600e-11,2.417e-19
208.50,8.386e-18,,2.502e-11,8.386e-18
208.52,2.467e-16,,2.404e-11,2.467e-16
208.53,1.258e-15,,2.355e-11,1.258e-15
208.55,2.890e-14,,2.256e-11,2.890e-14
208.57,5.629e-13,,2.158e-11,5.629e-13
208.58,2.336e-12,,2.109e-11,2.336e-12
208.60,3.552e-11,,2.011e-11,3.552e-11
208.62,4.581e-10,,1.913e-11,4.581e-10
208.63,1.546e-9,,1.863e-11,1.546e-9
208.65,1.557e-8,,1.765e-11,1.557e-8
208.67,1.329e-7,,1.667e-11,1.329e-7
208.68,3.652e-7,,1.618e-11,3.652e-7
208.70,2.434e-6,,1.520e-11,2.434e-6
208.72,1.376e-5,,1.421e-11,1.376e-5
208.73,3.075e-5,,1.372e-11,3.075e-5
208.75,1.357e-4,,1.274e-11,1.357e-4
208.77,5.079e-4,,1.176e-11,5.079e-4
208.78,9.237e-4,,1.127e-11,9.237e-4
208.80,2.699e-3,,1.028e-11,2.699e-3
208.82,6.687e-3,,9.303e-12,6.687e-3
208.83,9.894e-3,,8.812e-12,9.894e-3
208.85,1.914e-2,,7.829e-12,1.914e-2
208.87,3.140e-2,,6.847e-12,3.140e-2
208.88,3.780e-2,,6.356e-12,3.780e-2
208.90,4.841e-2,,5.373e-12,4.841e-2
208.92,5.257e-2,,4.391e-12,5.257e-2
208.93,5.150e-2,,3.900e-12,5.150e-2
208.95,4.367e-2,,2.918e-12,4.367e-2
208.97,3.140e-2,,1.935e-12,3.140e-2
208.98,2.502e-2,,1.444e-12,2.502e-2
209.00,1.405e-2,,5.347e-11,1.405e-2
209.02,6.687e-3,,1.680e-9,6.687e-3
209.03,4.337e-3,,8.856e-9,4.337e-3
209.05,1.617e-3,,2.175e-7,1.617e-3
209.07,5.406e-4,,4.534e-6,5.361e-4
209.08,3.503e-4,,1.947e-5,3.308e-4
209.10,6.589e-4,,3.172e-4,3.417e-4
209.12,5.429e-3,,4.388e-3,1.041e-3
209.13,1.722e-2,,1.535e-2,1.870e-3
209.15,1.714e-1,,1.660e-1,5.429e-3
209.17,1.537e+0,,1.524e+0,1.341e-2
209.18,4.362e+0,,4.342e+0,1.981e-2
209.20,3.122e+1,,3.118e+1,3.824e-2
