Wavelength (nm),Sum(calc),Al I (5.1e-3),Al II (9.9e-1),Al III (7.3e-3)
201.18,8.464e-12,,8.464e-12,
201.20,3.936e-10,,3.936e-10,
201.22,1.378e-8,,1.378e-8,
201.23,7.623e-8,,7.623e-8,
201.25,2.046e-6,,2.046e-6,
201.27,4.603e-5,,4.603e-5,
201.28,2.044e-4,,2.044e-4,
201.30,3.534e-3,,3.534e-3,
201.32,5.124e-2,,5.124e-2,
201.33,1.827e-1,,1.827e-1,
201.35,2.036e+0,,2.036e+0,
201.37,1.905e+1,,1.905e+1,
201.38,5.456e+1,,5.456e+1,
201.40,3.926e+2,,3.926e+2,
201.42,2.373e+3,,2.373e+3,
201.43,5.464e+3,,5.464e+3,
201.45,2.543e+4,,2.543e+4,
201.47,9.951e+4,,9.951e+4,
201.48,1.845e+5,,1.845e+5,
201.50,5.568e+5,,5.568e+5,
201.52,1.415e+6,,1.415e+6,
201.53,2.115e+6,,2.115e+6,
201.55,4.155e+6,,4.155e+6,
201.57,6.885e+6,,6.885e+6,
201.58,8.315e+6,,8.315e+6,
201.60,1.069e+7,,1.069e+7,
201.62,1.160e+7,,1.160e+7,
201.63,1.135e+7,,1.135e+7,
201.65,9.592e+6,,9.592e+6,
201.67,6.861e+6,,6.861e+6,
201.68,5.453e+6,,5.453e+6,
201.70,3.042e+6,,3.042e+6,
201.72,1.439e+6,,1.439e+6,
201.73,9.301e+5,,9.301e+5,
201.75,3.434e+5,,3.434e+5,
201.77,1.074e+5,,1.074e+5,
201.78,5.648e+4,,5.648e+4,
201.80,1.378e+4,,1.378e+4,
201.82,2.844e+3,,2.844e+3,
201.83,1.214e+3,,1.214e+3,
201.85,1.948e+2,,1.948e+2,
201.87,2.640e+1,,2.640e+1,
201.88,9.121e+0,,9.121e+0,
201.90,9.594e-1,,9.594e-1,
201.92,1.074e-1,,1.074e-1,
201.93,1.031e-1,,1.031e-1,
201.95,8.573e-1,,8.573e-1,
201.97,7.732e+0,,7.732e+0,
201.98,2.175e+1,,2.175e+1,
202.00,1.509e+2,,1.509e+2,
202.02,8.781e+2,,8.781e+2,
202.03,1.983e+3,,1.983e+3,
202.05,8.857e+3,,8.857e+3,
202.07,3.318e+4,,3.318e+4,
202.08,6.011e+4,,6.011e+4,
202.10,1.729e+5,,1.729e+5,
202.12,4.170e+5,,4.170e+5,
202.13,6.063e+5,,6.063e+5,
202.15,1.123e+6,,1.123e+6,
202.17,1.744e+6,,1.744e+6,
202.18,2.034e+6,,2.034e+6,
202.20,2.426e+6,,2.426e+6,
202.22,2.426e+6,,2.426e+6,
202.23,2.271e+6,,2.271e+6,
202.25,1.744e+6,,1.744e+6,
202.27,1.123e+6,,1.123e+6,
202.28,8.434e+5,,8.434e+5,
202.30,4.170e+5,,4.170e+5,
202.32,1.729e+5,,1.729e+5,
202.33,1.042e+5,,1.042e+5,
202.35,3.318e+4,,3.318e+4,
202.37,8.857e+3,,8.857e+3,
202.38,4.284e+3,,4.284e+3,
202.40,8.781e+2,,8.781e+2,
202.42,1.509e+2,,1.509e+2,
202.43,5.858e+1,,5.858e+1,
202.45,7.732e+0,,7.732e+0,
202.47,8.557e-1,,8.557e-1,
202.48,2.665e-1,,2.665e-1,
202.50,2.265e-2,,2.265e-2,
202.52,1.614e-3,,1.614e-3,
202.53,4.033e-4,,4.033e-4,
202.55,2.207e-5,,2.207e-5,
202.57,1.013e-6,,1.013e-6,
202.58,2.031e-7,,2.031e-7,
202.60,7.156e-9,,7.156e-9,
202.62,2.114e-10,,2.114e-10,
202.63,3.402e-11,,3.402e-11,
206.92,3.720e-18,,3.491e-10,3.720e-18
206.93,2.559e-17,,3.499e-10,2.559e-17
206.95,8.692e-16,,3.513e-10,8.692e-16
206.97,3.528e-10,,3.528e-10,2.498e-14
206.98,2.089e-9,,2.089e-9,1.258e-13
207.00,6.459e-8,,6.458e-8,2.817e-12
207.02,1.689e-6,,1.689e-6,5.337e-11
207.03,8.113e-6,,8.112e-6,2.182e-10
207.05,1.651e-4,,1.651e-4,3.221e-9
207.07,2.841e-3,,2.841e-3,4.025e-8
207.08,1.107e-2,,1.107e-2,1.337e-7
207.10,1.482e-1,,1.482e-1,1.301e-6
207.12,1.678e+0,,1.678e+0,1.072e-5
207.13,5.304e+0,,5.304e+0,2.893e-5
207.15,4.674e+1,,4.674e+1,1.858e-4
207.17,3.483e+2,,3.483e+2,1.011e-3
207.18,8.930e+2,,8.930e+2,2.214e-3
207.20,5.178e+3,,5.178e+3,9.387e-3
207.22,2.539e+4,,2.539e+4,3.370e-2
207.23,5.282e+4,,5.282e+4,6.001e-2
207.25,2.015e+5,,2.015e+5,1.679e-1
207.27,6.504e+5,,6.504e+5,3.982e-1
207.28,1.097e+6,,1.097e+6,5.761e-1
207.30,2.755e+6,,2.755e+6,1.065e+0
207.32,5.852e+6,,5.852e+6,1.668e+0
207.33,8.009e+6,,8.009e+6,1.961e+0
207.35,1.323e+7,,1.323e+7,2.395e+0
207.37,1.849e+7,,1.849e+7,2.478e+0
207.38,2.053e+7,,2.053e+7,2.369e+0
207.40,2.233e+7,,2.233e+7,1.911e+0
207.42,2.053e+7,,2.053e+7,1.307e+0
207.43,1.849e+7,,1.849e+7,1.016e+0
207.45,1.323e+7,,1.323e+7,5.415e-1
207.47,8.009e+6,,8.009e+6,2.447e-1
207.48,5.852e+6,,5.852e+6,1.546e-1
207.50,2.755e+6,,2.755e+6,5.447e-2
207.52,1.097e+6,,1.097e+6,1.626e-2
207.53,6.504e+5,,6.504e+5,8.351e-3
207.55,2.015e+5,,2.015e+5,1.945e-3
207.57,5.282e+4,,5.282e+4,3.837e-4
207.58,2.539e+4,,2.539e+4,1.602e-4
207.60,5.178e+3,,5.178e+3,2.464e-5
207.62,8.930e+2,,8.930e+2,3.212e-6
207.63,3.483e+2,,3.483e+2,1.090e-6
207.65,4.674e+1,,4.674e+1,1.107e-7
207.67,5.304e+0,,5.304e+0,9.533e-9
207.68,1.678e+0,,1.678e+0,2.628e-9
207.70,1.482e-1,,1.482e-1,1.764e-10
207.72,1.107e-2,,1.107e-2,1.003e-11
207.73,2.841e-3,,2.841e-3,2.246e-12
207.75,1.651e-4,,1.651e-4,9.950e-14
207.77,8.112e-6,,8.112e-6,3.733e-15
207.78,1.689e-6,,1.689e-6,6.793e-16
207.80,6.458e-8,,6.458e-8,1.986e-17
207.82,2.089e-9,,2.089e-9,1.941e-17
207.83,3.528e-10,,3.528e-10,1.919e-17
208.47,4.942e-18,,1.621e-10,4.942e-18
208.48,3.097e-17,,1.591e-10,3.097e-17
208.50,1.075e-15,,1.531e-10,1.075e-15
208.52,3.162e-14,,1.471e-10,3.162e-14
208.53,1.612e-13,,1.442e-10,1.612e-13
208.55,3.703e-12,,1.382e-10,3.703e-12
208.57,7.214e-11,,1.322e-10,7.214e-11
208.58,2.993e-10,,1.293e-10,2.993e-10
208.60,4.552e-9,,1.233e-10,4.552e-9
208.62,5.870e-8,,1.173e-10,5.870e-8
208.63,1.982e-7,,1.144e-10,1.982e-7
208.65,1.995e-6,,1.084e-10,1.995e-6
208.67,1.704e-5,,1.024e-10,1.704e-5
208.68,4.679e-5,,9.946e-11,4.679e-5
208.70,3.119e-4,,9.350e-11,3.119e-4
208.72,1.763e-3,,8.754e-11,1.763e-3
208.73,3.941e-3,,8.456e-11,3.941e-3
208.75,1.739e-2,,7.859e-11,1.739e-2
208.77,6.509e-2,,7.263e-11,6.509e-2
208.78,1.184e-1,,6.965e-11,1.184e-1
208.80,3.458e-1,,6.369e-11,3.458e-1
208.82,8.569e-1,,5.773e-11,8.569e-1
208.83,1.268e+0,,5.475e-11,1.268e+0
208.85,2.453e+0,,4.879e-11,2.453e+0
208.87,4.023e+0,,4.283e-11,4.023e+0
