Wavelength (nm),Sum,Al I (3.4e-01),Al II (6.6e-01),Al III (4.9e-05)
201.2,2.339e-10,,2.339e-10,
201.22,9.209e-9,,9.209e-9,
201.23,5.105e-8,,5.105e-8,
201.25,1.370e-6,,1.370e-6,
201.27,3.083e-5,,3.083e-5,
201.28,1.369e-4,,1.369e-4,
201.3,2.367e-3,,2.367e-3,
201.32,3.432e-2,,3.432e-2,
201.33,1.224e-1,,1.224e-1,
201.35,1.364e+0,,1.364e+0,
201.37,1.276e+1,,1.276e+1,
201.38,3.654e+1,,3.654e+1,
201.4,2.629e+2,,2.629e+2,
201.42,1.589e+3,,1.589e+3,
201.43,3.660e+3,,3.660e+3,
201.45,1.703e+4,,1.703e+4,
201.47,6.665e+4,,6.665e+4,
201.48,1.235e+5,,1.235e+5,
201.5,3.729e+5,,3.729e+5,
201.52,9.476e+5,,9.476e+5,
201.53,1.416e+6,,1.416e+6,
201.55,2.783e+6,,2.783e+6,
201.57,4.611e+6,,4.611e+6,
201.58,5.569e+6,,5.569e+6,
201.6,7.156e+6,,7.156e+6,
201.62,7.771e+6,,7.771e+6,
201.63,7.604e+6,,7.604e+6,
201.65,6.424e+6,,6.424e+6,
201.67,4.595e+6,,4.595e+6,
201.68,3.652e+6,,3.652e+6,
201.7,2.038e+6,,2.038e+6,
201.72,9.636e+5,,9.636e+5,
201.73,6.229e+5,,6.229e+5,
201.75,2.300e+5,,2.300e+5,
201.77,7.196e+4,,7.196e+4,
201.78,3.782e+4,,3.782e+4,
201.8,9.227e+3,,9.227e+3,
201.82,1.905e+3,,1.905e+3,
201.83,8.129e+2,,8.129e+2,
201.85,1.305e+2,,1.305e+2,
201.87,1.768e+1,,1.768e+1,
201.88,6.108e+0,,6.108e+0,
201.9,6.425e-1,,6.425e-1,
201.92,7.193e-2,,7.193e-2,
201.93,6.902e-2,,6.902e-2,
201.95,5.742e-1,,5.742e-1,
201.97,5.178e+0,,5.178e+0,
201.98,1.457e+1,,1.457e+1,
202,1.011e+2,,1.011e+2,
202.02,5.881e+2,,5.881e+2,
202.03,1.328e+3,,1.328e+3,
202.05,5.932e+3,,5.932e+3,
202.07,2.222e+4,,2.222e+4,
202.08,4.026e+4,,4.026e+4,
202.1,1.158e+5,,1.158e+5,
202.12,2.793e+5,,2.793e+5,
