Wavelength (nm),Au I
212.09,8.556e-21
212.11,7.993e-19
212.13,6.369e-17
212.14,5.355e-16
212.16,3.361e-14
212.18,1.798e-12
212.20,8.208e-11
212.21,5.224e-10
212.23,1.878e-8
212.25,5.756e-7
212.27,1.505e-5
212.28,7.248e-5
212.30,1.492e-3
212.32,2.620e-2
212.34,3.924e-1
212.35,1.430e+0
212.37,1.687e+1
212.39,1.697e+2
212.41,1.456e+3
212.42,4.016e+3
212.44,2.713e+4
212.46,1.563e+5
212.48,7.680e+5
212.49,1.604e+6
212.51,6.206e+6
212.53,2.048e+7
212.55,5.765e+7
212.56,9.111e+7
212.58,2.020e+8
212.60,3.818e+8
212.62,6.155e+8
212.63,7.362e+8
212.65,9.348e+8
212.67,1.012e+9
212.69,9.348e+8
212.71,7.362e+8
212.72,6.155e+8
212.74,3.818e+8
212.76,2.020e+8
212.78,9.111e+7
212.79,5.765e+7
212.81,2.048e+7
212.83,6.206e+6
212.85,1.604e+6
212.86,7.680e+5
212.88,1.563e+5
212.90,2.713e+4
212.92,4.016e+3
212.93,1.456e+3
212.95,1.697e+2
212.97,1.687e+1
212.99,1.430e+0
213.00,3.924e-1
213.02,2.620e-2
213.04,1.492e-3
213.06,7.248e-5
213.07,1.505e-5
213.09,5.756e-7
213.11,1.878e-8
213.13,5.224e-10
213.14,8.208e-11
213.16,1.798e-12
213.18,3.361e-14
213.20,5.355e-16
213.21,6.369e-17
234.64,9.839e-19
234.66,5.201e-17
234.68,2.414e-15
234.69,1.566e-14
234.71,5.979e-13
234.73,2.005e-11
234.75,5.901e-10
234.77,1.525e-8
234.78,7.384e-8
234.80,1.570e-6
234.82,2.932e-5
234.84,4.806e-4
234.85,1.853e-3
234.87,2.499e-2
234.89,2.959e-1
234.91,3.077e+0
234.92,9.449e+0
234.94,8.083e+1
234.96,6.071e+2
234.98,4.003e+3
234.99,9.791e+3
235.01,5.312e+4
235.03,2.531e+5
235.05,1.058e+6
235.06,2.062e+6
235.08,7.095e+6
235.10,2.144e+7
235.12,5.687e+7
235.13,8.821e+7
235.15,1.925e+8
235.17,3.690e+8
235.19,6.208e+8
235.20,7.669e+8
235.22,1.062e+9
235.24,1.290e+9
235.26,1.377e+9
235.27,1.355e+9
235.29,1.190e+9
235.31,9.171e+8
235.33,6.208e+8
235.35,3.690e+8
235.36,2.709e+8
235.38,1.325e+8
235.40,5.687e+7
235.42,2.144e+7
235.43,1.253e+7
235.45,3.887e+6
235.47,1.058e+6
235.49,2.531e+5
235.50,1.178e+5
235.52,2.318e+4
235.54,4.003e+3
235.56,6.071e+2
235.57,2.252e+2
235.59,2.809e+1
235.61,3.077e+0
235.63,2.959e-1
235.64,8.741e-2
235.66,6.917e-3
235.68,4.806e-4
235.70,2.932e-5
235.71,6.896e-6
235.73,3.461e-7
235.75,1.525e-8
235.77,5.901e-10
235.78,1.105e-10
235.80,3.519e-12
235.82,9.835e-14
235.84,2.414e-15
235.85,3.601e-16
242.17,2.939e-15
242.18,1.922e-14
242.20,7.501e-13
242.22,2.591e-11
242.24,7.919e-10
242.25,4.182e-9
242.27,1.064e-7
242.29,2.397e-6
242.31,4.778e-5
242.32,2.038e-4
242.34,3.382e-3
242.36,4.968e-2
242.38,6.458e-1
242.39,2.224e+0
242.41,2.407e+1
242.43,2.306e+2
242.45,1.955e+3
242.46,5.437e+3
242.48,3.838e+4
242.50,2.398e+5
242.52,1.326e+6
242.53,2.977e+6
242.55,1.370e+7
242.57,5.583e+7
242.59,2.013e+8
242.60,3.651e+8
242.62,1.096e+9
242.64,2.912e+9
242.66,6.847e+9
242.67,1.003e+10
242.69,1.963e+10
242.71,3.402e+10
242.73,5.216e+10
242.75,7.079e+10
242.76,7.877e+10
242.78,8.901e+10
242.80,8.901e+10
242.82,7.877e+10
242.83,7.079e+10
242.85,5.216e+10
242.87,3.402e+10
242.89,1.963e+10
242.90,1.425e+10
