Wavelength (nm),Au I
212.09,7.802e-22
212.11,7.289e-20
212.13,5.808e-18
212.15,3.946e-16
212.17,2.287e-14
212.18,1.640e-13
212.20,7.485e-12
212.22,2.913e-10
212.24,9.671e-9
212.25,5.249e-8
212.27,1.372e-6
212.29,3.059e-5
212.31,5.817e-4
212.32,2.390e-3
212.34,3.578e-2
212.36,4.570e-1
212.38,4.977e+0
212.39,1.547e+1
212.41,1.327e+2
212.43,9.710e+2
212.45,6.058e+3
212.46,1.425e+4
212.48,7.004e+4
212.50,2.935e+5
212.52,1.049e+6
212.53,1.868e+6
212.55,5.257e+6
212.57,1.262e+7
212.59,2.583e+7
212.60,3.482e+7
212.62,5.613e+7
212.64,7.717e+7
212.66,9.049e+7
212.67,9.231e+7
212.69,8.525e+7
212.71,6.714e+7
212.73,4.509e+7
212.75,2.583e+7
212.76,1.842e+7
212.78,8.308e+6
212.80,3.197e+6
212.82,1.049e+6
212.83,5.660e+5
212.85,1.463e+5
212.87,3.223e+4
212.89,6.058e+3
212.90,2.474e+3
212.92,3.662e+2
212.94,4.623e+1
212.96,4.977e+0
212.97,1.538e+0
212.99,1.304e-1
213.01,9.433e-3
213.03,5.817e-4
213.04,1.361e-4
213.06,6.609e-6
213.08,2.738e-7
213.10,9.671e-9
213.11,1.712e-9
213.13,4.764e-11
213.15,1.130e-12
213.17,2.287e-14
213.18,3.065e-15
213.20,4.884e-17
213.22,6.637e-19
234.66,5.056e-18
234.68,2.346e-16
234.70,9.562e-15
234.71,5.813e-14
234.73,1.949e-12
234.75,5.737e-11
234.77,1.483e-9
234.78,7.179e-9
234.80,1.527e-7
234.82,2.850e-6
234.84,4.672e-5
234.85,1.802e-4
234.87,2.430e-3
234.89,2.877e-2
234.91,2.991e-1
234.92,9.187e-1
234.94,7.858e+0
234.96,5.902e+1
234.98,3.892e+2
235.00,2.254e+3
235.01,5.165e+3
235.03,2.460e+4
235.05,1.029e+5
235.07,3.779e+5
235.08,6.897e+5
235.10,2.084e+6
235.12,5.528e+6
235.14,1.288e+7
235.15,1.872e+7
235.17,3.587e+7
235.19,6.035e+7
235.21,8.917e+7
235.22,1.032e+8
235.24,1.255e+8
235.26,1.339e+8
235.28,1.255e+8
235.29,1.157e+8
235.31,8.917e+7
235.33,6.035e+7
235.35,3.587e+7
235.36,2.634e+7
235.38,1.288e+7
235.40,5.528e+6
235.42,2.084e+6
235.43,1.219e+6
235.45,3.779e+5
235.47,1.029e+5
235.49,2.460e+4
235.50,1.146e+4
235.52,2.254e+3
235.54,3.892e+2
235.56,5.902e+1
235.58,7.858e+0
235.59,2.731e+0
235.61,2.991e-1
235.63,2.877e-2
235.65,2.430e-3
235.66,6.725e-4
235.68,4.672e-5
235.70,2.850e-6
235.72,1.527e-7
235.73,3.365e-8
235.75,1.483e-9
235.77,5.737e-11
235.79,1.949e-12
235.80,3.421e-13
235.82,9.562e-15
235.84,2.346e-16
235.86,5.056e-18
242.17,2.473e-16
242.18,1.618e-15
242.20,6.312e-14
242.22,2.180e-12
242.24,6.664e-11
242.25,3.519e-10
242.27,8.956e-9
242.29,2.017e-7
242.31,4.021e-6
242.32,1.715e-5
242.34,2.846e-4
242.36,4.181e-3
242.38,5.435e-2
242.39,1.872e-1
242.41,2.026e+0
242.43,1.941e+1
242.45,1.645e+2
242.46,4.576e+2
242.48,3.230e+3
242.50,2.018e+4
242.52,1.115e+5
242.53,2.505e+5
242.55,1.153e+6
242.57,4.698e+6
242.59,1.694e+7
242.61,5.405e+7
242.62,9.223e+7
242.64,2.450e+8
242.66,5.762e+8
242.68,1.199e+9
242.69,1.652e+9
242.71,2.863e+9
242.73,4.390e+9
242.75,5.957e+9
242.76,6.629e+9
242.78,7.490e+9
242.80,7.490e+9
242.82,6.629e+9
242.83,5.957e+9
242.85,4.390e+9
242.87,2.863e+9
242.89,1.652e+9
242.90,1.199e+9
242.92,5.762e+8
242.94,2.450e+8
242.96,9.223e+7
242.97,5.405e+7
242.99,1.694e+7
243.01,4.698e+6
243.03,1.153e+6
243.04,5.458e+5
243.06,1.115e+5
243.08,2.018e+4
243.10,3.230e+3
243.11,1.234e+3
243.13,1.645e+2
243.15,1.941e+1
243.17,2.026e+0
243.19,1.872e-1
243.20,5.435e-2
243.22,4.181e-3
243.24,2.846e-4
243.26,1.715e-5
243.27,4.021e-6
243.29,2.017e-7
243.31,8.956e-9
243.33,3.519e-10
243.34,6.664e-11
243.36,2.180e-12
243.38,6.312e-14
243.40,1.618e-15
243.41,2.473e-16
263.47,8.663e-19
263.48,4.942e-18
263.50,1.489e-16
263.52,4.045e-15
263.54,9.911e-14
263.55,4.720e-13
263.57,9.908e-12
263.59,1.876e-10
263.61,3.204e-9
263.62,1.274e-8
263.64,1.863e-7
263.66,2.458e-6
263.68,2.925e-5
263.70,3.140e-4
263.71,9.896e-4
263.73,9.098e-3
263.75,7.545e-2
263.77,5.644e-1
263.78,1.485e+0
263.80,9.514e+0
263.82,5.498e+1
263.84,2.866e+2
263.85,6.294e+2
263.87,2.810e+3
263.89,1.132e+4
263.91,4.111e+4
263.92,7.538e+4
263.94,2.345e+5
263.96,6.582e+5
263.98,1.666e+6
263.99,2.550e+6
264.01,5.529e+6
264.03,1.081e+7
264.05,1.907e+7
264.06,2.437e+7
264.08,3.682e+7
264.10,5.018e+7
264.12,6.169e+7
264.13,6.580e+7
264.15,6.928e+7
264.17,6.580e+7
264.19,5.636e+7
264.20,5.018e+7
264.22,3.682e+7
264.24,2.437e+7
264.26,1.455e+7
264.28,7.833e+6
264.29,5.529e+6
264.31,2.550e+6
264.33,1.061e+6
264.35,3.980e+5
264.36,2.345e+5
264.38,7.538e+4
264.40,2.185e+4
264.42,5.713e+3
264.43,2.810e+3
264.45,6.294e+2
264.47,1.272e+2
264.49,2.317e+1
264.50,9.514e+0
264.52,1.485e+0
264.54,2.090e-1
264.56,2.654e-2
264.57,9.098e-3
264.59,9.896e-4
264.61,9.707e-5
264.63,8.589e-6
264.64,2.458e-6
264.66,1.863e-7
264.68,1.274e-8
264.70,7.853e-10
264.71,1.876e-10
264.73,9.908e-12
264.75,4.720e-13
264.77,2.028e-14
264.78,4.045e-15
264.80,1.489e-16
264.82,4.942e-18
266.91,2.394e-16
266.93,6.949e-15
266.95,1.824e-13
266.96,9.003e-13
266.98,2.033e-11
267.00,4.151e-10
267.02,7.665e-9
267.03,3.172e-8
267.05,5.037e-7
267.07,7.234e-6
267.09,9.396e-5
267.10,3.261e-4
267.12,3.642e-3
267.14,3.679e-2
267.16,3.361e-1
267.17,9.782e-1
267.19,7.684e+0
267.21,5.459e+1
267.23,3.508e+2
267.25,2.038e+3
267.26,4.731e+3
267.28,2.364e+4
267.30,1.068e+5
267.32,4.365e+5
267.33,8.497e+5
267.35,2.986e+6
267.37,9.491e+6
267.39,2.728e+7
267.40,4.454e+7
267.42,1.101e+8
267.44,2.461e+8
267.46,4.975e+8
267.47,6.811e+8
267.49,1.184e+9
267.51,1.862e+9
267.53,2.647e+9
267.54,3.039e+9
267.56,3.716e+9
267.58,4.110e+9
267.60,4.110e+9
267.61,3.957e+9
267.63,3.403e+9
267.65,2.647e+9
267.67,1.862e+9
267.68,1.504e+9
267.70,9.094e+8
267.72,4.975e+8
267.74,2.461e+8
267.75,1.667e+8
267.77,7.091e+7
267.79,2.728e+7
267.81,9.491e+6
267.83,2.986e+6
267.84,1.613e+6
267.86,4.365e+5
267.88,1.068e+5
267.90,2.364e+4
267.91,1.071e+4
267.93,2.038e+3
267.95,3.508e+2
267.97,5.459e+1
267.98,2.074e+1
268.00,2.776e+0
268.02,3.361e-1
268.04,3.679e-2
268.05,1.172e-2
268.07,1.104e-3
268.09,9.396e-5
268.11,7.234e-6
268.12,1.933e-6
268.14,1.280e-7
268.16,7.665e-9
268.18,4.151e-10
268.19,9.302e-11
268.21,4.332e-12
268.23,1.824e-13
268.25,6.949e-15
268.26,1.306e-15
274.13,1.578e-17
274.15,4.230e-16
274.17,1.031e-14
274.19,2.285e-13
274.20,1.038e-12
274.22,1.993e-11
274.24,3.479e-10
274.26,5.522e-9
274.28,7.967e-8
274.29,2.920e-7
274.31,3.651e-6
274.33,4.151e-5
274.35,4.290e-4
274.36,1.331e-3
274.38,1.192e-2
274.40,9.708e-2
274.42,7.187e-1
274.43,1.887e+0
274.45,1.211e+1
274.47,7.062e+1
274.49,3.745e+2
274.50,8.321e+2
274.52,3.824e+3
274.54,1.598e+4
274.56,6.070e+4
274.57,1.141e+5
274.59,3.758e+5
274.61,1.125e+6
274.63,3.060e+6
274.64,4.871e+6
274.66,1.149e+7
274.68,2.463e+7
274.70,4.800e+7
274.71,6.465e+7
274.73,1.092e+8
274.75,1.677e+8
274.77,2.341e+8
274.78,2.669e+8
274.80,3.230e+8
274.82,3.553e+8
274.84,3.553e+8
274.86,3.230e+8
274.87,2.972e+8
274.89,2.341e+8
274.91,1.677e+8
274.93,1.092e+8
274.94,8.504e+7
274.96,4.800e+7
274.98,2.463e+7
275.00,1.149e+7
275.01,7.570e+6
275.03,3.060e+6
275.05,1.125e+6
275.07,3.758e+5
275.08,2.096e+5
275.10,6.070e+4
275.12,1.598e+4
275.14,3.824e+3
275.15,1.805e+3
275.17,3.745e+2
275.19,7.062e+1
275.21,1.211e+1
275.22,4.837e+0
275.24,7.187e-1
275.26,9.708e-2
275.28,1.192e-2
275.29,4.031e-3
275.31,4.290e-4
275.33,4.151e-5
275.35,3.651e-6
275.36,1.045e-6
275.38,7.967e-8
275.40,5.522e-9
275.42,3.479e-10
275.44,1.993e-11
275.45,4.602e-12
275.47,2.285e-13
275.49,1.031e-14
275.51,4.230e-16
311.52,3.116e-15
311.53,1.255e-14
311.55,1.928e-13
311.57,2.751e-12
311.59,3.646e-11
311.60,1.291e-10
311.62,1.532e-9
311.64,1.688e-8
311.66,1.727e-7
311.67,5.374e-7
311.69,4.923e-6
311.71,4.189e-5
311.73,3.311e-4
311.75,2.431e-3
311.76,6.406e-3
311.78,4.210e-2
311.80,2.569e-1
311.82,1.457e+0
311.83,3.374e+0
311.85,1.712e+1
311.87,8.071e+1
311.89,3.534e+2
311.90,7.192e+2
311.92,2.819e+3
311.94,1.026e+4
311.96,3.470e+4
311.97,6.206e+4
311.99,1.878e+5
312.01,5.280e+5
312.03,1.379e+6
312.04,2.167e+6
312.06,5.066e+6
312.08,1.100e+7
312.10,2.218e+7
312.11,3.064e+7
312.13,5.531e+7
312.15,9.273e+7
312.17,1.444e+8
312.18,1.753e+8
312.20,2.444e+8
312.22,3.165e+8
312.24,3.806e+8
312.25,4.060e+8
312.27,4.371e+8
312.29,4.371e+8
312.31,4.060e+8
312.33,3.503e+8
312.34,3.165e+8
312.36,2.444e+8
312.38,1.753e+8
312.40,1.168e+8
312.41,9.273e+7
312.43,5.531e+7
312.45,3.064e+7
312.47,1.576e+7
312.48,1.100e+7
312.50,5.066e+6
312.52,2.167e+6
312.54,8.612e+5
312.55,5.280e+5
312.57,1.878e+5
312.59,6.206e+4
312.61,1.904e+4
312.62,1.026e+4
312.64,2.819e+3
312.66,7.192e+2
312.68,1.704e+2
312.69,8.071e+1
312.71,1.712e+1
312.73,3.374e+0
312.75,6.175e-1
312.76,2.569e-1
312.78,4.210e-2
312.80,6.406e-3
312.82,9.054e-4
312.83,3.311e-4
312.85,4.189e-5
312.87,4.923e-6
312.89,5.374e-7
312.91,5.449e-8
312.92,1.688e-8
312.94,1.532e-9
312.96,1.291e-10
312.98,1.011e-11
312.99,2.751e-12
313.01,1.928e-13
313.03,1.255e-14
313.05,7.592e-16
331.22,4.798e-16
331.24,6.331e-15
331.25,2.244e-14
331.27,2.685e-13
331.29,3.010e-12
331.31,3.160e-11
331.32,9.993e-11
331.34,9.513e-10
331.36,8.483e-9
331.38,7.087e-8
331.39,1.999e-7
331.41,1.514e-6
331.43,1.074e-5
331.45,7.140e-5
331.46,1.796e-4
331.48,1.083e-3
331.50,6.112e-3
331.52,3.232e-2
331.53,7.253e-2
331.55,3.478e-1
331.57,1.562e+0
331.59,6.573e+0
331.60,1.316e+1
331.62,5.020e+1
331.64,1.794e+2
331.66,6.006e+2
331.68,1.884e+3
331.69,3.255e+3
331.71,9.256e+3
331.73,2.465e+4
331.75,6.152e+4
331.76,9.483e+4
331.78,2.145e+5
331.80,4.547e+5
331.82,9.028e+5
331.83,1.241e+6
331.85,2.234e+6
331.87,3.768e+6
331.89,5.952e+6
331.90,7.300e+6
331.92,1.045e+7
331.94,1.403e+7
331.96,1.763e+7
331.97,1.929e+7
331.99,2.198e+7
332.01,2.346e+7
332.03,2.346e+7
332.04,2.289e+7
332.06,2.076e+7
332.08,1.763e+7
332.10,1.403e+7
332.11,1.221e+7
332.13,8.807e+6
332.15,5.952e+6
332.17,3.768e+6
332.18,2.925e+6
332.20,1.679e+6
332.22,9.028e+5
332.24,4.547e+5
332.26,2.145e+5
332.27,1.438e+5
332.29,6.152e+4
332.31,2.465e+4
332.33,9.256e+3
332.34,5.534e+3
332.36,1.884e+3
332.38,6.006e+2
332.40,1.794e+2
332.41,9.567e+1
332.43,2.591e+1
332.45,6.573e+0
332.47,1.562e+0
332.48,7.431e-1
332.50,1.601e-1
332.52,3.232e-2
332.54,6.112e-3
332.55,2.593e-3
332.57,4.446e-4
332.59,7.140e-5
332.61,1.074e-5
332.62,4.066e-6
332.64,5.546e-7
332.66,7.087e-8
332.68,8.483e-9
332.69,2.864e-9
332.71,3.108e-10
332.73,3.160e-11
332.75,3.010e-12
332.76,9.064e-13
332.78,7.827e-14
332.80,6.331e-15
332.82,4.798e-16
378.69,9.928e-16
378.71,9.406e-15
378.72,2.841e-14
378.74,2.497e-13
378.76,2.088e-12
378.78,1.661e-11
378.79,4.597e-11
378.81,3.392e-10
378.83,2.381e-9
378.85,1.590e-8
378.86,4.032e-8
378.88,2.498e-7
378.90,1.472e-6
378.92,8.254e-6
378.93,1.918e-5
378.95,9.976e-5
378.97,4.936e-4
378.99,2.323e-3
379.00,4.946e-3
379.02,2.160e-2
379.04,8.972e-2
379.06,3.545e-1
379.07,6.917e-1
379.09,2.536e+0
379.11,8.844e+0
379.13,2.934e+1
379.15,9.259e+1
379.16,1.614e+2
379.18,4.726e+2
379.20,1.316e+3
379.22,3.488e+3
379.23,5.572e+3
379.25,1.370e+4
379.27,3.202e+4
379.29,7.124e+4
379.30,1.043e+5
379.32,2.152e+5
379.34,4.224e+5
379.36,7.889e+5
379.37,1.058e+6
379.39,1.833e+6
379.41,3.021e+6
379.43,4.737e+6
379.44,5.822e+6
379.46,8.468e+6
379.48,1.172e+7
379.50,1.542e+7
379.51,1.737e+7
379.53,2.121e+7
379.55,2.464e+7
379.57,2.723e+7
379.58,2.809e+7
379.60,2.880e+7
379.62,2.809e+7
379.64,2.606e+7
379.65,2.464e+7
379.67,2.121e+7
379.69,1.737e+7
379.71,1.353e+7
379.73,1.002e+7
379.74,8.468e+6
379.76,5.822e+6
379.78,3.807e+6
379.80,2.368e+6
379.81,1.833e+6
379.83,1.058e+6
379.85,5.809e+5
379.87,3.034e+5
379.88,2.152e+5
379.90,1.043e+5
379.92,4.806e+4
379.94,2.107e+4
379.95,1.370e+4
379.97,5.572e+3
379.99,2.156e+3
380.01,7.937e+2
380.02,4.726e+2
380.04,1.614e+2
380.06,5.245e+1
380.08,1.621e+1
380.09,8.844e+0
380.11,2.536e+0
380.13,6.917e-1
380.15,1.795e-1
380.16,8.972e-2
380.18,2.160e-2
380.20,4.946e-3
380.22,1.078e-3
380.23,4.936e-4
380.25,9.976e-5
380.27,1.918e-5
380.29,3.508e-6
380.31,6.103e-7
380.32,2.498e-7
380.34,4.032e-8
380.36,6.192e-9
380.38,9.043e-10
380.39,3.392e-10
380.41,4.597e-11
380.43,5.926e-12
380.45,7.266e-13
380.46,2.497e-13
380.48,2.841e-14
380.50,3.075e-15
405.56,3.989e-14
405.58,3.092e-13
405.60,2.294e-12
405.61,6.148e-12
405.63,4.273e-11
405.65,2.844e-10
405.67,1.812e-9
405.68,4.498e-9
405.70,2.685e-8
405.72,1.534e-7
405.74,8.389e-7
405.75,1.930e-6
405.77,9.890e-6
405.79,4.851e-5
405.81,2.278e-4
405.82,4.857e-4
405.84,2.137e-3
405.86,8.998e-3
405.88,3.628e-2
405.89,7.167e-2
405.91,2.707e-1
405.93,9.787e-1
405.95,3.388e+0
405.96,6.202e+0
405.98,2.011e+1
406.00,6.243e+1
406.02,1.855e+2
406.03,3.147e+2
406.05,8.761e+2
406.07,2.335e+3
406.09,5.958e+3
406.11,1.456e+4
406.12,2.238e+4
406.14,5.122e+4
406.16,1.122e+5
406.18,2.353e+5
406.19,3.353e+5
406.21,6.587e+5
406.23,1.239e+6
406.25,2.231e+6
406.26,2.946e+6
406.28,4.969e+6
406.30,8.024e+6
406.32,1.241e+7
406.33,1.517e+7
406.35,2.198e+7
406.37,3.047e+7
406.39,4.045e+7
406.40,4.584e+7
406.42,5.700e+7
406.44,6.785e+7
406.46,7.733e+7
406.47,8.121e+7
406.49,8.670e+7
406.51,8.861e+7
406.53,8.670e+7
406.54,8.437e+7
406.56,7.733e+7
406.58,6.785e+7
406.60,5.700e+7
406.61,5.140e+7
406.63,4.045e+7
406.65,3.047e+7
406.67,2.198e+7
406.69,1.517e+7
406.70,1.241e+7
406.72,8.024e+6
406.74,4.969e+6
406.76,2.946e+6
406.77,2.231e+6
406.79,1.239e+6
406.81,6.587e+5
406.83,3.353e+5
406.84,2.353e+5
406.86,1.122e+5
406.88,5.122e+4
406.90,2.238e+4
406.91,1.456e+4
406.93,5.958e+3
406.95,2.335e+3
406.97,8.761e+2
406.98,5.279e+2
407.00,1.855e+2
407.02,6.243e+1
407.04,2.011e+1
