Wavelength (nm),Sum(calc),Cr I (8.8e-1),Cr II (1.2e-1),Cr IV (1.2e-23),Cr V (9.8e-51)
205.15,1.903e-7,,1.903e-7,,
205.16,1.068e-6,,1.068e-6,,
205.18,2.963e-5,,2.963e-5,,
205.20,6.930e-4,,6.930e-4,,
205.21,3.144e-3,,3.144e-3,,
205.23,5.696e-2,,5.696e-2,,
205.25,8.701e-1,,8.701e-1,,
205.27,1.121e+1,,1.121e+1,,
205.28,3.774e+1,,3.774e+1,,
205.30,3.766e+2,,3.766e+2,,
205.32,3.169e+3,,3.169e+3,,
205.33,8.623e+3,,8.623e+3,,
205.35,5.619e+4,,5.619e+4,,
205.37,3.088e+5,,3.088e+5,,
205.38,6.791e+5,,6.791e+5,,
205.40,2.890e+6,,2.890e+6,,
205.42,1.037e+7,,1.037e+7,,
205.44,3.140e+7,,3.140e+7,,
205.45,5.125e+7,,5.125e+7,,
205.47,1.201e+8,,1.201e+8,,
205.49,2.375e+8,,2.375e+8,,
205.50,3.133e+8,,3.133e+8,,
205.52,4.797e+8,,4.797e+8,,
205.54,6.194e+8,,6.194e+8,,
205.55,6.603e+8,,6.603e+8,,
205.57,6.603e+8,,6.603e+8,,
205.59,5.568e+8,,5.568e+8,,
205.61,3.960e+8,,3.960e+8,,
205.62,3.133e+8,,3.133e+8,,
205.64,1.726e+8,,1.726e+8,,
205.66,8.016e+7,,8.016e+7,,
205.67,5.125e+7,,5.125e+7,,
205.69,1.844e+7,,1.844e+7,,
205.71,5.594e+6,,5.594e+6,,
205.72,2.890e+6,,2.890e+6,,
205.74,6.791e+5,,6.791e+5,,
205.76,1.346e+5,,1.346e+5,,
205.78,2.249e+4,,2.249e+4,,
205.79,8.623e+3,,8.623e+3,,
205.81,1.116e+3,,1.116e+3,,
205.83,1.218e+2,,1.218e+2,,
205.84,3.794e+1,,3.794e+1,,
205.86,5.848e+0,,5.848e+0,,
205.88,3.123e+1,,3.123e+1,,
205.89,9.942e+1,,9.942e+1,,
205.91,8.988e+2,,8.988e+2,,
205.93,6.863e+3,,6.863e+3,,
205.95,4.424e+4,,4.424e+4,,
205.96,1.054e+5,,1.054e+5,,
205.98,5.270e+5,,5.270e+5,,
206.00,2.224e+6,,2.224e+6,,
206.01,4.289e+6,,4.289e+6,,
206.03,1.404e+7,,1.404e+7,,
206.05,3.879e+7,,3.879e+7,,
206.06,6.052e+7,,6.052e+7,,
206.08,1.297e+8,,1.297e+8,,
206.10,2.347e+8,,2.347e+8,,
206.12,3.584e+8,,3.584e+8,,
206.13,4.157e+8,,4.157e+8,,
206.15,4.924e+8,,4.924e+8,,
206.17,4.924e+8,,4.924e+8,,
206.18,4.621e+8,,4.621e+8,,
206.20,3.584e+8,,3.584e+8,,
206.22,2.347e+8,,2.347e+8,,
206.23,1.782e+8,,1.782e+8,,
206.25,9.050e+7,,9.050e+7,,
206.27,3.879e+7,,3.879e+7,,
206.29,1.404e+7,,1.404e+7,,
206.30,7.926e+6,,7.926e+6,,
206.32,2.229e+6,,2.229e+6,,
206.34,5.583e+5,,5.583e+5,,
206.35,3.149e+5,,3.149e+5,,
206.37,4.125e+5,,4.125e+5,,
206.39,1.553e+6,,1.553e+6,,
206.40,2.975e+6,,2.975e+6,,
206.42,9.688e+6,,9.688e+6,,
206.44,2.667e+7,,2.667e+7,,
206.46,6.201e+7,,6.201e+7,,
206.47,8.875e+7,,8.875e+7,,
206.49,1.602e+8,,1.602e+8,,
206.51,2.443e+8,,2.443e+8,,
206.52,2.832e+8,,2.832e+8,,
206.54,3.353e+8,,3.353e+8,,
206.56,3.353e+8,,3.353e+8,,
206.57,3.147e+8,,3.147e+8,,
206.59,2.443e+8,,2.443e+8,,
206.61,1.602e+8,,1.602e+8,,
206.62,1.218e+8,,1.218e+8,,
206.64,6.201e+7,,6.201e+7,,
206.66,2.667e+7,,2.667e+7,,
206.68,9.687e+6,,9.687e+6,,
206.69,5.481e+6,,5.481e+6,,
206.71,1.546e+6,,1.546e+6,,
206.73,3.683e+5,,3.683e+5,,
206.74,1.687e+5,,1.687e+5,,
206.76,3.121e+4,,3.121e+4,,
206.78,4.875e+3,,4.875e+3,,
206.79,1.809e+3,,1.809e+3,,
206.81,2.194e+2,,2.194e+2,,
206.83,2.248e+1,,2.248e+1,,
206.85,1.945e+0,,1.945e+0,,
206.86,5.372e-1,,5.372e-1,,
206.88,3.610e-2,,3.610e-2,,
206.90,2.049e-3,,2.049e-3,,
206.91,4.581e-4,,4.581e-4,,
206.93,2.019e-5,,2.019e-5,,
206.95,7.514e-7,,7.514e-7,,
206.96,1.361e-7,,1.361e-7,,
234.95,6.889e-9,6.889e-9,7.916e-8,,
234.96,3.222e-8,3.222e-8,7.914e-8,,
234.98,6.392e-7,6.392e-7,7.910e-8,,
235.00,1.114e-5,1.114e-5,7.906e-8,,
235.01,4.427e-5,4.427e-5,7.904e-8,,
235.03,6.348e-4,6.348e-4,7.900e-8,,
235.05,7.993e-3,7.993e-3,7.895e-8,,
235.06,2.701e-2,2.701e-2,7.893e-8,,
235.08,2.799e-1,2.799e-1,7.889e-8,,
235.10,2.547e+0,2.547e+0,7.885e-8,,
235.12,2.036e+1,2.036e+1,7.881e-8,,
235.13,5.481e+1,5.481e+1,7.879e-8,,
235.15,3.605e+2,3.605e+2,7.875e-8,,
235.17,2.082e+3,2.082e+3,7.871e-8,,
235.18,4.766e+3,4.766e+3,7.869e-8,,
235.20,2.265e+4,2.265e+4,7.865e-8,,
235.22,9.455e+4,9.455e+4,7.861e-8,,
235.23,1.840e+5,1.840e+5,7.859e-8,,
235.25,6.320e+5,6.320e+5,7.855e-8,,
235.27,1.906e+6,1.906e+6,7.851e-8,,
235.29,5.051e+6,5.051e+6,7.847e-8,,
235.30,7.830e+6,7.830e+6,7.845e-8,,
235.32,1.707e+7,1.707e+7,7.841e-8,,
235.34,3.268e+7,3.268e+7,7.837e-8,,
235.35,4.307e+7,4.307e+7,7.834e-8,,
235.37,6.786e+7,6.786e+7,7.830e-8,,
235.39,9.390e+7,9.390e+7,7.826e-8,,
235.40,1.052e+8,1.052e+8,7.824e-8,,
235.42,1.198e+8,1.198e+8,7.820e-8,,
235.44,1.198e+8,1.198e+8,7.816e-8,,
235.46,1.052e+8,1.052e+8,7.812e-8,,
235.47,9.390e+7,9.390e+7,7.810e-8,,
235.49,6.786e+7,6.786e+7,7.806e-8,,
235.51,4.307e+7,4.307e+7,7.802e-8,,
235.52,3.268e+7,3.268e+7,7.800e-8,,
235.54,1.707e+7,1.707e+7,7.796e-8,,
235.56,7.830e+6,7.830e+6,7.792e-8,,
235.57,5.051e+6,5.051e+6,7.790e-8,,
235.59,1.906e+6,1.906e+6,7.786e-8,,
235.61,6.320e+5,6.320e+5,7.782e-8,,
235.63,1.840e+5,1.840e+5,7.778e-8,,
235.64,9.455e+4,9.455e+4,7.776e-8,,
235.66,2.265e+4,2.265e+4,7.771e-8,,
235.68,4.766e+3,4.766e+3,7.767e-8,,
235.69,2.082e+3,2.082e+3,7.765e-8,,
