Wavelength (nm),Sum(calc),Cr I (2.2e-1),Cr II (7.8e-1),Cr IV (9.5e-14),Cr V (1.7e-31)
205.15,8.182e-6,,8.182e-6,,
205.16,4.593e-5,,4.593e-5,,
205.18,1.274e-3,,1.274e-3,,
205.20,2.980e-2,,2.980e-2,,
205.21,1.352e-1,,1.352e-1,,
205.23,2.449e+0,,2.449e+0,,
205.25,3.741e+1,,3.741e+1,,
205.27,4.819e+2,,4.819e+2,,
205.28,1.623e+3,,1.623e+3,,
205.30,1.619e+4,,1.619e+4,,
205.32,1.362e+5,,1.362e+5,,
205.33,3.707e+5,,3.707e+5,,
205.35,2.416e+6,,2.416e+6,,
205.37,1.328e+7,,1.328e+7,,
205.38,2.920e+7,,2.920e+7,,
205.40,1.243e+8,,1.243e+8,,
205.42,4.460e+8,,4.460e+8,,
205.44,1.350e+9,,1.350e+9,,
205.45,2.204e+9,,2.204e+9,,
205.47,5.166e+9,,5.166e+9,,
205.49,1.021e+10,,1.021e+10,,
205.50,1.347e+10,,1.347e+10,,
205.52,2.062e+10,,2.062e+10,,
205.54,2.663e+10,,2.663e+10,,
205.55,2.839e+10,,2.839e+10,,
205.57,2.839e+10,,2.839e+10,,
205.59,2.394e+10,,2.394e+10,,
205.61,1.703e+10,,1.703e+10,,
205.62,1.347e+10,,1.347e+10,,
205.64,7.420e+9,,7.420e+9,,
205.66,3.446e+9,,3.446e+9,,
205.67,2.204e+9,,2.204e+9,,
205.69,7.927e+8,,7.927e+8,,
205.71,2.405e+8,,2.405e+8,,
205.72,1.243e+8,,1.243e+8,,
205.74,2.920e+7,,2.920e+7,,
205.76,5.785e+6,,5.785e+6,,
205.78,9.667e+5,,9.667e+5,,
205.79,3.707e+5,,3.707e+5,,
205.81,4.798e+4,,4.798e+4,,
205.83,5.238e+3,,5.238e+3,,
205.84,1.631e+3,,1.631e+3,,
205.86,2.506e+2,,2.506e+2,,
205.88,1.333e+3,,1.333e+3,,
205.89,4.243e+3,,4.243e+3,,
205.91,3.836e+4,,3.836e+4,,
205.93,2.929e+5,,2.929e+5,,
205.95,1.888e+6,,1.888e+6,,
205.96,4.499e+6,,4.499e+6,,
205.98,2.249e+7,,2.249e+7,,
206.00,9.493e+7,,9.493e+7,,
206.01,1.830e+8,,1.830e+8,,
206.03,5.991e+8,,5.991e+8,,
206.05,1.655e+9,,1.655e+9,,
206.06,2.583e+9,,2.583e+9,,
206.08,5.535e+9,,5.535e+9,,
206.10,1.001e+10,,1.001e+10,,
206.11,1.264e+10,,1.264e+10,,
206.13,1.774e+10,,1.774e+10,,
206.15,2.101e+10,,2.101e+10,,
206.17,2.101e+10,,2.101e+10,,
206.18,1.972e+10,,1.972e+10,,
206.20,1.530e+10,,1.530e+10,,
206.22,1.001e+10,,1.001e+10,,
206.23,7.605e+9,,7.605e+9,,
206.25,3.862e+9,,3.862e+9,,
206.27,1.655e+9,,1.655e+9,,
206.28,1.017e+9,,1.017e+9,,
206.30,3.382e+8,,3.382e+8,,
206.32,9.513e+7,,9.513e+7,,
206.34,2.382e+7,,2.382e+7,,
206.35,1.342e+7,,1.342e+7,,
206.37,1.753e+7,,1.753e+7,,
206.39,6.593e+7,,6.593e+7,,
206.40,1.263e+8,,1.263e+8,,
206.42,4.114e+8,,4.114e+8,,
206.44,1.132e+9,,1.132e+9,,
206.45,1.764e+9,,1.764e+9,,
206.47,3.769e+9,,3.769e+9,,
206.49,6.804e+9,,6.804e+9,,
206.51,1.037e+10,,1.037e+10,,
206.52,1.203e+10,,1.203e+10,,
206.54,1.424e+10,,1.424e+10,,
206.56,1.424e+10,,1.424e+10,,
206.57,1.336e+10,,1.336e+10,,
206.59,1.037e+10,,1.037e+10,,
206.61,6.804e+9,,6.804e+9,,
206.62,5.172e+9,,5.172e+9,,
206.64,2.633e+9,,2.633e+9,,
206.66,1.132e+9,,1.132e+9,,
206.68,4.114e+8,,4.114e+8,,
206.69,2.327e+8,,2.327e+8,,
206.71,6.564e+7,,6.564e+7,,
206.73,1.564e+7,,1.564e+7,,
206.74,7.165e+6,,7.165e+6,,
206.76,1.325e+6,,1.325e+6,,
206.78,2.070e+5,,2.070e+5,,
206.79,7.681e+4,,7.681e+4,,
206.81,9.317e+3,,9.317e+3,,
206.83,9.546e+2,,9.546e+2,,
206.85,8.262e+1,,8.262e+1,,
206.86,2.281e+1,,2.281e+1,,
206.88,1.533e+0,,1.533e+0,,
206.90,8.700e-2,,8.700e-2,,
206.91,1.946e-2,,1.946e-2,,
206.93,8.573e-4,,8.573e-4,,
206.95,3.191e-5,,3.191e-5,,
206.96,5.778e-6,,5.778e-6,,
234.95,1.057e-8,1.057e-8,3.389e-6,,
234.96,4.945e-8,4.945e-8,3.388e-6,,
234.98,9.810e-7,9.810e-7,3.386e-6,,
235.00,1.709e-5,1.709e-5,3.384e-6,,
235.01,6.795e-5,6.795e-5,3.384e-6,,
235.03,9.743e-4,9.743e-4,3.382e-6,,
235.05,1.227e-2,1.227e-2,3.380e-6,,
235.06,4.146e-2,4.146e-2,3.379e-6,,
235.08,4.296e-1,4.296e-1,3.378e-6,,
235.10,3.910e+0,3.910e+0,3.376e-6,,
235.12,3.125e+1,3.125e+1,3.374e-6,,
235.13,8.413e+1,8.413e+1,3.373e-6,,
235.15,5.533e+2,5.533e+2,3.372e-6,,
235.17,3.196e+3,3.196e+3,3.370e-6,,
235.18,7.315e+3,7.315e+3,3.369e-6,,
235.20,3.477e+4,3.477e+4,3.367e-6,,
235.22,1.451e+5,1.451e+5,3.366e-6,,
235.23,2.824e+5,2.824e+5,3.365e-6,,
235.25,9.700e+5,9.700e+5,3.363e-6,,
235.27,2.926e+6,2.926e+6,3.361e-6,,
235.29,7.752e+6,7.752e+6,3.360e-6,,
235.30,1.202e+7,1.202e+7,3.359e-6,,
235.32,2.620e+7,2.620e+7,3.357e-6,,
235.34,5.016e+7,5.016e+7,3.355e-6,,
235.35,6.611e+7,6.611e+7,3.355e-6,,
235.37,1.042e+8,1.042e+8,3.353e-6,,
235.39,1.441e+8,1.441e+8,3.351e-6,,
235.40,1.615e+8,1.615e+8,3.350e-6,,
235.42,1.839e+8,1.839e+8,3.349e-6,,
235.44,1.839e+8,1.839e+8,3.347e-6,,
235.46,1.615e+8,1.615e+8,3.345e-6,,
235.47,1.441e+8,1.441e+8,3.344e-6,,
235.49,1.042e+8,1.042e+8,3.343e-6,,
235.51,6.611e+7,6.611e+7,3.341e-6,,
235.52,5.016e+7,5.016e+7,3.340e-6,,
235.54,2.620e+7,2.620e+7,3.338e-6,,
235.56,1.202e+7,1.202e+7,3.337e-6,,
235.57,7.752e+6,7.752e+6,3.336e-6,,
235.59,2.926e+6,2.926e+6,3.334e-6,,
235.61,9.700e+5,9.700e+5,3.332e-6,,
235.63,2.824e+5,2.824e+5,3.331e-6,,
235.64,1.451e+5,1.451e+5,3.330e-6,,
235.66,3.477e+4,3.477e+4,3.328e-6,,
235.68,7.315e+3,7.315e+3,3.326e-6,,
235.69,3.196e+3,3.196e+3,3.325e-6,,
235.71,5.533e+2,5.533e+2,3.324e-6,,
235.73,8.413e+1,8.413e+1,3.322e-6,,
235.74,3.125e+1,3.125e+1,3.321e-6,,
235.76,3.910e+0,3.910e+0,3.320e-6,,
235.78,4.296e-1,4.296e-1,3.318e-6,,
235.80,4.146e-2,4.146e-2,3.316e-6,,
235.81,1.227e-2,1.227e-2,3.315e-6,,
235.83,9.743e-4,9.743e-4,3.314e-6,,
235.85,6.795e-5,6.795e-5,3.312e-6,,
235.86,1.709e-5,1.709e-5,3.311e-6,,
235.88,9.810e-7,9.810e-7,3.309e-6,,
235.90,4.945e-8,4.945e-8,3.308e-6,,
235.91,1.057e-8,1.057e-8,3.307e-6,,
236.00,1.228e-7,1.228e-7,3.299e-6,,
236.02,2.372e-6,2.372e-6,3.297e-6,,
236.03,9.937e-6,9.937e-6,3.296e-6,,
236.05,1.583e-4,1.583e-4,3.295e-6,,
236.07,2.217e-3,2.217e-3,3.293e-6,,
236.08,7.907e-3,7.907e-3,3.292e-6,,
236.10,9.130e-2,9.130e-2,3.290e-6,,
236.12,9.268e-1,9.268e-1,3.289e-6,,
236.14,8.272e+0,8.272e+0,3.287e-6,,
236.15,2.355e+1,2.355e+1,3.286e-6,,
236.17,1.733e+2,1.733e+2,3.285e-6,,
236.19,1.121e+3,1.121e+3,3.283e-6,,
236.20,2.716e+3,2.716e+3,3.282e-6,,
236.22,1.448e+4,1.448e+4,3.280e-6,,
236.24,6.790e+4,6.790e+4,3.279e-6,,
236.25,1.401e+5,1.401e+5,3.278e-6,,
236.27,5.415e+5,5.415e+5,3.276e-6,,
236.29,1.840e+6,1.840e+6,3.274e-6,,
236.31,5.498e+6,5.498e+6,3.273e-6,,
236.32,9.055e+6,9.055e+6,3.272e-6,,
236.34,2.231e+7,2.231e+7,3.270e-6,,
236.36,4.833e+7,4.833e+7,3.268e-6,,
236.37,6.780e+7,6.780e+7,3.267e-6,,
236.39,1.213e+8,1.213e+8,3.266e-6,,
236.41,1.911e+8,1.911e+8,3.264e-6,,
236.42,2.290e+8,2.290e+8,3.263e-6,,
236.44,3.002e+8,3.002e+8,3.261e-6,,
236.46,3.512e+8,3.512e+8,3.260e-6,,
236.48,3.725e+8,3.725e+8,3.258e-6,,
236.49,3.729e+8,3.729e+8,3.257e-6,,
236.51,3.617e+8,3.617e+8,3.255e-6,,
236.53,3.496e+8,3.496e+8,3.254e-6,,
236.54,3.474e+8,3.474e+8,3.253e-6,,
