Wavelength (nm),Sum(calc),Cu I (3.0e-1),Cu II (7.0e-1)
200.87,6.605e-13,,6.605e-13
200.89,2.757e-11,,2.757e-11
200.90,1.666e-10,,1.666e-10
200.92,5.327e-9,,5.327e-9
200.94,1.426e-7,,1.426e-7
200.95,6.902e-7,,6.902e-7
200.97,1.415e-5,,1.415e-5
200.99,2.430e-4,,2.430e-4
201.00,9.418e-4,,9.418e-4
201.02,1.238e-2,,1.238e-2
201.04,1.364e-1,,1.364e-1
201.05,4.233e-1,,4.233e-1
201.07,3.570e+0,,3.570e+0
201.09,2.520e+1,,2.520e+1
201.10,6.266e+1,,6.266e+1
201.12,3.389e+2,,3.389e+2
201.14,1.535e+3,,1.535e+3
201.15,3.055e+3,,3.055e+3
201.17,1.060e+4,,1.060e+4
201.19,3.077e+4,,3.077e+4
201.20,4.906e+4,,4.906e+4
201.22,1.091e+5,,1.091e+5
201.24,2.033e+5,,2.033e+5
201.25,2.595e+5,,2.595e+5
201.27,3.703e+5,,3.703e+5
201.29,4.423e+5,,4.423e+5
201.30,4.522e+5,,4.522e+5
201.32,4.139e+5,,4.139e+5
201.34,3.176e+5,,3.176e+5
201.35,2.613e+5,,2.613e+5
201.37,1.624e+5,,1.624e+5
201.39,1.247e+5,,1.247e+5
201.40,1.527e+5,,1.527e+5
201.42,4.100e+5,,4.100e+5
201.44,1.245e+6,,1.245e+6
201.45,2.066e+6,,2.066e+6
201.47,5.004e+6,,5.004e+6
201.49,1.017e+7,,1.017e+7
201.50,1.356e+7,,1.356e+7
201.52,2.112e+7,,2.112e+7
201.54,2.755e+7,,2.755e+7
201.55,2.944e+7,,2.944e+7
201.57,2.944e+7,,2.944e+7
201.59,2.466e+7,,2.466e+7
201.60,2.112e+7,,2.112e+7
201.62,1.356e+7,,1.356e+7
201.64,7.291e+6,,7.291e+6
201.65,5.003e+6,,5.003e+6
201.67,2.062e+6,,2.062e+6
201.69,7.122e+5,,7.122e+5
201.70,3.916e+5,,3.916e+5
201.72,1.036e+5,,1.036e+5
201.74,2.298e+4,,2.298e+4
201.75,1.012e+4,,1.012e+4
201.77,1.720e+3,,1.720e+3
201.79,2.449e+2,,2.449e+2
201.80,8.645e+1,,8.645e+1
201.82,9.433e+0,,9.433e+0
201.84,8.621e-1,,8.621e-1
201.85,2.439e-1,,2.439e-1
201.87,1.709e-2,,1.709e-2
201.89,1.003e-3,,1.003e-3
201.90,2.273e-4,,2.273e-4
201.92,1.022e-5,,1.022e-5
201.94,3.852e-7,,3.852e-7
201.95,6.995e-8,,6.995e-8
201.97,2.020e-9,,2.020e-9
202.02,3.300e-8,3.300e-8,1.482e-9
202.04,1.108e-6,1.108e-6,1.267e-9
202.05,6.012e-6,6.012e-6,1.160e-9
202.07,1.551e-4,1.551e-4,9.445e-10
202.09,3.357e-3,3.357e-3,7.294e-10
202.10,1.462e-2,1.462e-2,6.218e-10
202.12,2.432e-1,2.432e-1,4.066e-10
202.14,3.392e+0,3.392e+0,1.621e-8
202.15,1.186e+1,1.186e+1,9.582e-8
202.17,1.271e+2,1.271e+2,2.936e-6
202.19,1.143e+3,1.143e+3,7.547e-5
202.20,3.209e+3,3.209e+3,3.583e-4
202.22,2.217e+4,2.217e+4,7.078e-3
202.24,1.285e+5,1.285e+5,1.173e-1
202.25,2.895e+5,2.895e+5,4.473e-1
202.27,1.289e+6,1.289e+6,5.698e+0
202.29,4.815e+6,4.815e+6,6.091e+1
202.30,8.711e+6,8.711e+6,1.864e+2
202.32,2.500e+7,2.500e+7,1.532e+3
202.34,6.019e+7,6.018e+7,1.056e+4
202.35,8.744e+7,8.741e+7,2.595e+4
202.37,1.618e+8,1.617e+8,1.375e+5
202.39,2.515e+8,2.509e+8,6.111e+5
202.40,2.937e+8,2.925e+8,1.206e+6
202.42,3.528e+8,3.487e+8,4.121e+6
202.44,3.605e+8,3.487e+8,1.181e+7
202.45,3.452e+8,3.265e+8,1.872e+7
202.47,2.921e+8,2.509e+8,4.124e+7
202.48,2.632e+8,2.059e+8,5.731e+7
202.50,2.186e+8,1.215e+8,9.703e+7
202.52,1.980e+8,6.018e+7,1.378e+8
202.53,1.935e+8,3.965e+7,1.538e+8
202.55,1.830e+8,1.508e+7,1.679e+8
202.57,1.586e+8,4.815e+6,1.538e+8
202.58,1.404e+8,2.547e+6,1.378e+8
202.60,9.766e+7,6.245e+5,9.703e+7
202.62,5.745e+7,1.285e+5,5.733e+7
202.63,4.132e+7,5.455e+4,4.126e+7
202.65,1.877e+7,8.621e+3,1.876e+7
202.67,7.189e+6,1.143e+3,7.188e+6
202.68,4.188e+6,3.897e+2,4.187e+6
202.70,1.286e+6,3.970e+1,1.286e+6
202.72,3.756e+5,3.392e+0,3.756e+5
202.73,2.117e+5,9.284e-1,2.117e+5
202.75,8.304e+4,6.095e-2,8.304e+4
202.77,4.095e+4,3.357e-3,4.095e+4
202.78,2.925e+4,7.376e-4,2.925e+4
202.80,1.396e+4,3.121e-5,1.396e+4
202.82,5.864e+3,1.108e-6,5.864e+3
202.83,3.710e+3,1.955e-7,3.710e+3
202.85,2.017e+3,1.952e-7,2.017e+3
202.87,3.130e+3,1.949e-7,3.130e+3
202.88,4.832e+3,1.947e-7,4.832e+3
202.90,1.132e+4,1.944e-7,1.132e+4
202.92,2.304e+4,1.942e-7,2.304e+4
202.93,3.103e+4,1.940e-7,3.103e+4
202.95,5.084e+4,1.937e-7,5.084e+4
202.97,7.562e+4,1.934e-7,7.562e+4
202.98,9.091e+4,1.933e-7,9.091e+4
203.00,1.339e+5,1.930e-7,1.339e+5
203.02,2.068e+5,1.927e-7,2.068e+5
203.03,2.583e+5,1.926e-7,2.583e+5
203.05,3.879e+5,1.923e-7,3.879e+5
203.07,5.237e+5,1.920e-7,5.237e+5
203.08,5.772e+5,1.918e-7,5.772e+5
203.10,6.223e+5,1.916e-7,6.223e+5
203.12,5.676e+5,1.913e-7,5.676e+5
203.13,5.084e+5,1.911e-7,5.084e+5
203.15,3.582e+5,1.908e-7,3.582e+5
203.17,2.121e+5,1.905e-7,2.121e+5
203.18,1.529e+5,1.904e-7,1.529e+5
203.20,6.970e+4,1.901e-7,6.970e+4
203.22,2.669e+4,1.898e-7,2.669e+4
203.23,1.547e+4,1.897e-7,1.547e+4
203.25,4.558e+3,1.894e-7,4.558e+3
203.27,1.128e+3,1.891e-7,1.128e+3
203.28,5.262e+2,1.890e-7,5.262e+2
203.30,1.068e+2,1.887e-7,1.068e+2
203.32,9.170e+1,1.884e-7,9.170e+1
203.33,2.452e+2,1.882e-7,2.452e+2
203.35,2.099e+3,1.879e-7,2.099e+3
203.37,1.547e+4,1.877e-7,1.547e+4
203.38,3.935e+4,1.875e-7,3.935e+4
203.40,2.236e+5,1.872e-7,2.236e+5
203.42,1.068e+6,1.869e-7,1.068e+6
203.43,2.186e+6,1.868e-7,2.186e+6
203.45,8.044e+6,1.865e-7,8.044e+6
203.47,2.488e+7,1.862e-7,2.488e+7
203.48,4.100e+7,1.861e-7,4.100e+7
203.50,9.775e+7,1.858e-7,9.775e+7
203.52,1.960e+8,1.855e-7,1.960e+8
203.53,2.601e+8,1.854e-7,2.601e+8
203.55,4.031e+8,1.851e-7,4.031e+8
203.57,5.287e+8,1.848e-7,5.287e+8
203.58,5.705e+8,1.846e-7,5.705e+8
203.60,5.986e+8,1.843e-7,5.986e+8
203.62,5.700e+8,1.841e-7,5.700e+8
203.63,5.504e+8,1.839e-7,5.504e+8
203.65,5.341e+8,1.836e-7,5.341e+8
203.67,5.649e+8,1.833e-7,5.649e+8
203.68,5.907e+8,1.832e-7,5.907e+8
203.70,6.273e+8,1.829e-7,6.273e+8
203.72,6.008e+8,1.826e-7,6.008e+8
203.73,5.574e+8,1.825e-7,5.574e+8
203.75,4.257e+8,1.822e-7,4.257e+8
203.77,2.750e+8,1.819e-7,2.750e+8
203.78,2.072e+8,1.817e-7,2.072e+8
203.80,1.035e+8,1.815e-7,1.035e+8
203.82,4.344e+7,1.812e-7,4.344e+7
203.83,2.638e+7,1.810e-7,2.638e+7
203.85,8.540e+6,1.807e-7,8.540e+6
203.87,2.325e+6,1.804e-7,2.325e+6
203.88,1.136e+6,1.803e-7,1.136e+6
203.90,2.384e+5,1.800e-7,2.384e+5
203.92,4.206e+4,1.797e-7,4.206e+4
203.93,1.655e+4,1.796e-7,1.655e+4
203.95,2.251e+3,1.793e-7,2.251e+3
203.97,2.573e+2,1.790e-7,2.573e+2
203.98,8.152e+1,1.789e-7,8.152e+1
204.00,7.184e+0,1.786e-7,7.184e+0
204.02,5.328e-1,1.783e-7,5.328e-1
204.03,1.384e-1,1.781e-7,1.384e-1
204.05,5.632e-2,1.778e-7,5.632e-2
204.07,7.660e-1,1.776e-7,7.660e-1
204.08,2.850e+0,1.774e-7,2.850e+0
204.10,3.470e+1,1.771e-7,3.470e+1
