Wavelength (nm),Sum(calc),Cu I (9.3e-3),Cu II (9.9e-1)
200.87,2.797e-10,,2.797e-10
200.89,1.167e-8,,1.167e-8
200.90,7.055e-8,,7.055e-8
200.92,2.256e-6,,2.256e-6
200.94,6.038e-5,,6.038e-5
200.95,2.922e-4,,2.922e-4
200.97,5.992e-3,,5.992e-3
200.99,1.029e-1,,1.029e-1
201.00,3.987e-1,,3.987e-1
201.02,5.243e+0,,5.243e+0
201.04,5.773e+1,,5.773e+1
201.05,1.792e+2,,1.792e+2
201.07,1.511e+3,,1.511e+3
201.09,1.067e+4,,1.067e+4
201.10,2.653e+4,,2.653e+4
201.12,1.435e+5,,1.435e+5
201.14,6.497e+5,,6.497e+5
201.15,1.293e+6,,1.293e+6
201.17,4.487e+6,,4.487e+6
201.19,1.303e+7,,1.303e+7
201.20,2.077e+7,,2.077e+7
201.22,4.621e+7,,4.621e+7
201.24,8.607e+7,,8.607e+7
201.25,1.099e+8,,1.099e+8
201.27,1.568e+8,,1.568e+8
201.29,1.873e+8,,1.873e+8
201.30,1.915e+8,,1.915e+8
201.32,1.752e+8,,1.752e+8
201.34,1.342e+8,,1.342e+8
201.35,1.100e+8,,1.100e+8
201.37,6.493e+7,,6.493e+7
201.39,3.389e+7,,3.389e+7
201.40,2.536e+7,,2.536e+7
201.42,2.516e+7,,2.516e+7
201.44,5.734e+7,,5.734e+7
201.45,9.264e+7,,9.264e+7
201.47,2.219e+8,,2.219e+8
201.49,4.503e+8,,4.503e+8
201.50,6.005e+8,,6.005e+8
201.52,9.353e+8,,9.353e+8
201.54,1.220e+9,,1.220e+9
201.55,1.304e+9,,1.304e+9
201.57,1.304e+9,,1.304e+9
201.59,1.092e+9,,1.092e+9
201.60,9.353e+8,,9.353e+8
201.62,6.005e+8,,6.005e+8
201.64,3.229e+8,,3.229e+8
201.65,2.216e+8,,2.216e+8
201.67,9.135e+7,,9.135e+7
201.69,3.154e+7,,3.154e+7
201.70,1.734e+7,,1.734e+7
201.72,4.591e+6,,4.591e+6
201.74,1.018e+6,,1.018e+6
201.75,4.484e+5,,4.484e+5
201.77,7.620e+4,,7.620e+4
201.79,1.085e+4,,1.085e+4
201.80,3.829e+3,,3.829e+3
201.82,4.178e+2,,4.178e+2
201.84,3.819e+1,,3.819e+1
201.85,1.080e+1,,1.080e+1
201.87,7.568e-1,,7.568e-1
201.89,4.441e-2,,4.441e-2
201.90,1.007e-2,,1.007e-2
201.92,4.528e-4,,4.528e-4
201.94,1.706e-5,,1.706e-5
201.95,3.098e-6,,3.098e-6
201.97,8.949e-8,,8.949e-8
202.02,8.622e-9,8.622e-9,6.558e-8
202.04,2.895e-7,2.895e-7,5.602e-8
202.05,1.571e-6,1.571e-6,5.124e-8
202.07,4.053e-5,4.053e-5,4.168e-8
202.09,8.772e-4,8.772e-4,3.212e-8
202.10,3.821e-3,3.821e-3,2.734e-8
202.12,6.354e-2,6.354e-2,1.778e-8
202.14,8.864e-1,8.864e-1,7.088e-7
202.15,3.099e+0,3.099e+0,4.190e-6
202.17,3.322e+1,3.322e+1,1.284e-4
202.19,2.987e+2,2.987e+2,3.300e-3
202.20,8.385e+2,8.385e+2,1.566e-2
202.22,5.793e+3,5.792e+3,3.095e-1
202.24,3.357e+4,3.357e+4,5.130e+0
202.25,7.567e+4,7.565e+4,1.956e+1
202.27,3.371e+5,3.368e+5,2.491e+2
202.29,1.261e+6,1.258e+6,2.663e+3
202.30,2.284e+6,2.276e+6,8.152e+3
202.32,6.599e+6,6.532e+6,6.697e+4
202.34,1.619e+7,1.572e+7,4.616e+5
202.35,2.398e+7,2.284e+7,1.135e+6
