Wavelength (nm),Sum(calc),Mg I (9.1e-1),Mg II (9.5e-2),Mg III (7.8e-8),Mg IV (2.8e-53),Mg V (2.4e-117)
200.07,6.114e-48,,,6.114e-48,,
200.09,2.405e-46,,,2.405e-46,,
200.11,7.908e-45,,,7.908e-45,,
200.12,4.240e-44,,,4.240e-44,,
200.14,1.066e-42,,,1.066e-42,,
200.16,2.240e-41,,,2.240e-41,,
200.17,9.600e-41,,,9.600e-41,,
200.19,1.542e-39,,,1.542e-39,,
200.21,2.071e-38,,,2.071e-38,,
200.22,7.095e-38,,,7.095e-38,,
200.24,7.282e-37,,,7.282e-37,,
200.26,6.249e-36,,,6.249e-36,,
200.27,1.712e-35,,,1.712e-35,,
200.29,1.123e-34,,,1.123e-34,,
200.31,6.156e-34,,,6.156e-34,,
200.32,1.348e-33,,,1.348e-33,,
200.34,5.649e-33,,,5.649e-33,,
200.35,1.081e-32,,,1.081e-32,,
200.37,3.465e-32,,,3.465e-32,,
200.39,9.280e-32,,,9.280e-32,,
200.40,1.420e-31,,,1.420e-31,,
200.42,2.907e-31,,,2.907e-31,,
200.44,4.976e-31,,,4.976e-31,,
200.45,6.087e-31,,,6.087e-31,,
200.47,7.963e-31,,,7.963e-31,,
200.49,8.709e-31,,,8.709e-31,,
200.50,8.516e-31,,,8.516e-31,,
200.52,7.119e-31,,,7.119e-31,,
200.54,4.976e-31,,,4.976e-31,,
200.55,3.889e-31,,,3.889e-31,,
200.57,2.078e-31,,,2.078e-31,,
200.59,9.280e-32,,,9.280e-32,,
200.60,5.799e-32,,,5.799e-32,,
200.62,1.980e-32,,,1.980e-32,,
200.64,5.649e-33,,,5.649e-33,,
200.65,2.822e-33,,,2.822e-33,,
200.67,6.156e-34,,,6.156e-34,,
200.69,1.123e-34,,,1.123e-34,,
200.70,4.483e-35,,,4.483e-35,,
200.72,6.249e-36,,,6.249e-36,,
200.74,7.282e-37,,,7.282e-37,,
200.75,2.325e-37,,,2.325e-37,,
200.77,2.071e-38,,,2.071e-38,,
200.79,1.542e-39,,,1.542e-39,,
200.80,3.935e-40,,,3.935e-40,,
200.82,2.240e-41,,,2.240e-41,,
200.84,1.066e-42,,,1.066e-42,,
200.85,2.174e-43,,,2.174e-43,,
200.87,7.908e-45,,,7.908e-45,,
200.89,2.405e-46,,,2.405e-46,,
200.90,3.921e-47,,,3.921e-47,,
202.16,1.412e-7,1.412e-7,,5.969e-46,,
202.18,5.151e-6,5.151e-6,,6.058e-46,,
202.20,1.576e-4,1.576e-4,,6.146e-46,,
202.21,8.165e-4,8.165e-4,,6.190e-46,,
202.23,1.921e-2,1.921e-2,,6.279e-46,,
202.24,8.722e-2,8.722e-2,,6.323e-46,,
202.26,1.577e+0,1.577e+0,,6.412e-46,9.104e-106,
202.28,2.392e+1,2.392e+1,,6.500e-46,3.611e-104,
202.29,8.724e+1,8.724e+1,,6.545e-46,2.129e-103,
202.31,1.017e+3,1.017e+3,,6.633e-46,6.493e-102,
202.33,9.952e+3,9.952e+3,,6.722e-46,1.662e-100,
202.34,2.915e+4,2.915e+4,,6.766e-46,7.872e-100,
202.36,2.192e+5,2.192e+5,,6.854e-46,1.549e-98,
202.38,1.383e+6,1.383e+6,,6.943e-46,2.557e-97,
202.39,3.253e+6,3.253e+6,,6.987e-46,9.731e-97,
202.41,1.578e+7,1.578e+7,,7.076e-46,1.235e-95,
202.43,6.420e+7,6.420e+7,,7.164e-46,1.316e-94,
202.44,1.213e+8,1.213e+8,,7.208e-46,4.023e-94,
202.46,3.793e+8,3.793e+8,,7.297e-46,3.295e-93,
202.48,9.955e+8,9.955e+8,,7.386e-46,2.266e-92,
202.49,1.510e+9,1.510e+9,,7.430e-46,5.562e-92,
202.51,3.046e+9,3.046e+9,,7.518e-46,2.940e-91,
202.53,5.156e+9,5.156e+9,,7.607e-46,1.304e-90,
202.54,6.282e+9,6.282e+9,,7.651e-46,2.572e-90,
202.56,8.172e+9,8.172e+9,,7.740e-46,8.770e-90,
202.58,8.922e+9,8.922e+9,,7.828e-46,2.510e-89,
202.59,8.728e+9,8.728e+9,,7.872e-46,3.976e-89,
202.61,7.324e+9,7.324e+9,,7.961e-46,8.750e-89,
202.63,5.156e+9,5.156e+9,,8.049e-46,1.616e-88,
202.64,4.051e+9,4.051e+9,,8.094e-46,2.056e-88,
202.66,2.192e+9,2.192e+9,,8.182e-46,2.919e-88,
202.68,9.955e+8,9.955e+8,,8.271e-46,3.479e-88,
202.69,6.281e+8,6.281e+8,,8.315e-46,3.556e-88,
202.71,2.192e+8,2.192e+8,,8.404e-46,3.257e-88,
202.73,6.420e+7,6.420e+7,,8.492e-46,2.504e-88,
202.74,3.253e+7,3.253e+7,,8.536e-46,2.056e-88,
202.76,7.322e+6,7.322e+6,,8.625e-46,1.215e-88,
202.78,1.383e+6,1.383e+6,,8.713e-46,6.029e-89,
202.79,5.628e+5,5.628e+5,,8.758e-46,3.976e-89,
202.81,8.170e+4,8.170e+4,,8.846e-46,1.517e-89,
202.83,9.952e+3,9.952e+3,,8.935e-46,4.854e-90,
202.84,3.252e+3,3.252e+3,,8.979e-46,2.572e-90,
202.86,3.045e+2,3.045e+2,,9.067e-46,6.329e-91,
202.88,2.392e+1,2.392e+1,,9.156e-46,1.307e-91,
202.89,6.278e+0,6.278e+0,,9.200e-46,5.562e-92,
202.91,3.791e-1,3.791e-1,,9.289e-46,8.832e-93,
202.92,8.722e-2,8.722e-2,,9.333e-46,3.295e-93,
202.94,4.048e-3,4.048e-3,,9.422e-46,4.023e-94,
202.96,1.576e-4,1.576e-4,,9.510e-46,4.122e-95,
202.97,2.913e-5,2.913e-5,,9.554e-46,1.235e-95,
202.99,8.719e-7,8.719e-7,,9.643e-46,9.731e-97,
203.01,6.433e-98,8.716e-7,,9.731e-46,6.433e-98,
203.02,1.549e-98,8.715e-7,,9.776e-46,1.549e-98,
203.04,7.872e-100,8.713e-7,,9.864e-46,7.872e-100,
203.06,3.358e-101,8.710e-7,,9.953e-46,3.358e-101,
203.07,6.493e-102,8.709e-7,,9.997e-46,6.493e-102,
203.09,2.129e-103,8.706e-7,,1.009e-45,2.129e-103,
203.54,1.208e-45,8.650e-7,,1.208e-45,2.102e-103,
203.55,6.967e-45,8.649e-7,,6.967e-45,2.101e-103,
203.57,2.037e-43,8.646e-7,,2.037e-43,2.100e-103,
203.59,5.007e-42,8.644e-7,,5.007e-42,2.099e-103,
203.60,2.326e-41,8.643e-7,,2.326e-41,2.098e-103,
203.62,4.412e-40,8.640e-7,,4.412e-40,2.097e-103,
203.64,7.036e-39,8.638e-7,,7.036e-39,2.096e-103,
203.65,2.633e-38,8.636e-7,,2.633e-38,2.095e-103,
203.67,3.240e-37,8.634e-7,,3.240e-37,2.094e-103,
203.69,3.352e-36,8.631e-7,,3.352e-36,2.092e-103,
203.70,1.010e-35,8.630e-7,,1.010e-35,2.092e-103,
203.72,8.064e-35,8.628e-7,,8.064e-35,2.091e-103,
203.74,5.413e-34,8.625e-7,,5.413e-34,2.089e-103,
203.75,1.314e-33,8.624e-7,,1.314e-33,2.089e-103,
203.77,6.805e-33,8.621e-7,,6.805e-33,2.088e-103,
203.79,2.963e-32,8.619e-7,,2.963e-32,2.086e-103,
203.80,5.795e-32,8.618e-7,,5.795e-32,2.086e-103,
203.82,1.946e-31,8.615e-7,,1.946e-31,2.084e-103,
203.84,5.499e-31,8.613e-7,,5.499e-31,2.083e-103,
203.85,8.661e-31,8.611e-7,,8.661e-31,2.083e-103,
203.87,1.887e-30,8.609e-7,,1.887e-30,2.081e-103,
203.89,3.459e-30,8.606e-7,,3.459e-30,2.080e-103,
203.90,4.388e-30,8.605e-7,,4.388e-30,2.080e-103,
203.92,6.204e-30,8.603e-7,,6.204e-30,2.078e-103,
203.94,7.376e-30,8.600e-7,,7.376e-30,2.077e-103,
203.95,7.537e-30,8.599e-7,,7.537e-30,2.076e-103,
203.97,6.912e-30,8.596e-7,,6.912e-30,2.075e-103,
203.99,5.332e-30,8.594e-7,,5.332e-30,2.074e-103,
204.00,4.388e-30,8.593e-7,,4.388e-30,2.073e-103,
204.02,2.611e-30,8.590e-7,,2.611e-30,2.072e-103,
204.04,1.306e-30,8.588e-7,,1.306e-30,2.071e-103,
204.05,8.661e-31,8.586e-7,,8.661e-31,2.070e-103,
204.07,3.343e-31,8.584e-7,,3.343e-31,2.069e-103,
204.09,1.085e-31,8.581e-7,,1.085e-31,2.068e-103,
204.10,5.795e-32,8.580e-7,,5.795e-32,2.067e-103,
204.12,1.451e-32,8.578e-7,,1.451e-32,2.066e-103,
204.14,3.056e-33,8.575e-7,,3.056e-33,2.065e-103,
204.15,1.314e-33,8.574e-7,,1.314e-33,2.064e-103,
204.17,2.135e-34,8.571e-7,,2.135e-34,2.063e-103,
204.18,8.064e-35,8.570e-7,,8.064e-35,2.062e-103,
204.20,1.010e-35,8.568e-7,,1.010e-35,2.061e-103,
204.22,1.065e-36,8.565e-7,,1.065e-36,2.060e-103,
204.23,3.240e-37,8.564e-7,,3.240e-37,2.059e-103,
204.25,2.633e-38,8.561e-7,,2.633e-38,2.058e-103,
204.27,1.800e-39,8.559e-7,,1.800e-39,2.057e-103,
204.28,4.412e-40,8.558e-7,,4.412e-40,2.056e-103,
204.30,2.326e-41,8.555e-7,,2.326e-41,2.055e-103,
204.32,1.032e-42,8.553e-7,,1.032e-42,2.054e-103,
204.33,2.037e-43,8.551e-7,,2.037e-43,2.053e-103,
204.35,6.967e-45,8.549e-7,,6.967e-45,2.052e-103,
204.37,2.005e-46,8.546e-7,,2.005e-46,2.051e-103,
204.38,3.187e-47,8.545e-7,,3.187e-47,2.050e-103,
205.03,5.566e-198,8.464e-7,,2.473e-46,2.010e-103,5.566e-198
205.05,2.000e-196,8.461e-7,,2.539e-46,2.009e-103,2.000e-196
205.06,1.125e-195,8.460e-7,,2.572e-46,2.008e-103,1.125e-195
205.08,3.130e-194,8.458e-7,,2.638e-46,2.007e-103,3.130e-194
205.10,7.343e-193,8.455e-7,,2.705e-46,2.006e-103,7.343e-193
205.11,3.336e-192,8.454e-7,,2.738e-46,2.005e-103,3.336e-192
205.13,2.804e-46,8.451e-7,,2.804e-46,2.004e-103,6.061e-191
205.15,9.225e-45,8.449e-7,,9.225e-45,2.003e-103,9.283e-190
205.16,4.964e-44,8.448e-7,,4.964e-44,2.002e-103,3.408e-189
205.18,1.265e-42,8.445e-7,,1.265e-42,2.001e-103,4.042e-188
205.20,2.718e-41,8.443e-7,,2.718e-41,2.000e-103,4.042e-187
205.21,1.182e-40,8.441e-7,,1.182e-40,1.999e-103,1.199e-186
205.23,1.966e-39,8.439e-7,,1.966e-39,1.998e-103,9.282e-186
205.25,2.759e-38,8.436e-7,,2.759e-38,1.997e-103,6.060e-185
205.26,9.697e-38,8.435e-7,,9.697e-38,1.996e-103,1.452e-184
205.28,1.054e-36,8.433e-7,,1.054e-36,1.995e-103,7.341e-184
205.30,9.659e-36,8.430e-7,,9.659e-36,1.993e-103,3.129e-183
205.31,2.743e-35,8.429e-7,,2.743e-35,1.993e-103,6.060e-183
205.33,1.947e-34,8.426e-7,,1.947e-34,1.992e-103,2.000e-182
205.35,1.165e-33,8.424e-7,,1.165e-33,1.990e-103,5.564e-182
205.36,2.674e-33,8.423e-7,,2.674e-33,1.990e-103,8.706e-182
205.38,1.240e-32,8.420e-7,,1.240e-32,1.989e-103,1.876e-181
205.40,4.846e-32,8.418e-7,,4.846e-32,1.987e-103,3.407e-181
205.41,8.989e-32,8.416e-7,,8.989e-32,1.987e-103,4.308e-181
205.43,2.721e-31,8.414e-7,,2.721e-31,1.986e-103,6.059e-181
205.44,4.441e-31,8.413e-7,,4.441e-31,1.985e-103,6.741e-181
205.46,1.041e-30,8.410e-7,,1.041e-30,1.984e-103,7.341e-181
205.48,2.059e-30,8.408e-7,,2.059e-30,1.982e-103,6.741e-181
205.49,2.716e-30,8.406e-7,,2.716e-30,1.982e-103,6.059e-181
205.51,4.158e-30,8.404e-7,,4.158e-30,1.981e-103,4.308e-181
205.53,5.369e-30,8.401e-7,,5.369e-30,1.979e-103,2.583e-181
205.54,5.724e-30,8.400e-7,,5.724e-30,1.979e-103,1.876e-181
205.56,5.724e-30,8.398e-7,,5.724e-30,1.978e-103,8.706e-182
205.58,4.827e-30,8.395e-7,,4.827e-30,1.976e-103,3.407e-182
205.59,4.158e-30,8.394e-7,,4.158e-30,1.976e-103,2.000e-182
205.61,2.716e-30,8.391e-7,,2.716e-30,1.974e-103,6.060e-183
