Wavelength (nm),Sum(calc),Mg I (2.8e-1),Mg II (7.2e-1),Mg III (6.2e-4),Mg IV (3.2e-34),Mg V (1.0e-77)
200.07,4.525e-33,,,4.525e-33,,
200.08,2.902e-32,,,2.902e-32,,
200.10,1.044e-30,,,1.044e-30,,
200.12,3.138e-29,,,3.138e-29,,
200.13,1.609e-28,,,1.609e-28,,
200.15,3.698e-27,,,3.698e-27,,
200.17,7.106e-26,,,7.106e-26,,
200.18,2.912e-25,,,2.912e-25,,
200.20,4.277e-24,,,4.277e-24,,
200.22,5.251e-23,,,5.251e-23,,
200.23,1.720e-22,,,1.720e-22,,
200.25,1.615e-21,,,1.615e-21,,
200.27,1.267e-20,,,1.267e-20,,
200.28,3.318e-20,,,3.318e-20,,
200.30,1.990e-19,,,1.990e-19,,
200.32,9.976e-19,,,9.976e-19,,
200.33,2.089e-18,,,2.089e-18,,
200.35,8.004e-18,,,8.004e-18,,
200.36,1.465e-17,,,1.465e-17,,
200.38,4.292e-17,,,4.292e-17,,
200.40,1.051e-16,,,1.051e-16,,
200.41,1.538e-16,,,1.538e-16,,
200.43,2.879e-16,,,2.879e-16,,
200.45,4.505e-16,,,4.505e-16,,
200.46,5.269e-16,,,5.269e-16,,
200.48,6.303e-16,,,6.303e-16,,
200.50,6.303e-16,,,6.303e-16,,
200.51,5.893e-16,,,5.893e-16,,
200.53,4.505e-16,,,4.505e-16,,
200.55,2.879e-16,,,2.879e-16,,
200.56,2.152e-16,,,2.152e-16,,
200.58,1.051e-16,,,1.051e-16,,
200.60,4.292e-17,,,4.292e-17,,
200.61,2.564e-17,,,2.564e-17,,
200.63,8.004e-18,,,8.004e-18,,
200.65,2.089e-18,,,2.089e-18,,
200.66,9.976e-19,,,9.976e-19,,
200.68,1.990e-19,,,1.990e-19,,
200.70,3.318e-20,,,3.318e-20,,
200.71,1.267e-20,,,1.267e-20,,
200.73,1.615e-21,,,1.615e-21,,
200.75,1.720e-22,,,1.720e-22,,
200.76,5.251e-23,,,5.251e-23,,
200.78,4.277e-24,,,4.277e-24,,
200.80,2.912e-25,,,2.912e-25,,
200.81,7.106e-26,,,7.106e-26,,
200.83,3.698e-27,,,3.698e-27,,
200.85,1.609e-28,,,1.609e-28,,
200.86,3.138e-29,,,3.138e-29,,
200.88,1.044e-30,,,1.044e-30,,
200.90,2.902e-32,,,2.902e-32,,
202.16,3.153e-7,3.153e-7,,8.307e-32,,
202.17,1.946e-6,1.946e-6,,8.350e-32,,
202.19,6.501e-5,6.501e-5,,8.436e-32,,
202.21,1.823e-3,1.823e-3,,8.522e-32,,
202.22,9.035e-3,9.035e-3,,8.565e-32,,
202.24,1.947e-1,1.947e-1,,8.651e-32,,
202.26,3.520e+0,3.520e+0,,8.736e-32,9.084e-73,
202.27,1.401e+1,1.401e+1,,8.779e-32,5.848e-72,
202.29,1.947e+2,1.947e+2,,8.865e-32,2.125e-70,
202.30,6.796e+2,6.796e+2,,8.908e-32,1.199e-69,
202.32,7.259e+3,7.259e+3,,8.994e-32,3.350e-68,
202.34,6.505e+4,6.505e+4,,9.080e-32,7.855e-67,
202.35,1.823e+5,1.823e+5,,9.123e-32,3.561e-66,
202.37,1.256e+6,1.256e+6,,9.208e-32,6.419e-65,
202.39,7.260e+6,7.260e+6,,9.294e-32,9.710e-64,
202.40,1.634e+7,1.634e+7,,9.337e-32,3.537e-63,
202.42,7.261e+7,7.261e+7,,9.423e-32,4.113e-62,
202.44,2.707e+8,2.707e+8,,9.509e-32,4.015e-61,
202.45,4.893e+8,4.893e+8,,9.551e-32,1.174e-60,
202.47,1.402e+9,1.402e+9,,9.637e-32,8.813e-60,
202.49,3.371e+9,3.371e+9,,9.723e-32,5.550e-59,
202.50,4.893e+9,4.893e+9,,9.766e-32,1.304e-58,
202.52,9.042e+9,9.042e+9,,9.852e-32,6.315e-58,
202.54,1.402e+10,1.402e+10,,9.938e-32,2.566e-57,
202.55,1.635e+10,1.635e+10,,9.980e-32,4.844e-57,
202.57,1.948e+10,1.948e+10,,1.007e-31,1.513e-56,
202.59,1.948e+10,1.948e+10,,1.015e-31,3.968e-56,
202.60,1.824e+10,1.824e+10,,1.019e-31,6.016e-56,
202.62,1.402e+10,1.402e+10,,1.028e-31,1.213e-55,
202.64,9.042e+9,9.042e+9,,1.037e-31,2.052e-55,
202.65,6.799e+9,6.799e+9,,1.041e-31,2.499e-55,
202.67,3.371e+9,3.371e+9,,1.050e-31,3.250e-55,
202.69,1.402e+9,1.402e+9,,1.058e-31,3.548e-55,
202.70,8.466e+8,8.466e+8,,1.062e-31,3.471e-55,
202.72,2.707e+8,2.707e+8,,1.071e-31,2.913e-55,
202.74,7.261e+7,7.261e+7,,1.080e-31,2.052e-55,
202.75,3.521e+7,3.521e+7,,1.084e-31,1.612e-55,
202.77,7.260e+6,7.260e+6,,1.092e-31,8.731e-56,
202.79,1.256e+6,1.256e+6,,1.101e-31,3.968e-56,
202.80,4.892e+5,4.892e+5,,1.105e-31,2.505e-56,
202.82,6.505e+4,6.505e+4,,1.114e-31,8.752e-57,
202.84,7.259e+3,7.259e+3,,1.122e-31,2.566e-57,
202.85,2.270e+3,2.270e+3,,1.127e-31,1.301e-57,
202.87,1.947e+2,1.947e+2,,1.135e-31,2.934e-58,
202.89,1.401e+1,1.401e+1,,1.144e-31,5.550e-59,
202.90,3.520e+0,3.520e+0,,1.148e-31,2.261e-59,
202.92,1.947e-1,1.947e-1,,1.157e-31,3.288e-60,
202.93,4.287e-2,4.287e-2,,1.161e-31,1.174e-60,
202.95,1.823e-3,1.823e-3,,1.170e-31,1.313e-61,
202.97,6.501e-5,6.501e-5,,1.178e-31,1.233e-62,
202.98,1.150e-5,1.150e-5,,1.183e-31,3.537e-63,
203.00,2.552e-64,1.149e-5,,1.191e-31,2.552e-64,
203.02,1.545e-65,1.149e-5,,1.200e-31,1.545e-65,
203.03,3.561e-66,1.149e-5,,1.204e-31,3.561e-66,
203.05,1.658e-67,1.149e-5,,1.213e-31,1.658e-67,
203.07,6.479e-69,1.148e-5,,1.221e-31,6.479e-69,
203.08,1.199e-69,1.148e-5,,1.225e-31,1.199e-69,
203.10,3.603e-71,1.148e-5,,1.234e-31,3.603e-71,
203.53,1.418e-31,1.141e-5,,1.418e-31,3.558e-71,
203.55,4.930e-30,1.140e-5,,4.930e-30,3.556e-71,
203.57,1.441e-28,1.140e-5,,1.441e-28,3.554e-71,
203.58,7.301e-28,1.140e-5,,7.301e-28,3.553e-71,
203.60,1.646e-26,1.140e-5,,1.646e-26,3.551e-71,
203.61,7.325e-26,1.139e-5,,7.325e-26,3.550e-71,
203.63,1.274e-24,1.139e-5,,1.274e-24,3.548e-71,
203.65,1.863e-23,1.139e-5,,1.863e-23,3.546e-71,
203.66,6.678e-23,1.139e-5,,6.678e-23,3.545e-71,
203.68,7.534e-22,1.138e-5,,7.534e-22,3.543e-71,
203.70,7.149e-21,1.138e-5,,7.149e-21,3.541e-71,
203.71,2.064e-20,1.138e-5,,2.064e-20,3.540e-71,
203.73,1.511e-19,1.137e-5,,1.511e-19,3.538e-71,
203.75,9.299e-19,1.137e-5,,9.299e-19,3.535e-71,
203.76,2.162e-18,1.137e-5,,2.162e-18,3.534e-71,
203.78,1.027e-17,1.137e-5,,1.027e-17,3.532e-71,
203.80,4.100e-17,1.136e-5,,4.100e-17,3.530e-71,
203.81,7.678e-17,1.136e-5,,7.678e-17,3.529e-71,
203.83,2.365e-16,1.136e-5,,2.365e-16,3.527e-71,
203.85,6.128e-16,1.135e-5,,6.128e-16,3.525e-71,
203.86,9.244e-16,1.135e-5,,9.244e-16,3.524e-71,
203.88,1.847e-15,1.135e-5,,1.847e-15,3.522e-71,
203.90,3.105e-15,1.135e-5,,3.105e-15,3.520e-71,
203.91,3.772e-15,1.134e-5,,3.772e-15,3.519e-71,
203.93,4.891e-15,1.134e-5,,4.891e-15,3.517e-71,
203.95,5.333e-15,1.134e-5,,5.333e-15,3.515e-71,
203.96,5.219e-15,1.134e-5,,5.219e-15,3.514e-71,
203.98,4.389e-15,1.133e-5,,4.389e-15,3.512e-71,
204.00,3.105e-15,1.133e-5,,3.105e-15,3.509e-71,
204.01,2.447e-15,1.133e-5,,2.447e-15,3.508e-71,
204.03,1.335e-15,1.132e-5,,1.335e-15,3.506e-71,
