Wavelength (nm),Sum(calc),Mn I (3.3e-2),Mn II (9.6e-1)
200.050,8.480e-14,,8.480e-14
200.055,2.621e-12,,2.621e-12
200.060,7.151e-11,,7.151e-11
200.065,1.722e-9,,1.722e-9
200.070,3.660e-8,,3.660e-8
200.075,6.869e-7,,6.869e-7
200.080,1.138e-5,,1.138e-5
200.085,1.663e-4,,1.663e-4
200.090,2.147e-3,,2.147e-3
200.095,2.445e-2,,2.445e-2
200.100,2.459e-1,,2.459e-1
200.105,2.182e+0,,2.182e+0
200.110,1.710e+1,,1.710e+1
200.115,1.183e+2,,1.183e+2
200.120,7.219e+2,,7.219e+2
200.125,3.890e+3,,3.890e+3
200.130,1.851e+4,,1.851e+4
200.135,7.770e+4,,7.770e+4
200.140,2.880e+5,,2.880e+5
200.145,9.421e+5,,9.421e+5
200.150,2.721e+6,,2.721e+6
200.155,6.935e+6,,6.935e+6
200.160,1.560e+7,,1.560e+7
200.165,3.099e+7,,3.099e+7
200.170,5.433e+7,,5.433e+7
200.175,8.408e+7,,8.408e+7
200.180,1.149e+8,,1.149e+8
200.185,1.385e+8,,1.385e+8
200.190,1.474e+8,,1.474e+8
200.195,1.385e+8,,1.385e+8
200.200,1.149e+8,,1.149e+8
200.205,8.408e+7,,8.408e+7
200.210,5.433e+7,,5.433e+7
200.215,3.099e+7,,3.099e+7
200.220,1.560e+7,,1.560e+7
200.225,6.935e+6,,6.935e+6
200.230,2.721e+6,,2.721e+6
200.235,9.421e+5,,9.421e+5
200.240,2.880e+5,,2.880e+5
200.245,7.770e+4,,7.770e+4
200.250,1.851e+4,,1.851e+4
200.255,3.890e+3,,3.890e+3
200.260,7.219e+2,,7.219e+2
200.265,1.183e+2,,1.183e+2
200.270,1.710e+1,,1.710e+1
200.275,2.182e+0,,2.182e+0
200.280,2.459e-1,,2.459e-1
200.285,2.445e-2,,2.445e-2
200.290,2.147e-3,,2.147e-3
200.295,1.663e-4,,1.663e-4
200.300,1.138e-5,,1.138e-5
200.305,6.869e-7,,6.869e-7
200.310,3.660e-8,,3.660e-8
200.315,1.722e-9,,1.722e-9
200.320,7.151e-11,,7.151e-11
203.591,3.949e-11,,3.949e-11
203.596,1.059e-9,,1.059e-9
203.601,2.516e-8,,2.516e-8
203.606,5.301e-7,,5.301e-7
203.611,9.900e-6,,9.900e-6
203.616,1.639e-4,,1.639e-4
203.621,2.406e-3,,2.406e-3
203.626,3.131e-2,,3.131e-2
203.631,3.611e-1,,3.611e-1
203.636,3.693e+0,,3.693e+0
203.641,3.348e+1,,3.348e+1
203.646,2.691e+2,,2.691e+2
203.651,1.917e+3,,1.917e+3
203.656,1.211e+4,,1.211e+4
203.661,6.780e+4,,6.780e+4
203.666,3.366e+5,,3.366e+5
203.671,1.481e+6,,1.481e+6
203.676,5.777e+6,,5.777e+6
203.681,1.998e+7,,1.998e+7
203.686,6.126e+7,,6.126e+7
203.691,1.665e+8,,1.665e+8
203.696,4.012e+8,,4.012e+8
