Wavelength (nm),Sum(calc),Nd I (3.8e-3),Nd II (8.9e-1)
325.719,5.934e-9,,5.934e-9
325.727,1.207e-7,,1.207e-7
325.735,2.176e-6,,2.176e-6
325.743,3.477e-5,,3.477e-5
325.751,4.926e-4,,4.926e-4
325.759,6.187e-3,,6.187e-3
325.767,6.888e-2,,6.888e-2
325.775,6.799e-1,,6.799e-1
325.784,7.735e+0,,7.735e+0
325.792,5.910e+1,,5.910e+1
325.800,4.002e+2,,4.002e+2
325.808,2.403e+3,,2.403e+3
325.816,1.279e+4,,1.279e+4
325.824,6.034e+4,,6.034e+4
325.832,2.524e+5,,2.524e+5
325.840,9.358e+5,,9.358e+5
325.849,3.539e+6,,3.539e+6
325.857,1.016e+7,,1.016e+7
325.865,2.584e+7,,2.584e+7
325.873,5.829e+7,,5.829e+7
325.881,1.165e+8,,1.165e+8
325.889,2.066e+8,,2.066e+8
325.897,3.246e+8,,3.246e+8
325.906,4.672e+8,,4.672e+8
325.914,5.683e+8,,5.683e+8
325.922,6.127e+8,,6.127e+8
325.930,5.857e+8,,5.857e+8
325.938,4.962e+8,,4.962e+8
325.946,3.727e+8,,3.727e+8
325.954,2.482e+8,,2.482e+8
325.962,1.465e+8,,1.465e+8
325.971,7.010e+7,,7.010e+7
325.979,3.203e+7,,3.203e+7
325.987,1.297e+7,,1.297e+7
325.995,4.658e+6,,4.658e+6
326.003,1.483e+6,,1.483e+6
326.011,4.184e+5,,4.184e+5
326.019,1.047e+5,,1.047e+5
326.027,2.321e+4,,2.321e+4
326.036,3.691e+3,,3.691e+3
326.044,6.336e+2,,6.336e+2
326.052,9.642e+1,,9.642e+1
326.060,1.301e+1,,1.301e+1
326.068,1.555e+0,,1.555e+0
326.076,1.649e-1,,1.649e-1
326.084,1.549e-2,,1.549e-2
326.092,1.291e-3,,1.291e-3
326.101,6.823e-5,,6.823e-5
326.109,4.400e-6,,4.400e-6
326.117,2.515e-7,,2.515e-7
332.620,4.171e-8,,4.171e-8
332.628,7.716e-7,,7.716e-7
332.636,1.272e-5,,1.272e-5
332.644,1.867e-4,,1.867e-4
332.653,3.340e-3,,3.340e-3
332.661,3.836e-2,,3.836e-2
332.669,3.924e-1,,3.924e-1
332.677,3.577e+0,,3.577e+0
332.685,2.905e+1,,2.905e+1
332.693,2.101e+2,,2.101e+2
332.701,1.354e+3,,1.354e+3
332.709,7.775e+3,,7.775e+3
332.718,4.838e+4,,4.838e+4
332.726,2.173e+5,,2.173e+5
332.734,8.694e+5,,8.694e+5
332.742,3.099e+6,,3.099e+6
332.750,9.842e+6,,9.842e+6
332.758,2.784e+7,,2.784e+7
332.766,7.018e+7,,7.018e+7
332.774,1.576e+8,,1.576e+8
332.783,3.409e+8,,3.409e+8
332.791,5.989e+8,,5.989e+8
332.799,9.371e+8,,9.371e+8
332.807,1.306e+9,,1.306e+9
332.815,1.622e+9,,1.622e+9
332.823,1.795e+9,,1.795e+9
332.831,1.769e+9,,1.769e+9
332.840,1.516e+9,,1.516e+9
332.848,1.169e+9,,1.169e+9
332.856,8.031e+8,,8.031e+8
332.864,4.914e+8,,4.914e+8
332.872,2.679e+8,,2.679e+8
332.880,1.301e+8,,1.301e+8
332.888,5.630e+7,,5.630e+7
332.896,2.170e+7,,2.170e+7
332.905,6.468e+6,,6.468e+6
332.913,1.950e+6,,1.950e+6
