Wavelength (nm),Sum(calc),Ni I (6.8e-2),Ni II (9.3e-1),Ni III (6.9e-4)
200.565,1.389e-11,1.389e-11,,
200.570,3.634e-10,3.634e-10,,
200.575,8.401e-9,8.401e-9,,
200.580,1.715e-7,1.715e-7,,
200.585,3.093e-6,3.093e-6,,
200.590,4.927e-5,4.927e-5,,
200.595,6.932e-4,6.932e-4,,
200.600,8.614e-3,8.614e-3,,
200.605,9.455e-2,9.455e-2,,
200.610,9.166e-1,9.166e-1,,
200.615,7.849e+0,7.849e+0,,
200.620,5.937e+1,5.937e+1,,
200.625,3.966e+2,3.966e+2,,
200.630,2.340e+3,2.340e+3,,
200.635,1.220e+4,1.220e+4,,
200.640,5.615e+4,5.615e+4,,
200.645,2.283e+5,2.283e+5,,
200.650,8.199e+5,8.199e+5,,
200.656,3.228e+6,3.228e+6,,
200.661,8.822e+6,8.822e+6,,
200.666,2.130e+7,2.130e+7,,
200.671,4.541e+7,4.541e+7,,
200.676,8.553e+7,8.553e+7,,
200.681,1.423e+8,1.423e+8,,
200.686,2.091e+8,2.091e+8,,
200.691,2.713e+8,2.713e+8,,
200.696,3.110e+8,3.110e+8,,
200.701,3.149e+8,3.149e+8,,
200.706,2.816e+8,2.816e+8,,
200.711,2.224e+8,2.224e+8,,
200.716,1.552e+8,1.552e+8,,
200.721,9.564e+7,9.564e+7,,
200.726,5.206e+7,5.206e+7,,
200.731,2.503e+7,2.503e+7,,
200.736,1.063e+7,1.063e+7,,
200.741,3.986e+6,3.986e+6,,
200.746,1.321e+6,1.321e+6,,
200.751,3.864e+5,3.864e+5,,
200.756,9.987e+4,9.987e+4,,
200.761,2.280e+4,2.280e+4,,
200.766,4.597e+3,4.597e+3,,
200.771,8.188e+2,8.188e+2,,
200.776,1.288e+2,1.288e+2,,
200.781,1.790e+1,1.790e+1,,
200.786,2.196e+0,2.196e+0,,
200.791,2.381e-1,2.381e-1,,
200.796,2.280e-2,2.280e-2,,
200.801,1.928e-3,1.928e-3,,
200.806,1.440e-4,1.440e-4,,
200.811,9.500e-6,9.500e-6,,
200.816,5.536e-7,5.536e-7,,
200.821,2.850e-8,2.850e-8,,
200.826,1.296e-9,1.296e-9,,
200.831,5.202e-11,5.202e-11,,
201.291,1.850e-10,1.850e-10,,
201.296,4.614e-9,4.614e-9,,
201.301,1.017e-7,1.017e-7,,
201.306,1.983e-6,1.983e-6,,
201.311,3.418e-5,3.418e-5,,
201.316,5.207e-4,5.207e-4,,
201.321,7.013e-3,7.013e-3,,
201.326,8.350e-2,8.350e-2,,
201.331,8.789e-1,8.789e-1,,
201.336,8.179e+0,8.179e+0,,
201.341,6.728e+1,6.728e+1,,
201.346,4.893e+2,4.893e+2,,
201.351,3.146e+3,3.146e+3,,
201.356,1.788e+4,1.788e+4,,
201.361,8.986e+4,8.986e+4,,
201.366,3.992e+5,3.992e+5,,
201.371,1.568e+6,1.568e+6,,
201.376,5.443e+6,5.443e+6,,
201.381,1.671e+7,1.671e+7,,
201.386,4.534e+7,4.534e+7,,
201.391,1.088e+8,1.088e+8,,
201.396,2.306e+8,2.306e+8,,
201.401,4.324e+8,4.324e+8,,
201.406,7.167e+8,7.167e+8,,
201.411,1.050e+9,1.050e+9,,
201.416,1.360e+9,1.360e+9,,
201.421,1.558e+9,1.558e+9,,
201.426,1.577e+9,1.577e+9,,
201.431,1.412e+9,1.412e+9,,
201.436,1.117e+9,1.117e+9,,
201.441,7.813e+8,7.813e+8,,
201.446,4.831e+8,4.831e+8,,
201.451,2.641e+8,2.641e+8,,
201.456,1.277e+8,1.277e+8,,
201.461,5.454e+7,5.454e+7,,
201.466,2.060e+7,2.060e+7,,
201.471,6.880e+6,6.880e+6,,
201.476,2.031e+6,2.031e+6,,
201.481,5.300e+5,5.300e+5,,
201.486,1.223e+5,1.223e+5,,
201.491,2.494e+4,2.494e+4,,
201.496,4.498e+3,4.498e+3,,
201.501,7.170e+2,7.170e+2,,
201.506,1.010e+2,1.010e+2,,
201.511,1.259e+1,1.259e+1,,
201.516,1.387e+0,1.387e+0,,
201.521,1.350e-1,1.350e-1,,
201.526,1.162e-2,1.162e-2,,
201.531,8.845e-4,8.845e-4,,
201.536,5.951e-5,5.951e-5,,
201.541,3.539e-6,3.539e-6,,
201.546,1.861e-7,1.861e-7,,
201.551,8.651e-9,8.651e-9,,
201.556,3.555e-10,3.555e-10,,
202.407,1.511e-10,1.511e-10,,
202.412,3.550e-9,3.550e-9,,
202.417,7.385e-8,7.385e-8,,
202.422,1.360e-6,1.360e-6,,
202.427,2.216e-5,2.216e-5,,
202.432,3.198e-4,3.198e-4,,
202.437,4.086e-3,4.086e-3,,
202.442,4.620e-2,4.620e-2,,
202.447,4.625e-1,4.625e-1,,
202.452,4.099e+0,4.099e+0,,
202.457,3.215e+1,3.215e+1,,
202.462,2.233e+2,2.233e+2,,
202.467,1.373e+3,1.373e+3,,
202.472,7.471e+3,7.471e+3,,
202.477,3.599e+4,3.599e+4,,
202.482,1.535e+5,1.535e+5,,
202.487,5.796e+5,5.796e+5,,
202.492,1.937e+6,1.937e+6,,
202.497,5.732e+6,5.732e+6,,
202.502,1.501e+7,1.501e+7,,
202.507,3.481e+7,3.481e+7,,
202.512,7.146e+7,7.146e+7,,
202.517,1.298e+8,1.298e+8,,
202.522,2.089e+8,2.089e+8,,
202.527,2.974e+8,2.974e+8,,
202.532,3.749e+8,3.749e+8,,
202.537,4.184e+8,4.184e+8,,
202.542,4.133e+8,4.133e+8,,
202.547,3.615e+8,3.615e+8,,
202.552,2.798e+8,2.798e+8,,
202.557,1.918e+8,1.918e+8,,
202.562,1.164e+8,1.164e+8,,
202.567,6.249e+7,6.249e+7,,
202.572,2.971e+7,2.971e+7,,
202.577,1.251e+7,1.251e+7,,
202.582,4.660e+6,4.660e+6,,
202.587,1.539e+6,1.539e+6,,
202.592,4.618e+5,4.618e+5,,
202.597,1.789e+5,1.789e+5,,
202.602,2.942e+5,2.942e+5,,
202.607,1.014e+6,1.014e+6,,
202.612,3.369e+6,3.369e+6,,
202.617,9.952e+6,9.952e+6,,
202.622,2.604e+7,2.604e+7,,
202.627,6.031e+7,6.031e+7,,
202.632,1.237e+8,1.237e+8,,
202.637,2.246e+8,2.246e+8,,
202.642,3.611e+8,3.611e+8,,
202.647,5.140e+8,5.140e+8,,
202.652,6.478e+8,6.478e+8,,
202.657,7.228e+8,7.228e+8,,
202.662,7.140e+8,7.140e+8,,
202.667,6.245e+8,6.245e+8,,
202.672,4.836e+8,4.836e+8,,
202.677,3.316e+8,3.316e+8,,
202.682,2.013e+8,2.013e+8,,
202.687,1.082e+8,1.082e+8,,
202.692,5.149e+7,5.149e+7,,
202.697,2.169e+7,2.169e+7,,
202.702,8.092e+6,8.092e+6,,
202.707,2.672e+6,2.672e+6,,
202.712,7.814e+5,7.814e+5,,
202.717,2.023e+5,2.023e+5,,
202.722,4.637e+4,4.637e+4,,
202.727,9.411e+3,9.411e+3,,
202.732,1.691e+3,1.691e+3,,
202.737,2.690e+2,2.690e+2,,
202.742,3.789e+1,3.789e+1,,
202.747,4.726e+0,4.726e+0,,
202.752,5.218e-1,5.218e-1,,
202.757,5.101e-2,5.101e-2,,
202.762,4.415e-3,4.415e-3,,
202.767,3.383e-4,3.383e-4,,
202.772,2.295e-5,2.295e-5,,
202.777,1.379e-6,1.379e-6,,
202.782,7.333e-8,7.333e-8,,
202.787,3.453e-9,3.453e-9,,
202.792,1.440e-10,1.440e-10,,
204.599,5.203e-11,5.203e-11,,
204.604,1.228e-9,1.228e-9,,
204.609,2.571e-8,2.571e-8,,
204.614,4.779e-7,4.779e-7,,
204.619,7.884e-6,7.884e-6,,
204.624,1.154e-4,1.154e-4,,
204.629,1.500e-3,1.500e-3,,
204.634,1.731e-2,1.731e-2,,
204.639,1.772e-1,1.772e-1,,
204.644,1.610e+0,1.610e+0,,
204.649,1.298e+1,1.298e+1,,
204.654,9.293e+1,9.293e+1,,
204.659,5.904e+2,5.904e+2,,
204.664,3.329e+3,3.329e+3,,
204.669,1.666e+4,1.666e+4,,
204.674,7.400e+4,7.400e+4,,
204.679,2.917e+5,2.917e+5,,
204.684,1.021e+6,1.021e+6,,
204.689,3.170e+6,3.170e+6,,
204.694,8.739e+6,8.739e+6,,
204.699,2.138e+7,2.138e+7,,
204.704,4.642e+7,4.642e+7,,
204.709,8.946e+7,8.946e+7,,
204.714,1.530e+8,1.530e+8,,
204.719,2.323e+8,2.323e+8,,
204.724,3.130e+8,3.130e+8,,
204.729,3.744e+8,3.744e+8,,
204.734,3.974e+8,3.974e+8,,
204.739,3.744e+8,3.744e+8,,
204.744,3.130e+8,3.130e+8,,
204.749,2.323e+8,2.323e+8,,
204.754,1.530e+8,1.530e+8,,
204.759,8.946e+7,8.946e+7,,
204.764,4.642e+7,4.642e+7,,
204.769,2.138e+7,2.138e+7,,
