Wavelength (nm),Sum(calc),Si I (1.1e-1),Si II (8.9e-1),Si III (7.3e-4)
199.976,1.281e-21,,,1.281e-21
199.981,3.171e-20,,,3.171e-20
199.986,6.929e-19,,,6.929e-19
199.991,1.336e-17,,,1.336e-17
199.996,2.275e-16,,,2.275e-16
200.001,3.417e-15,,,3.417e-15
200.006,4.531e-14,,,4.531e-14
200.011,5.303e-13,,,5.303e-13
200.016,5.478e-12,,,5.478e-12
200.021,4.994e-11,,,4.994e-11
200.026,4.018e-10,,,4.018e-10
200.031,2.854e-9,,,2.854e-9
200.036,1.789e-8,,,1.789e-8
200.041,9.898e-8,,,9.898e-8
200.046,4.833e-7,,,4.833e-7
200.051,2.083e-6,,,2.083e-6
200.056,7.924e-6,,,7.924e-6
200.061,2.661e-5,,,2.661e-5
200.066,7.884e-5,,,7.884e-5
200.071,2.062e-4,,,2.062e-4
200.076,4.761e-4,,,4.761e-4
200.081,9.700e-4,,,9.700e-4
200.086,1.744e-3,,,1.744e-3
200.091,2.769e-3,,,2.769e-3
200.096,3.879e-3,,,3.879e-3
200.101,4.796e-3,,,4.796e-3
200.106,5.234e-3,,,5.234e-3
200.111,5.042e-3,,,5.042e-3
200.116,4.286e-3,,,4.286e-3
200.121,3.216e-3,,,3.216e-3
200.126,2.130e-3,,,2.130e-3
200.131,1.245e-3,,,1.245e-3
200.136,6.424e-4,,,6.424e-4
200.141,2.925e-4,,,2.925e-4
200.146,1.176e-4,,,1.176e-4
200.151,4.171e-5,,,4.171e-5
200.156,1.306e-5,,,1.306e-5
200.161,3.608e-6,,,3.608e-6
200.166,8.801e-7,,,8.801e-7
200.171,1.895e-7,,,1.895e-7
200.176,3.600e-8,,,3.600e-8
200.181,6.037e-9,,,6.037e-9
200.186,8.935e-10,,,8.935e-10
200.191,1.167e-10,,,1.167e-10
200.196,1.346e-11,,,1.346e-11
200.201,1.370e-12,,,1.370e-12
200.206,1.230e-13,,,1.230e-13
200.211,9.754e-15,,,9.754e-15
200.216,6.825e-16,,,6.825e-16
200.221,4.215e-17,,,4.215e-17
200.226,2.298e-18,,,2.298e-18
200.231,1.105e-19,,,1.105e-19
200.236,4.694e-21,,,4.694e-21
200.241,1.759e-22,,,1.759e-22
200.361,2.457e-14,,2.457e-14,2.053e-22
200.366,6.473e-13,,6.473e-13,2.065e-22
200.371,1.506e-11,,1.506e-11,2.077e-22
200.376,3.094e-10,,3.094e-10,2.089e-22
200.381,5.612e-9,,5.612e-9,2.102e-22
200.386,8.990e-8,,8.990e-8,2.114e-22
200.391,1.272e-6,,1.272e-6,2.126e-22
200.396,1.588e-5,,1.588e-5,2.138e-22
200.401,1.752e-4,,1.752e-4,2.151e-22
200.406,1.706e-3,,1.706e-3,2.163e-22
200.411,1.468e-2,,1.468e-2,2.175e-22
200.416,1.115e-1,,1.115e-1,2.187e-22
200.421,7.475e-1,,7.475e-1,2.199e-22
200.426,4.427e+0,,4.427e+0,2.212e-22
200.431,2.315e+1,,2.315e+1,2.224e-22
200.436,1.069e+2,,1.069e+2,2.236e-22
200.441,4.359e+2,,4.359e+2,2.248e-22
200.446,1.570e+3,,1.570e+3,2.261e-22
200.451,4.990e+3,,4.990e+3,2.273e-22
200.456,1.401e+4,,1.401e+4,2.285e-22
200.461,3.474e+4,,3.474e+4,2.297e-22
200.466,7.606e+4,,7.606e+4,2.309e-22
200.471,1.470e+5,,1.470e+5,2.322e-22
200.476,2.510e+5,,2.510e+5,2.334e-22
200.481,3.784e+5,,3.784e+5,2.346e-22
200.486,5.038e+5,,5.038e+5,2.358e-22
200.491,5.922e+5,,5.922e+5,2.371e-22
200.496,6.147e+5,,6.147e+5,2.383e-22
200.501,5.635e+5,,5.635e+5,2.395e-22
200.506,4.561e+5,,4.561e+5,2.407e-22
200.511,3.260e+5,,3.260e+5,2.420e-22
200.516,2.057e+5,,2.057e+5,2.432e-22
200.521,1.147e+5,,1.147e+5,2.444e-22
200.526,5.643e+4,,5.643e+4,2.456e-22
200.531,2.452e+4,,2.452e+4,2.468e-22
200.536,9.411e+3,,9.411e+3,2.481e-22
200.541,3.189e+3,,3.189e+3,2.493e-22
200.546,9.543e+2,,9.543e+2,2.505e-22
200.551,2.522e+2,,2.522e+2,2.517e-22
200.555,7.950e+1,,7.950e+1,2.527e-22
200.560,1.679e+1,,1.679e+1,2.539e-22
200.565,3.133e+0,,3.133e+0,2.552e-22
200.570,5.160e-1,,5.160e-1,2.564e-22
200.575,7.504e-2,,7.504e-2,2.576e-22
200.580,9.638e-3,,9.638e-3,2.588e-22
200.585,1.093e-3,,1.093e-3,2.600e-22
200.590,1.095e-4,,1.095e-4,2.613e-22
200.595,9.682e-6,,9.682e-6,2.625e-22
200.600,7.561e-7,,7.561e-7,2.637e-22
200.605,5.214e-8,,5.214e-8,2.649e-22
200.610,3.175e-9,,3.175e-9,2.662e-22
200.615,1.707e-10,,1.707e-10,2.674e-22
200.620,8.106e-12,,8.106e-12,2.686e-22
200.625,3.399e-13,,3.399e-13,2.698e-22
200.780,3.077e-22,,3.235e-13,3.077e-22
200.785,7.997e-21,,3.229e-13,7.997e-21
200.790,1.836e-19,,3.224e-13,1.836e-19
200.795,3.725e-18,,3.219e-13,3.725e-18
200.800,6.676e-17,,3.214e-13,6.676e-17
200.805,1.057e-15,,3.208e-13,1.057e-15
200.810,1.479e-14,,3.203e-13,1.479e-14
200.815,1.828e-13,,3.198e-13,1.828e-13
200.820,1.996e-12,,3.192e-13,1.996e-12
200.825,1.926e-11,,3.187e-13,1.926e-11
200.830,1.642e-10,,3.182e-13,1.642e-10
200.835,1.236e-9,,3.176e-13,1.236e-9
200.840,8.225e-9,,3.171e-13,8.225e-9
200.845,4.835e-8,,3.166e-13,4.835e-8
200.850,2.511e-7,,3.161e-13,2.511e-7
200.855,1.152e-6,,3.155e-13,1.152e-6
200.860,4.671e-6,,3.150e-13,4.671e-6
200.865,1.673e-5,,3.145e-13,1.673e-5
200.870,5.294e-5,,3.139e-13,5.294e-5
200.875,1.480e-4,,3.134e-13,1.480e-4
200.880,3.656e-4,,3.129e-13,3.656e-4
200.885,7.977e-4,,3.124e-13,7.977e-4
200.890,1.538e-3,,3.118e-13,1.538e-3
200.895,2.620e-3,,3.113e-13,2.620e-3
200.900,3.943e-3,,3.108e-13,3.943e-3
200.905,5.242e-3,,3.102e-13,5.242e-3
200.910,6.158e-3,,3.097e-13,6.158e-3
200.915,6.391e-3,,3.092e-13,6.391e-3
200.920,5.861e-3,,3.087e-13,5.861e-3
200.925,4.748e-3,,3.081e-13,4.748e-3
200.930,3.399e-3,,3.076e-13,3.399e-3
200.935,2.150e-3,,3.071e-13,2.150e-3
200.940,1.206e-3,,3.065e-13,1.206e-3
200.945,6.094e-4,,3.060e-13,6.094e-4
200.950,3.065e-4,,3.055e-13,3.065e-4
200.955,2.211e-4,,3.049e-13,2.211e-4
200.960,3.056e-4,,3.044e-13,3.056e-4
200.965,5.468e-4,,3.039e-13,5.468e-4
200.970,9.394e-4,,3.034e-13,9.394e-4
200.975,1.445e-3,,3.028e-13,1.445e-3
200.980,1.968e-3,,3.023e-13,1.968e-3
200.985,2.370e-3,,3.018e-13,2.370e-3
200.990,2.521e-3,,3.012e-13,2.521e-3
200.995,2.370e-3,,3.007e-13,2.370e-3
201.000,1.968e-3,,3.002e-13,1.968e-3
201.005,1.444e-3,,2.997e-13,1.444e-3
201.010,9.366e-4,,2.991e-13,9.366e-4
201.015,5.366e-4,,2.986e-13,5.366e-4
201.020,2.717e-4,,2.981e-13,2.717e-4
201.025,1.215e-4,,2.975e-13,1.215e-4
201.030,4.803e-5,,2.970e-13,4.803e-5
201.035,1.677e-5,,2.965e-13,1.677e-5
201.040,5.175e-6,,2.960e-13,5.175e-6
201.045,1.411e-6,,2.954e-13,1.411e-6
201.050,3.399e-7,,2.949e-13,3.399e-7
201.055,7.235e-8,,2.944e-13,7.235e-8
201.060,1.361e-8,,2.938e-13,1.361e-8
201.065,2.261e-9,,2.933e-13,2.261e-9
201.070,3.320e-10,,2.928e-13,3.320e-10
201.075,4.308e-11,,2.923e-13,4.308e-11
201.080,4.938e-12,,2.917e-13,4.938e-12
201.085,5.002e-13,,2.912e-13,5.002e-13
201.090,4.476e-14,,2.907e-13,4.476e-14
201.095,3.540e-15,,2.901e-13,3.540e-15
201.100,2.473e-16,,2.896e-13,2.473e-16
201.105,1.527e-17,,2.891e-13,1.527e-17
201.110,8.330e-19,,2.885e-13,8.330e-19
201.115,4.015e-20,,2.880e-13,4.015e-20
201.120,1.710e-21,,2.875e-13,1.710e-21
201.359,2.622e-13,,2.622e-13,3.501e-21
201.364,6.525e-12,,6.525e-12,3.539e-21
201.369,1.436e-10,,1.436e-10,3.576e-21
201.374,2.793e-9,,2.793e-9,3.614e-21
201.379,4.804e-8,,4.804e-8,3.651e-21
201.384,7.306e-7,,7.306e-7,3.688e-21
201.389,9.823e-6,,9.823e-6,3.726e-21
201.394,1.168e-4,,1.168e-4,3.763e-21
201.399,1.227e-3,,1.227e-3,3.801e-21
201.404,1.140e-2,,1.140e-2,3.838e-21
201.409,9.366e-2,,9.366e-2,3.876e-21
201.414,6.803e-1,,6.803e-1,3.913e-21
201.419,4.368e+0,,4.368e+0,3.951e-21
201.424,2.480e+1,,2.480e+1,3.988e-21
201.429,1.245e+2,,1.245e+2,4.026e-21
201.434,5.525e+2,,5.525e+2,4.063e-21
201.439,2.168e+3,,2.168e+3,4.101e-21
201.444,7.520e+3,,7.520e+3,4.138e-21
201.449,2.306e+4,,2.306e+4,4.176e-21
201.454,6.254e+4,,6.254e+4,4.213e-21
201.459,1.499e+5,,1.499e+5,4.251e-21
201.464,3.178e+5,,3.178e+5,4.288e-21
201.469,5.956e+5,,5.956e+5,4.326e-21
201.474,9.869e+5,,9.869e+5,4.363e-21
201.479,1.446e+6,,1.446e+6,4.400e-21
201.484,1.872e+6,,1.872e+6,4.438e-21
201.489,2.144e+6,,2.144e+6,4.475e-21
201.494,2.171e+6,,2.171e+6,4.513e-21
201.499,1.943e+6,,1.943e+6,4.550e-21
201.504,1.537e+6,,1.537e+6,4.588e-21
201.509,1.076e+6,,1.076e+6,4.625e-21
201.514,6.654e+5,,6.654e+5,4.663e-21
201.519,3.639e+5,,3.639e+5,4.700e-21
201.524,1.760e+5,,1.760e+5,4.738e-21
201.529,7.523e+4,,7.523e+4,4.775e-21
201.534,2.844e+4,,2.844e+4,4.813e-21
201.539,9.503e+3,,9.503e+3,4.850e-21
201.544,2.808e+3,,2.808e+3,4.888e-21
201.549,7.334e+2,,7.334e+2,4.925e-21
201.554,1.694e+2,,1.694e+2,4.963e-21
201.559,3.459e+1,,3.459e+1,5.000e-21
201.564,6.244e+0,,6.244e+0,5.038e-21
201.569,9.969e-1,,9.969e-1,5.075e-21
201.574,1.448e-1,,1.448e-1,5.112e-21
201.579,5.479e-2,,5.479e-2,5.150e-21
201.584,2.994e-1,,2.994e-1,5.187e-21
201.589,2.101e+0,,2.101e+0,5.225e-21
201.594,1.312e+1,,1.312e+1,5.262e-21
201.599,7.246e+1,,7.246e+1,5.300e-21
201.604,3.539e+2,,3.539e+2,5.337e-21
201.609,1.529e+3,,1.529e+3,5.375e-21
201.614,5.838e+3,,5.838e+3,5.412e-21
201.619,1.972e+4,,1.972e+4,5.450e-21
201.624,5.889e+4,,5.889e+4,5.487e-21
201.629,1.556e+5,,1.556e+5,5.525e-21
201.634,3.633e+5,,3.633e+5,5.562e-21
201.639,7.504e+5,,7.504e+5,5.600e-21
201.644,1.371e+6,,1.371e+6,5.637e-21
201.649,2.214e+6,,2.214e+6,5.675e-21
201.654,3.162e+6,,3.162e+6,5.712e-21
201.659,3.995e+6,,3.995e+6,5.750e-21
201.664,4.462e+6,,4.462e+6,5.787e-21
201.669,4.407e+6,,4.407e+6,5.825e-21
201.674,3.850e+6,,3.850e+6,5.862e-21
201.679,2.974e+6,,2.974e+6,5.899e-21
201.684,2.031e+6,,2.031e+6,5.937e-21
201.689,1.227e+6,,1.227e+6,5.974e-21
201.694,6.555e+5,,6.555e+5,6.012e-21
201.699,3.097e+5,,3.097e+5,6.049e-21
201.704,1.294e+5,,1.294e+5,6.087e-21
201.709,4.779e+4,,4.779e+4,6.124e-21
201.714,1.561e+4,,1.561e+4,6.162e-21
201.719,4.510e+3,,4.510e+3,6.199e-21
201.724,1.152e+3,,1.152e+3,6.237e-21
201.729,2.603e+2,,2.603e+2,6.274e-21
201.734,5.199e+1,,5.199e+1,6.312e-21
201.739,9.186e+0,,9.186e+0,6.349e-21
201.744,1.435e+0,,1.435e+0,6.387e-21
201.749,1.983e-1,,1.983e-1,6.424e-21
201.754,2.422e-2,,2.422e-2,6.462e-21
201.759,2.617e-3,,2.617e-3,6.499e-21
201.764,2.500e-4,,2.500e-4,6.537e-21
201.769,2.112e-5,,2.112e-5,6.574e-21
201.774,1.578e-6,,1.578e-6,6.611e-21
201.779,1.043e-7,,1.043e-7,6.649e-21
201.784,6.092e-9,,6.092e-9,6.686e-21
