Wavelength (nm),Sum(calc),Ag I (7.1e-2),Ag II (9.3e-1)
199.927,6.116e-13,,6.116e-13
199.932,1.946e-11,,1.946e-11
199.937,5.466e-10,,5.466e-10
199.942,1.355e-8,,1.355e-8
199.947,2.964e-7,,2.964e-7
199.952,5.722e-6,,5.722e-6
199.957,9.750e-5,,9.750e-5
199.962,1.466e-3,,1.466e-3
199.967,1.946e-2,,1.946e-2
199.972,2.280e-1,,2.280e-1
199.977,2.357e+0,,2.357e+0
199.982,2.151e+1,,2.151e+1
199.987,1.732e+2,,1.732e+2
199.992,1.231e+3,,1.231e+3
199.997,7.722e+3,,7.722e+3
200.002,4.275e+4,,4.275e+4
200.007,2.089e+5,,2.089e+5
200.012,9.009e+5,,9.009e+5
200.017,3.429e+6,,3.429e+6
200.022,1.152e+7,,1.152e+7
200.027,3.415e+7,,3.415e+7
200.032,8.934e+7,,8.934e+7
200.037,2.063e+8,,2.063e+8
200.042,4.205e+8,,4.205e+8
200.047,7.564e+8,,7.564e+8
200.052,1.201e+9,,1.201e+9
200.057,1.682e+9,,1.682e+9
200.062,2.080e+9,,2.080e+9
200.067,2.270e+9,,2.270e+9
200.072,2.187e+9,,2.187e+9
200.077,1.859e+9,,1.859e+9
200.082,1.395e+9,,1.395e+9
200.087,9.237e+8,,9.237e+8
200.092,5.398e+8,,5.398e+8
200.097,2.784e+8,,2.784e+8
200.102,1.268e+8,,1.268e+8
200.107,5.092e+7,,5.092e+7
200.112,1.806e+7,,1.806e+7
200.117,5.651e+6,,5.651e+6
200.122,1.561e+6,,1.561e+6
200.127,3.805e+5,,3.805e+5
200.132,8.186e+4,,8.186e+4
200.137,1.554e+4,,1.554e+4
200.142,2.605e+3,,2.605e+3
200.147,3.853e+2,,3.853e+2
200.152,5.029e+1,,5.029e+1
200.157,5.794e+0,,5.794e+0
200.162,5.891e-1,,5.891e-1
200.167,5.287e-2,,5.287e-2
200.172,4.187e-3,,4.187e-3
200.177,2.927e-4,,2.927e-4
200.182,1.806e-5,,1.806e-5
200.187,9.831e-7,,9.831e-7
200.192,4.724e-8,,4.724e-8
200.197,2.004e-9,,2.004e-9
200.202,7.500e-11,,7.500e-11
201.450,1.983e-12,,1.983e-12
201.455,5.843e-11,,5.843e-11
201.460,1.523e-9,,1.523e-9
201.465,3.509e-8,,3.509e-8
201.470,7.150e-7,,7.150e-7
201.475,1.288e-5,,1.288e-5
201.480,2.052e-4,,2.052e-4
201.485,2.891e-3,,2.891e-3
201.490,3.601e-2,,3.601e-2
201.495,3.967e-1,,3.967e-1
201.500,3.863e+0,,3.863e+0
201.505,3.327e+1,,3.327e+1
201.510,2.533e+2,,2.533e+2
201.515,1.706e+3,,1.706e+3
201.520,1.016e+4,,1.016e+4
201.525,5.346e+4,,5.346e+4
201.530,2.489e+5,,2.489e+5
