Wavelength (nm),Sum(calc),Al I (4.9e-2),Al II (9.5e-1),Al III (7.0e-4)
201.463,4.672e-15,,4.672e-15,
201.468,1.446e-13,,1.446e-13,
201.473,3.956e-12,,3.956e-12,
201.479,1.784e-10,,1.784e-10,
201.484,3.723e-9,,3.723e-9,
201.489,6.873e-8,,6.873e-8,
201.494,1.122e-6,,1.122e-6,
201.499,1.619e-5,,1.619e-5,
201.504,2.066e-4,,2.066e-4,
201.509,2.332e-3,,2.332e-3,
201.514,2.327e-2,,2.327e-2,
201.519,2.053e-1,,2.053e-1,
201.524,1.602e+0,,1.602e+0,
201.529,1.106e+1,,1.106e+1,
201.534,6.747e+1,,6.747e+1,
201.539,3.641e+2,,3.641e+2,
201.544,1.738e+3,,1.738e+3,
201.549,7.339e+3,,7.339e+3,
201.554,2.742e+4,,2.742e+4,
201.559,9.065e+4,,9.065e+4,
201.564,2.654e+5,,2.654e+5,
201.569,6.884e+5,,6.884e+5,
201.574,1.584e+6,,1.584e+6,
201.579,3.238e+6,,3.238e+6,
201.584,5.895e+6,,5.895e+6,
201.589,9.596e+6,,9.596e+6,
201.594,1.404e+7,,1.404e+7,
201.599,1.861e+7,,1.861e+7,
201.604,2.256e+7,,2.256e+7,
201.609,2.536e+7,,2.536e+7,
201.614,2.676e+7,,2.676e+7,
201.619,2.680e+7,,2.680e+7,
201.624,2.563e+7,,2.563e+7,
201.629,2.339e+7,,2.339e+7,
201.634,2.023e+7,,2.023e+7,
201.639,1.642e+7,,1.642e+7,
201.644,1.238e+7,,1.238e+7,
201.649,8.581e+6,,8.581e+6,
201.654,5.426e+6,,5.426e+6,
201.659,3.108e+6,,3.108e+6,
201.665,1.387e+6,,1.387e+6,
201.670,6.275e+5,,6.275e+5,
201.675,2.537e+5,,2.537e+5,
201.680,9.135e+4,,9.135e+4,
201.685,2.926e+4,,2.926e+4,
201.690,8.321e+3,,8.321e+3,
201.695,2.099e+3,,2.099e+3,
201.700,4.694e+2,,4.694e+2,
201.705,9.300e+1,,9.300e+1,
201.710,1.631e+1,,1.631e+1,
201.715,2.533e+0,,2.533e+0,
201.720,3.481e-1,,3.481e-1,
201.725,4.234e-2,,4.234e-2,
201.730,4.555e-3,,4.555e-3,
201.735,4.336e-4,,4.336e-4,
201.740,3.651e-5,,3.651e-5,
201.745,2.719e-6,,2.719e-6,
201.750,1.791e-7,,1.791e-7,
201.755,1.044e-8,,1.044e-8,
201.760,5.379e-10,,5.379e-10,
201.765,2.452e-11,,2.452e-11,
201.770,9.883e-13,,9.883e-13,
201.775,3.524e-14,,3.524e-14,
201.780,1.099e-15,,1.099e-15,
202.062,1.819e-16,,1.819e-16,
202.067,6.083e-15,,6.083e-15,
202.072,1.800e-13,,1.800e-13,
202.077,4.712e-12,,4.712e-12,
202.082,1.092e-10,,1.092e-10,
202.087,2.238e-9,,2.238e-9,
202.092,4.059e-8,,4.059e-8,
202.097,6.516e-7,,6.516e-7,
202.102,9.256e-6,,9.256e-6,
202.107,1.163e-4,,1.163e-4,
202.112,1.294e-3,,1.294e-3,
202.117,1.274e-2,,1.274e-2,
202.122,1.109e-1,,1.109e-1,
202.127,8.550e-1,,8.550e-1,
202.132,5.831e+0,,5.831e+0,
202.137,3.519e+1,,3.519e+1,
202.142,1.879e+2,,1.879e+2,
202.147,8.882e+2,,8.882e+2,
202.152,3.714e+3,,3.714e+3,
202.157,1.374e+4,,1.374e+4,
202.162,4.500e+4,,4.500e+4,
202.167,1.304e+5,,1.304e+5,
202.172,3.344e+5,,3.344e+5,
