Wavelength (nm),Au I (2.0e-01)
212.539,1.433e-6
212.544,2.198e-5
212.549,3.020e-4
212.554,3.714e-3
212.559,4.090e-2
212.564,4.033e-1
212.569,3.560e+0
212.574,2.814e+1
212.579,1.992e+2
212.584,1.262e+3
212.589,7.158e+3
212.594,3.636e+4
212.599,1.653e+5
212.604,6.732e+5
212.609,2.454e+6
212.614,8.011e+6
212.619,2.341e+7
212.624,6.125e+7
212.629,1.435e+8
212.634,3.010e+8
212.639,5.652e+8
212.644,9.503e+8
212.649,1.430e+9
212.654,1.928e+9
212.659,2.327e+9
212.664,2.514e+9
212.669,2.432e+9
212.674,2.106e+9
212.679,1.633e+9
212.684,1.134e+9
212.689,7.050e+8
212.694,3.924e+8
212.699,1.955e+8
212.704,8.725e+7
212.709,3.485e+7
212.714,1.247e+7
212.719,3.992e+6
212.724,1.145e+6
212.729,2.938e+5
212.734,6.753e+4
212.739,1.390e+4
212.744,2.560e+3
212.749,4.224e+2
212.754,6.238e+1
212.759,8.249e+0
212.764,9.767e-1
212.769,1.035e-1
212.774,9.826e-3
212.779,8.350e-4
212.784,6.353e-5
212.789,4.328e-6
212.794,2.640e-7
235.121,9.184e-7
235.126,1.121e-5
235.131,1.251e-4
235.136,1.275e-3
235.141,1.187e-2
235.146,1.010e-1
235.151,7.853e-1
235.156,5.577e+0
235.161,3.618e+1
235.166,2.145e+2
235.171,1.162e+3
235.176,5.748e+3
235.181,2.598e+4
235.186,1.073e+5
235.191,4.049e+5
235.196,1.396e+6
235.201,4.396e+6
235.206,1.265e+7
235.211,3.326e+7
235.216,7.989e+7
235.221,1.753e+8
235.226,3.515e+8
235.231,6.438e+8
235.236,1.077e+9
235.241,1.647e+9
235.246,2.301e+9
235.251,2.937e+9
235.256,3.424e+9
235.261,3.648e+9
235.266,3.550e+9
235.271,3.157e+9
235.276,2.565e+9
235.281,1.903e+9
235.286,1.291e+9
235.291,7.997e+8
235.296,4.526e+8
235.301,2.341e+8
235.306,1.106e+8
235.311,4.774e+7
235.316,1.883e+7
235.321,6.783e+6
235.326,2.233e+6
235.331,6.715e+5
235.336,1.845e+5
235.341,4.632e+4
235.346,1.062e+4
235.351,2.226e+3
235.356,4.262e+2
235.361,7.454e+1
235.366,1.191e+1
235.371,1.739e+0
235.376,2.319e-1
235.381,2.827e-2
235.386,3.147e-3
235.391,3.201e-4
235.396,2.975e-5
235.401,2.526e-6
235.406,1.959e-7
242.649,6.722e-5
242.654,7.539e-4
242.659,7.768e-3
242.664,7.353e-2
242.669,6.395e-1
242.674,5.109e+0
242.679,3.749e+1
242.684,2.528e+2
242.689,1.566e+3
242.694,8.911e+3
242.699,4.658e+4
242.704,2.237e+5
242.709,9.870e+5
242.714,4.001e+6
242.719,1.490e+7
242.724,5.096e+7
242.729,1.601e+8
242.734,4.623e+8
242.739,1.226e+9
242.744,2.988e+9
242.749,6.688e+9
242.754,1.375e+10
242.759,2.598e+10
242.764,4.510e+10
242.769,7.190e+10
242.774,1.053e+11
242.779,1.417e+11
242.784,1.752e+11
242.789,1.990e+11
242.794,2.076e+11
242.799,1.990e+11
242.804,1.752e+11
242.809,1.417e+11
242.814,1.053e+11
242.819,7.190e+10
242.824,4.510e+10
242.829,2.598e+10
242.834,1.375e+10
242.839,6.688e+9
242.844,2.988e+9
242.849,1.226e+9
242.854,4.623e+8
242.859,1.601e+8
242.864,5.096e+7
242.869,1.490e+7
242.874,4.001e+6
242.879,9.870e+5
242.884,2.237e+5
242.889,4.658e+4
242.894,8.911e+3
242.899,1.566e+3
242.904,2.528e+2
242.909,3.749e+1
242.914,5.109e+0
242.919,6.395e-1
242.924,7.353e-2
242.929,7.768e-3
242.934,7.539e-4
242.939,6.722e-5
263.991,8.599e-7
263.996,7.873e-6
264.001,6.709e-5
264.006,5.322e-4
264.011,3.930e-3
264.016,2.701e-2
264.021,1.728e-1
264.026,1.029e+0
264.031,5.705e+0
264.036,2.944e+1
264.041,1.414e+2
264.046,6.323e+2
264.051,2.632e+3
264.056,1.020e+4
264.061,3.677e+4
264.066,1.234e+5
264.071,3.858e+5
264.076,1.122e+6
264.081,3.038e+6
264.086,7.657e+6
264.091,1.796e+7
264.096,3.923e+7
264.101,7.975e+7
264.106,1.509e+8
264.111,2.658e+8
264.116,4.358e+8
264.121,6.652e+8
264.126,9.450e+8
264.131,1.250e+9
264.136,1.538e+9
264.141,1.763e+9
264.146,1.880e+9
264.151,1.867e+9
264.156,1.725e+9
264.161,1.484e+9
264.166,1.189e+9
264.171,8.860e+8
264.176,6.148e+8
264.181,3.971e+8
264.186,2.387e+8
264.191,1.336e+8
264.196,6.960e+7
264.201,3.375e+7
264.206,1.524e+7
264.211,6.401e+6
264.216,2.504e+6
264.221,9.115e+5
264.226,3.089e+5
264.231,9.745e+4
264.236,2.862e+4
264.241,7.822e+3
264.246,1.990e+3
264.251,4.714e+2
264.256,1.039e+2
264.261,2.133e+1
264.266,4.074e+0
264.271,7.244e-1
264.276,1.199e-1
264.281,1.847e-2
264.286,2.650e-3
264.291,3.537e-4
264.296,4.396e-5
264.301,5.085e-6
264.306,5.475e-7
267.432,1.375e-5
267.437,1.275e-4
267.442,1.103e-3
267.447,8.900e-3
267.452,6.696e-2
267.457,4.698e-1
267.462,3.073e+0
267.467,1.875e+1
267.472,1.067e+2
267.477,5.661e+2
267.482,2.801e+3
267.487,1.293e+4
267.492,5.562e+4
267.497,2.232e+5
267.502,8.354e+5
267.507,2.915e+6
267.512,9.489e+6
267.517,2.880e+7
267.522,8.151e+7
267.527,2.151e+8
267.532,5.296e+8
267.537,1.216e+9
267.542,2.602e+9
267.547,5.195e+9
267.552,9.671e+9
267.557,1.679e+10
267.562,2.718e+10
267.567,4.104e+10
267.572,5.778e+10
267.577,7.587e+10
267.582,9.289e+10
267.587,1.061e+11
267.592,1.130e+11
267.597,1.122e+11
267.602,1.039e+11
267.607,8.971e+10
267.612,7.225e+10
267.617,5.426e+10
267.622,3.800e+10
267.627,2.482e+10
267.632,1.512e+10
267.637,8.588e+9
267.642,4.549e+9
267.647,2.247e+9
267.652,1.035e+9
267.657,4.447e+8
267.662,1.782e+8
267.667,6.657e+7
267.672,2.319e+7
267.677,7.536e+6
267.682,2.283e+6
267.687,6.452e+5
267.692,1.700e+5
267.697,4.178e+4
267.702,9.574e+3
267.707,2.046e+3
267.712,4.077e+2
267.717,7.578e+1
267.722,1.313e+1
267.727,2.123e+0
267.732,3.200e-1
267.737,4.497e-2
267.742,5.895e-3
267.747,7.206e-4
267.752,8.215e-5
267.757,8.733e-6
274.659,1.403e-6
274.664,1.222e-5
274.669,9.966e-5
274.674,7.606e-4
274.679,5.433e-3
274.684,3.632e-2
274.689,2.273e-1
274.694,1.331e+0
274.699,7.296e+0
274.704,3.743e+1
274.709,1.797e+2
274.714,8.076e+2
274.719,3.397e+3
274.724,1.337e+4
274.729,4.927e+4
274.734,1.699e+5
274.739,5.484e+5
274.744,1.657e+6
274.749,4.684e+6
274.754,1.240e+7
274.759,3.070e+7
274.764,7.116e+7
274.769,1.544e+8
274.774,3.135e+8
274.779,5.959e+8
274.784,1.060e+9
274.789,1.765e+9
274.794,2.750e+9
274.799,4.010e+9
274.804,5.474e+9
274.809,6.993e+9
274.814,8.361e+9
274.819,9.357e+9
274.824,9.801e+9
274.829,9.608e+9
274.834,8.816e+9
274.839,7.571e+9
274.844,6.085e+9
274.849,4.578e+9
274.854,3.223e+9
274.859,2.124e+9
274.864,1.310e+9
274.869,7.562e+8
274.874,4.086e+8
