Wavelength (nm),Sum(calc),Cr I (2.7e-2),Cr II (9.7e-1)
205.426,4.200e-8,,4.200e-8
205.431,9.437e-7,,9.437e-7
205.436,1.884e-5,,1.884e-5
205.441,3.340e-4,,3.340e-4
205.446,5.262e-3,,5.262e-3
205.451,7.365e-2,,7.365e-2
205.456,9.157e-1,,9.157e-1
205.462,1.612e+1,,1.612e+1
205.467,1.545e+2,,1.545e+2
205.472,1.316e+3,,1.316e+3
205.477,9.953e+3,,9.953e+3
205.482,6.688e+4,,6.688e+4
205.487,3.993e+5,,3.993e+5
205.492,2.118e+6,,2.118e+6
205.497,9.979e+6,,9.979e+6
205.503,5.484e+7,,5.484e+7
205.508,1.992e+8,,1.992e+8
205.513,6.427e+8,,6.427e+8
205.518,1.842e+9,,1.842e+9
205.523,4.692e+9,,4.692e+9
205.528,1.062e+10,,1.062e+10
205.533,2.134e+10,,2.134e+10
205.538,3.810e+10,,3.810e+10
205.543,6.045e+10,,6.045e+10
205.549,8.996e+10,,8.996e+10
205.554,1.100e+11,,1.100e+11
205.559,1.195e+11,,1.195e+11
205.564,1.153e+11,,1.153e+11
205.569,9.890e+10,,9.890e+10
205.574,7.533e+10,,7.533e+10
205.579,5.098e+10,,5.098e+10
205.584,3.065e+10,,3.065e+10
205.590,1.424e+10,,1.424e+10
205.595,6.598e+9,,6.598e+9
205.600,2.716e+9,,2.716e+9
205.605,9.934e+8,,9.934e+8
205.610,3.228e+8,,3.228e+8
205.615,9.319e+7,,9.319e+7
205.620,2.390e+7,,2.390e+7
205.625,5.445e+6,,5.445e+6
205.631,7.894e+5,,7.894e+5
205.636,1.386e+5,,1.386e+5
205.641,2.163e+4,,2.163e+4
205.646,2.998e+3,,2.998e+3
205.651,3.692e+2,,3.692e+2
205.656,4.039e+1,,4.039e+1
205.661,3.925e+0,,3.925e+0
205.666,3.389e-1,,3.389e-1
205.672,1.534e-2,,1.534e-2
205.677,1.021e-3,,1.021e-3
205.682,6.035e-5,,6.035e-5
205.687,3.170e-6,,3.170e-6
205.692,1.479e-7,,1.479e-7
206.025,7.453e-8,,7.453e-8
206.030,1.606e-6,,1.606e-6
206.035,3.078e-5,,3.078e-5
206.040,5.243e-4,,5.243e-4
206.045,7.940e-3,,7.940e-3
206.050,1.069e-1,,1.069e-1
206.056,2.072e+0,,2.072e+0
206.061,2.154e+1,,2.154e+1
206.066,1.990e+2,,1.990e+2
206.071,1.635e+3,,1.635e+3
206.076,1.194e+4,,1.194e+4
206.081,7.749e+4,,7.749e+4
206.086,4.472e+5,,4.472e+5
206.091,2.295e+6,,2.295e+6
206.097,1.398e+7,,1.398e+7
206.102,5.537e+7,,5.537e+7
206.107,1.950e+8,,1.950e+8
206.112,6.103e+8,,6.103e+8
206.117,1.698e+9,,1.698e+9
206.122,4.202e+9,,4.202e+9
206.127,9.242e+9,,9.242e+9
206.132,1.807e+10,,1.807e+10
206.138,3.460e+10,,3.460e+10
206.143,5.222e+10,,5.222e+10
206.148,7.008e+10,,7.008e+10
206.153,8.360e+10,,8.360e+10
206.158,8.867e+10,,8.867e+10
206.163,8.360e+10,,8.360e+10
206.168,7.008e+10,,7.008e+10
206.173,5.222e+10,,5.222e+10
206.179,3.141e+10,,3.141e+10
206.184,1.807e+10,,1.807e+10
206.189,9.242e+9,,9.242e+9
206.194,4.202e+9,,4.202e+9
206.199,1.698e+9,,1.698e+9
206.204,6.103e+8,,6.103e+8
206.209,1.950e+8,,1.950e+8
206.214,5.537e+7,,5.537e+7
206.219,1.398e+7,,1.398e+7
206.225,2.295e+6,,2.295e+6
206.230,4.472e+5,,4.472e+5
206.235,7.749e+4,,7.749e+4
206.240,1.194e+4,,1.194e+4
206.245,1.635e+3,,1.635e+3
206.250,1.990e+2,,1.990e+2
206.255,2.154e+1,,2.154e+1
206.260,2.072e+0,,2.072e+0
206.266,1.069e-1,,1.069e-1
206.271,7.940e-3,,7.940e-3
206.276,5.243e-4,,5.243e-4
206.281,3.078e-5,,3.078e-5
206.286,1.606e-6,,1.606e-6
206.291,7.453e-8,,7.453e-8
206.414,8.920e-9,,8.920e-9
206.419,2.039e-7,,2.039e-7
206.424,4.144e-6,,4.144e-6
206.429,7.492e-5,,7.492e-5
206.435,2.070e-3,,2.070e-3
206.440,2.892e-2,,2.892e-2
206.445,3.594e-1,,3.594e-1
206.450,3.972e+0,,3.972e+0
206.455,3.904e+1,,3.904e+1
206.460,3.413e+2,,3.413e+2
206.465,2.654e+3,,2.654e+3
206.470,1.835e+4,,1.835e+4
206.476,1.600e+5,,1.600e+5
206.481,8.552e+5,,8.552e+5
206.486,4.065e+6,,4.065e+6
206.491,1.718e+7,,1.718e+7
206.496,6.460e+7,,6.460e+7
206.501,2.160e+8,,2.160e+8
206.506,6.424e+8,,6.424e+8
206.511,1.699e+9,,1.699e+9
206.517,4.678e+9,,4.678e+9
206.522,9.561e+9,,9.561e+9
206.527,1.738e+10,,1.738e+10
206.532,2.811e+10,,2.811e+10
206.537,4.042e+10,,4.042e+10
206.542,5.170e+10,,5.170e+10
206.547,5.881e+10,,5.881e+10
206.552,5.950e+10,,5.950e+10
206.558,5.170e+10,,5.170e+10
206.563,4.042e+10,,4.042e+10
206.568,2.811e+10,,2.811e+10
206.573,1.738e+10,,1.738e+10
206.578,9.561e+9,,9.561e+9
206.583,4.678e+9,,4.678e+9
206.588,2.035e+9,,2.035e+9
206.593,7.878e+8,,7.878e+8
206.598,2.712e+8,,2.712e+8
206.604,6.460e+7,,6.460e+7
206.609,1.718e+7,,1.718e+7
206.614,4.065e+6,,4.065e+6
206.619,8.552e+5,,8.552e+5
206.624,1.600e+5,,1.600e+5
206.629,2.664e+4,,2.664e+4
206.634,3.943e+3,,3.943e+3
206.639,5.192e+2,,5.192e+2
206.645,3.904e+1,,3.904e+1
206.650,3.972e+0,,3.972e+0
206.655,3.594e-1,,3.594e-1
206.660,2.892e-2,,2.892e-2
206.665,2.070e-3,,2.070e-3
206.670,1.318e-4,,1.318e-4
206.675,7.463e-6,,7.463e-6
206.680,3.759e-7,,3.759e-7
235.278,3.515e-11,3.515e-11,1.959e-7
235.283,5.310e-10,5.310e-10,1.959e-7
235.288,7.331e-9,7.331e-9,1.958e-7
235.293,9.247e-8,9.247e-8,1.958e-7
235.298,1.066e-6,1.066e-6,1.958e-7
235.303,1.123e-5,1.123e-5,1.957e-7
235.308,1.080e-4,1.080e-4,1.957e-7
235.314,1.452e-3,1.452e-3,1.957e-7
235.319,1.145e-2,1.145e-2,1.956e-7
235.324,8.259e-2,8.259e-2,1.956e-7
235.329,5.442e-1,5.442e-1,1.956e-7
235.334,3.276e+0,3.276e+0,1.955e-7
235.339,1.802e+1,1.802e+1,1.955e-7
235.344,9.058e+1,9.058e+1,1.955e-7
235.349,4.160e+2,4.160e+2,1.954e-7
235.355,2.301e+3,2.301e+3,1.954e-7
235.360,8.666e+3,8.666e+3,1.954e-7
235.365,2.982e+4,2.982e+4,1.953e-7
235.370,9.377e+4,9.377e+4,1.953e-7
235.375,2.694e+5,2.694e+5,1.953e-7
235.380,7.073e+5,7.073e+5,1.952e-7
235.385,1.697e+6,1.697e+6,1.952e-7
235.390,3.719e+6,3.719e+6,1.952e-7
235.396,8.468e+6,8.468e+6,1.951e-7
235.401,1.522e+7,1.522e+7,1.951e-7
235.406,2.500e+7,2.500e+7,1.951e-7
235.411,3.751e+7,3.751e+7,1.951e-7
235.416,5.144e+7,5.144e+7,1.950e-7
235.421,6.445e+7,6.445e+7,1.950e-7
235.426,7.379e+7,7.379e+7,1.950e-7
235.431,7.720e+7,7.720e+7,1.949e-7
235.437,7.234e+7,7.234e+7,1.949e-7
235.442,6.206e+7,6.206e+7,1.949e-7
235.447,4.864e+7,4.864e+7,1.948e-7
235.452,3.484e+7,3.484e+7,1.948e-7
235.457,2.280e+7,2.280e+7,1.948e-7
235.462,1.363e+7,1.363e+7,1.947e-7
235.467,7.450e+6,7.450e+6,1.947e-7
235.472,3.719e+6,3.719e+6,1.947e-7
235.477,1.697e+6,1.697e+6,1.946e-7
235.483,5.874e+5,5.874e+5,1.946e-7
235.488,2.197e+5,2.197e+5,1.946e-7
235.493,7.511e+4,7.511e+4,1.945e-7
235.498,2.346e+4,2.346e+4,1.945e-7
235.503,6.695e+3,6.695e+3,1.945e-7
235.508,1.746e+3,1.746e+3,1.944e-7
235.513,4.160e+2,4.160e+2,1.944e-7
235.518,9.058e+1,9.058e+1,1.944e-7
235.524,1.291e+1,1.291e+1,1.943e-7
235.529,2.304e+0,2.304e+0,1.943e-7
235.534,3.759e-1,3.759e-1,1.943e-7
235.539,5.604e-2,5.604e-2,1.942e-7
235.544,7.633e-3,7.633e-3,1.942e-7
235.549,9.499e-4,9.499e-4,1.942e-7
235.554,1.080e-4,1.080e-4,1.942e-7
235.559,1.123e-5,1.123e-5,1.941e-7
235.565,6.584e-7,6.584e-7,1.941e-7
235.570,5.610e-8,5.610e-8,1.941e-7
235.575,4.368e-9,4.368e-9,1.940e-7
235.580,3.107e-10,3.107e-10,1.940e-7
236.323,4.689e-10,4.689e-10,1.893e-7
236.328,6.556e-9,6.556e-9,1.893e-7
236.333,8.382e-8,8.382e-8,1.892e-7
236.338,9.800e-7,9.800e-7,1.892e-7
236.343,1.048e-5,1.048e-5,1.892e-7
236.348,1.024e-4,1.024e-4,1.892e-7
236.353,9.160e-4,9.160e-4,1.891e-7
236.358,7.489e-3,7.489e-3,1.891e-7
236.363,5.600e-2,5.600e-2,1.891e-7
236.369,5.564e-1,5.564e-1,1.890e-7
236.374,3.417e+0,3.417e+0,1.890e-7
236.379,1.919e+1,1.919e+1,1.890e-7
236.384,9.857e+1,9.857e+1,1.889e-7
236.389,4.630e+2,4.630e+2,1.889e-7
236.394,1.988e+3,1.988e+3,1.889e-7
236.399,7.810e+3,7.810e+3,1.888e-7
236.404,2.805e+4,2.805e+4,1.888e-7
236.410,1.156e+5,1.156e+5,1.888e-7
236.415,3.411e+5,3.411e+5,1.887e-7
236.420,9.203e+5,9.203e+5,1.887e-7
236.425,2.271e+6,2.271e+6,1.887e-7
236.430,5.123e+6,5.123e+6,1.886e-7
236.435,1.057e+7,1.057e+7,1.886e-7
236.440,1.994e+7,1.994e+7,1.886e-7
236.445,3.441e+7,3.441e+7,1.885e-7
236.451,5.883e+7,5.883e+7,1.885e-7
236.456,8.338e+7,8.338e+7,1.885e-7
236.461,1.081e+8,1.081e+8,1.884e-7
236.466,1.281e+8,1.281e+8,1.884e-7
236.471,1.388e+8,1.388e+8,1.884e-7
236.476,1.376e+8,1.376e+8,1.884e-7
236.481,1.247e+8,1.247e+8,1.883e-7
236.486,1.033e+8,1.033e+8,1.883e-7
236.492,7.331e+7,7.331e+7,1.882e-7
236.497,4.991e+7,4.991e+7,1.882e-7
236.502,3.107e+7,3.107e+7,1.882e-7
236.507,1.769e+7,1.769e+7,1.882e-7
236.512,9.211e+6,9.211e+6,1.881e-7
236.517,4.390e+6,4.390e+6,1.881e-7
236.522,1.927e+6,1.927e+6,1.881e-7
236.527,8.196e+5,8.196e+5,1.880e-7
236.532,4.587e+5,4.587e+5,1.880e-7
236.538,6.908e+5,6.908e+5,1.880e-7
236.543,1.572e+6,1.572e+6,1.879e-7
236.548,3.563e+6,3.563e+6,1.879e-7
236.553,7.467e+6,7.467e+6,1.879e-7
236.558,1.433e+7,1.433e+7,1.878e-7
236.563,2.516e+7,2.516e+7,1.878e-7
236.568,4.039e+7,4.039e+7,1.878e-7
236.573,5.930e+7,5.930e+7,1.877e-7
236.579,8.357e+7,8.357e+7,1.877e-7
236.584,1.008e+8,1.008e+8,1.877e-7
236.589,1.112e+8,1.112e+8,1.876e-7
236.594,1.122e+8,1.122e+8,1.876e-7
236.599,1.036e+8,1.036e+8,1.876e-7
236.604,8.739e+7,8.739e+7,1.875e-7
236.609,6.745e+7,6.745e+7,1.875e-7
236.614,4.763e+7,4.763e+7,1.875e-7
236.620,2.796e+7,2.796e+7,1.874e-7
236.625,1.646e+7,1.646e+7,1.874e-7
236.630,9.379e+6,9.379e+6,1.874e-7
236.635,6.121e+6,6.121e+6,1.873e-7
236.640,6.193e+6,6.193e+6,1.873e-7
236.645,9.552e+6,9.552e+6,1.873e-7
236.650,1.658e+7,1.658e+7,1.873e-7
236.655,2.769e+7,2.769e+7,1.872e-7
236.661,4.617e+7,4.617e+7,1.872e-7
236.666,6.421e+7,6.421e+7,1.872e-7
236.671,8.171e+7,8.171e+7,1.871e-7
236.676,9.509e+7,9.509e+7,1.871e-7
236.681,1.012e+8,1.012e+8,1.871e-7
236.686,9.855e+7,9.855e+7,1.870e-7
236.691,8.775e+7,8.775e+7,1.870e-7
236.696,7.147e+7,7.147e+7,1.870e-7
236.701,5.323e+7,5.323e+7,1.869e-7
236.707,3.323e+7,3.323e+7,1.869e-7
236.712,2.034e+7,2.034e+7,1.869e-7
236.717,1.139e+7,1.139e+7,1.868e-7
236.722,5.829e+6,5.829e+6,1.868e-7
236.727,2.730e+6,2.730e+6,1.868e-7
236.732,1.169e+6,1.169e+6,1.867e-7
236.737,4.580e+5,4.580e+5,1.867e-7
236.742,1.641e+5,1.641e+5,1.867e-7
236.748,4.256e+4,4.256e+4,1.866e-7
236.753,1.253e+4,1.253e+4,1.866e-7
236.758,3.373e+3,3.373e+3,1.866e-7
236.763,8.308e+2,8.308e+2,1.865e-7
236.768,1.871e+2,1.871e+2,1.865e-7
236.773,3.855e+1,3.855e+1,1.865e-7
236.778,7.263e+0,7.263e+0,1.864e-7
236.783,1.252e+0,1.252e+0,1.864e-7
236.789,1.349e-1,1.349e-1,1.864e-7
236.794,1.910e-2,1.910e-2,1.863e-7
236.799,2.474e-3,2.474e-3,1.863e-7
236.804,2.930e-4,2.930e-4,1.863e-7
236.809,3.174e-5,3.174e-5,1.863e-7
236.814,3.145e-6,3.145e-6,1.862e-7
236.819,2.851e-7,2.851e-7,1.862e-7
236.824,2.363e-8,2.363e-8,1.862e-7
236.830,1.058e-9,1.058e-9,1.861e-7
237.352,3.125e-11,3.125e-11,1.828e-7
237.357,4.584e-10,4.584e-10,1.828e-7
237.362,6.153e-9,6.153e-9,1.828e-7
237.367,7.560e-8,7.560e-8,1.827e-7
237.372,8.501e-7,8.501e-7,1.827e-7
237.378,1.380e-5,1.380e-5,1.827e-7
237.383,1.276e-4,1.276e-4,1.826e-7
237.388,1.081e-3,1.081e-3,1.826e-7
237.393,8.374e-3,8.374e-3,1.826e-7
237.398,5.939e-2,5.939e-2,1.825e-7
237.403,3.854e-1,3.854e-1,1.825e-7
237.408,2.289e+0,2.289e+0,1.825e-7
237.413,1.244e+1,1.244e+1,1.825e-7
237.418,6.190e+1,6.190e+1,1.824e-7
237.424,3.776e+2,3.776e+2,1.824e-7
237.429,1.546e+3,1.546e+3,1.824e-7
237.434,5.790e+3,5.790e+3,1.823e-7
237.439,1.985e+4,1.985e+4,1.823e-7
237.444,6.228e+4,6.228e+4,1.823e-7
237.449,1.788e+5,1.788e+5,1.822e-7
237.454,4.699e+5,4.699e+5,1.822e-7
237.459,1.130e+6,1.130e+6,1.822e-7
237.465,2.882e+6,2.882e+6,1.821e-7
