Wavelength (nm),Sum(calc),Cu I (8.6e-2),Cu II (9.1e-1)
201.158,5.814e-13,,5.814e-13
201.163,1.731e-11,,1.731e-11
201.168,4.553e-10,,4.553e-10
201.173,1.059e-8,,1.059e-8
201.178,2.176e-7,,2.176e-7
201.183,3.954e-6,,3.954e-6
201.188,6.351e-5,,6.351e-5
201.193,9.016e-4,,9.016e-4
201.198,1.131e-2,,1.131e-2
201.203,1.255e-1,,1.255e-1
201.208,1.230e+0,,1.230e+0
201.213,1.066e+1,,1.066e+1
201.218,8.165e+1,,8.165e+1
201.223,5.529e+2,,5.529e+2
201.228,3.309e+3,,3.309e+3
201.233,1.750e+4,,1.750e+4
201.238,8.184e+4,,8.184e+4
201.243,3.382e+5,,3.382e+5
201.248,1.236e+6,,1.236e+6
201.253,3.990e+6,,3.990e+6
201.258,1.139e+7,,1.139e+7
201.263,2.874e+7,,2.874e+7
201.268,6.409e+7,,6.409e+7
201.273,1.263e+8,,1.263e+8
201.278,2.201e+8,,2.201e+8
201.283,3.390e+8,,3.390e+8
201.288,4.615e+8,,4.615e+8
201.293,5.554e+8,,5.554e+8
201.298,5.907e+8,,5.907e+8
201.303,5.554e+8,,5.554e+8
201.308,4.615e+8,,4.615e+8
201.313,3.390e+8,,3.390e+8
201.318,2.201e+8,,2.201e+8
201.323,1.263e+8,,1.263e+8
201.328,6.409e+7,,6.409e+7
201.333,2.874e+7,,2.874e+7
201.338,1.139e+7,,1.139e+7
201.343,3.990e+6,,3.990e+6
201.348,1.236e+6,,1.236e+6
201.353,3.382e+5,,3.382e+5
201.358,8.184e+4,,8.184e+4
201.364,1.267e+4,,1.267e+4
201.369,2.336e+3,,2.336e+3
201.374,3.809e+2,,3.809e+2
201.379,5.488e+1,,5.488e+1
201.384,6.990e+0,,6.990e+0
201.389,7.870e-1,,7.870e-1
201.394,7.832e-2,,7.832e-2
201.399,6.889e-3,,6.889e-3
201.404,5.356e-4,,5.356e-4
201.409,3.681e-5,,3.681e-5
201.414,2.236e-6,,2.236e-6
201.419,1.201e-7,,1.201e-7
201.424,5.961e-9,,5.961e-9
201.429,6.918e-9,,6.918e-9
201.434,1.503e-7,,1.503e-7
201.439,2.991e-6,,2.991e-6
201.444,5.263e-5,,5.263e-5
201.449,8.188e-4,,8.188e-4
201.454,1.126e-2,,1.126e-2
201.459,1.370e-1,,1.370e-1
201.464,1.473e+0,,1.473e+0
201.469,1.401e+1,,1.401e+1
201.474,1.178e+2,,1.178e+2
201.479,8.759e+2,,8.759e+2
201.484,5.757e+3,,5.757e+3
201.489,3.346e+4,,3.346e+4
201.494,1.720e+5,,1.720e+5
201.499,7.815e+5,,7.815e+5
201.504,3.140e+6,,3.140e+6
201.509,1.115e+7,,1.115e+7
201.514,3.504e+7,,3.504e+7
201.519,9.731e+7,,9.731e+7
201.524,2.390e+8,,2.390e+8
201.529,5.189e+8,,5.189e+8
201.534,9.963e+8,,9.963e+8
201.539,1.691e+9,,1.691e+9
201.544,2.539e+9,,2.539e+9
201.549,3.369e+9,,3.369e+9
201.554,3.954e+9,,3.954e+9
201.559,4.103e+9,,4.103e+9
201.564,3.764e+9,,3.764e+9
201.569,3.053e+9,,3.053e+9
201.574,2.190e+9,,2.190e+9
201.579,1.389e+9,,1.389e+9
201.584,7.789e+8,,7.789e+8
201.589,3.862e+8,,3.862e+8
201.594,1.693e+8,,1.693e+8
201.599,6.563e+7,,6.563e+7
201.604,2.250e+7,,2.250e+7
201.609,6.818e+6,,6.818e+6
201.614,1.827e+6,,1.827e+6
201.620,3.198e+5,,3.198e+5
201.625,6.536e+4,,6.536e+4
201.630,1.181e+4,,1.181e+4
201.635,1.888e+3,,1.888e+3
201.640,2.667e+2,,2.667e+2
201.645,3.333e+1,,3.333e+1
201.650,3.681e+0,,3.681e+0
201.655,3.596e-1,,3.596e-1
201.660,3.105e-2,,3.105e-2
201.665,2.371e-3,,2.371e-3
201.670,1.601e-4,,1.601e-4
201.675,9.559e-6,,9.559e-6
201.680,5.046e-7,,5.046e-7
201.685,2.355e-8,,2.355e-8
201.690,9.720e-10,,9.720e-10
201.695,3.547e-11,,3.547e-11
202.292,1.634e-12,1.634e-12,2.284e-11
202.297,4.856e-11,4.856e-11,2.274e-11
202.302,1.278e-9,1.278e-9,2.263e-11
202.307,2.977e-8,2.977e-8,2.252e-11
202.312,6.141e-7,6.141e-7,2.242e-11
202.317,1.121e-5,1.121e-5,2.231e-11
202.322,1.812e-4,1.812e-4,2.221e-11
202.327,2.593e-3,2.593e-3,2.210e-11
202.332,3.285e-2,3.285e-2,2.200e-11
202.337,3.683e-1,3.683e-1,2.189e-11
202.342,3.656e+0,3.656e+0,2.178e-11
202.347,3.213e+1,3.213e+1,2.168e-11
202.352,2.500e+2,2.500e+2,2.157e-11
202.357,1.722e+3,1.722e+3,2.147e-11
202.362,1.050e+4,1.050e+4,2.136e-11
202.367,5.666e+4,5.666e+4,2.126e-11
202.372,2.707e+5,2.707e+5,2.115e-11
202.377,1.145e+6,1.145e+6,2.104e-11
202.382,4.288e+6,4.288e+6,2.094e-11
202.387,1.422e+7,1.422e+7,2.083e-11
202.393,5.099e+7,5.099e+7,2.071e-11
202.398,1.293e+8,1.293e+8,2.060e-11
202.403,2.901e+8,2.901e+8,2.049e-11
202.408,5.765e+8,5.765e+8,2.039e-11
202.413,1.014e+9,1.014e+9,5.964e-10
202.418,1.579e+9,1.579e+9,1.544e-8
202.423,2.176e+9,2.176e+9,3.540e-7
202.428,2.656e+9,2.656e+9,7.184e-6
202.433,2.869e+9,2.869e+9,1.291e-4
202.438,2.744e+9,2.744e+9,2.052e-3
202.443,2.323e+9,2.323e+9,2.890e-2
202.448,1.741e+9,1.741e+9,3.601e-1
202.453,1.155e+9,1.155e+9,3.974e+0
202.458,6.782e+8,6.782e+8,3.881e+1
202.463,3.526e+8,3.526e+8,3.356e+2
202.468,1.623e+8,1.623e+8,2.569e+3
202.473,6.614e+7,6.612e+7,1.741e+4
202.478,2.395e+7,2.385e+7,1.044e+5
202.483,8.169e+6,7.615e+6,5.545e+5
202.488,4.759e+6,2.152e+6,2.607e+6
202.493,1.139e+7,5.385e+5,1.085e+7
202.498,4.009e+7,1.193e+5,3.997e+7
202.503,1.304e+8,2.339e+4,1.304e+8
202.508,3.764e+8,4.060e+3,3.764e+8
202.513,9.620e+8,6.238e+2,9.620e+8
202.518,2.177e+9,8.485e+1,2.177e+9
202.523,4.360e+9,1.022e+1,4.360e+9
202.528,7.731e+9,1.089e+0,7.731e+9
202.533,1.214e+10,1.028e-1,1.214e+10
202.538,1.687e+10,8.584e-3,1.687e+10
202.543,2.075e+10,6.347e-4,2.075e+10
202.548,2.260e+10,4.155e-5,2.260e+10
202.553,2.178e+10,2.408e-6,2.178e+10
202.558,1.859e+10,1.235e-7,1.859e+10
202.563,1.405e+10,5.607e-9,1.405e+10
202.568,9.396e+9,2.254e-10,9.396e+9
202.573,5.563e+9,2.254e-10,5.563e+9
202.578,2.916e+9,2.253e-10,2.916e+9
202.583,1.353e+9,2.253e-10,1.353e+9
202.588,5.559e+8,2.253e-10,5.559e+8
202.593,2.021e+8,2.252e-10,2.021e+8
202.598,6.508e+7,2.252e-10,6.508e+7
202.603,1.855e+7,2.252e-10,1.855e+7
202.608,4.679e+6,2.251e-10,4.679e+6
202.613,1.045e+6,2.251e-10,1.045e+6
202.618,2.066e+5,2.251e-10,2.066e+5
202.623,3.616e+4,2.250e-10,3.616e+4
202.628,5.606e+3,2.250e-10,5.606e+3
202.633,7.880e+2,2.250e-10,7.880e+2
202.638,2.211e+2,2.249e-10,2.211e+2
202.643,7.559e+2,2.249e-10,7.559e+2
202.649,5.278e+3,2.249e-10,5.278e+3
202.654,2.357e+4,2.248e-10,2.357e+4
202.659,9.322e+4,2.248e-10,9.322e+4
202.664,3.264e+5,2.248e-10,3.264e+5
202.669,1.012e+6,2.247e-10,1.012e+6
202.674,2.779e+6,2.247e-10,2.779e+6
202.679,6.754e+6,2.247e-10,6.754e+6
202.684,1.454e+7,2.246e-10,1.454e+7
202.689,2.771e+7,2.246e-10,2.771e+7
202.694,4.675e+7,2.246e-10,4.675e+7
202.699,6.985e+7,2.245e-10,6.985e+7
202.704,9.241e+7,2.245e-10,9.241e+7
202.709,1.082e+8,2.245e-10,1.082e+8
202.714,1.123e+8,2.244e-10,1.123e+8
202.719,1.031e+8,2.244e-10,1.031e+8
202.724,8.384e+7,2.244e-10,8.384e+7
202.729,6.036e+7,2.243e-10,6.036e+7
202.734,3.848e+7,2.243e-10,3.848e+7
202.739,2.172e+7,2.243e-10,2.172e+7
202.744,1.086e+7,2.242e-10,1.086e+7
202.749,4.804e+6,2.242e-10,4.804e+6
202.754,1.882e+6,2.242e-10,1.882e+6
202.759,6.531e+5,2.241e-10,6.531e+5
202.764,2.006e+5,2.241e-10,2.006e+5
202.769,5.457e+4,2.241e-10,5.457e+4
202.774,1.314e+4,2.240e-10,1.314e+4
202.779,2.803e+3,2.240e-10,2.803e+3
202.784,5.293e+2,2.240e-10,5.293e+2
202.789,8.849e+1,2.239e-10,8.849e+1
202.794,1.310e+1,2.239e-10,1.310e+1
202.799,1.717e+0,2.239e-10,1.717e+0
202.804,1.993e-1,2.238e-10,1.993e-1
202.809,2.048e-2,2.238e-10,2.048e-2
202.814,1.863e-3,2.238e-10,1.863e-3
202.819,1.501e-4,2.237e-10,1.501e-4
202.824,1.071e-5,2.237e-10,1.071e-5
202.829,6.763e-7,2.237e-10,6.763e-7
202.834,3.782e-8,2.236e-10,3.782e-8
202.839,1.873e-9,2.236e-10,1.873e-9
202.844,8.212e-11,2.236e-10,8.212e-11
202.849,3.188e-12,2.235e-10,3.188e-12
202.854,9.339e-14,2.235e-10,9.339e-14
202.859,2.692e-12,2.235e-10,2.692e-12
202.864,6.871e-11,2.234e-10,6.871e-11
202.869,1.554e-9,2.234e-10,1.554e-9
202.874,3.111e-8,2.234e-10,3.111e-8
202.879,5.519e-7,2.233e-10,5.519e-7
202.884,8.671e-6,2.233e-10,8.671e-6
202.889,1.207e-4,2.233e-10,1.207e-4
202.894,1.487e-3,2.232e-10,1.487e-3
202.899,1.624e-2,2.232e-10,1.624e-2
202.905,2.436e-1,2.231e-10,2.436e-1
202.910,2.037e+0,2.231e-10,2.037e+0
202.915,1.508e+1,2.231e-10,1.508e+1
202.920,9.890e+1,2.230e-10,9.890e+1
202.925,5.745e+2,2.230e-10,5.745e+2
202.930,2.956e+3,2.230e-10,2.956e+3
202.935,1.347e+4,2.229e-10,1.347e+4
202.940,5.438e+4,2.229e-10,5.438e+4
202.945,1.944e+5,2.229e-10,1.944e+5
202.950,6.157e+5,2.228e-10,6.157e+5
202.955,1.727e+6,2.228e-10,1.727e+6
202.960,4.291e+6,2.228e-10,4.291e+6
202.965,9.442e+6,2.227e-10,9.442e+6
202.970,1.840e+7,2.227e-10,1.840e+7
202.975,3.177e+7,2.227e-10,3.177e+7
202.980,4.858e+7,2.226e-10,4.858e+7
202.985,6.580e+7,2.226e-10,6.580e+7
202.990,7.893e+7,2.226e-10,7.893e+7
202.995,8.387e+7,2.225e-10,8.387e+7
203.000,7.893e+7,2.225e-10,7.893e+7
