Wavelength (nm),Sum,Mg I (3.8e-02),Mg II (9.5e-01),Mg III (8.2e-03)
200.365,4.343e-30,,,4.343e-30
200.37,8.283e-29,,,8.283e-29
200.375,1.395e-27,,,1.395e-27
200.38,2.074e-26,,,2.074e-26
200.385,2.724e-25,,,2.724e-25
200.39,3.158e-24,,,3.158e-24
200.395,3.233e-23,,,3.233e-23
200.4,2.923e-22,,,2.923e-22
200.405,2.334e-21,,,2.334e-21
200.41,1.645e-20,,,1.645e-20
200.415,1.024e-19,,,1.024e-19
200.42,5.630e-19,,,5.630e-19
200.425,2.733e-18,,,2.733e-18
200.43,1.171e-17,,,1.171e-17
200.435,4.434e-17,,,4.434e-17
200.44,1.482e-16,,,1.482e-16
200.445,4.373e-16,,,4.373e-16
200.45,1.140e-15,,,1.140e-15
200.455,2.623e-15,,,2.623e-15
200.46,5.330e-15,,,5.330e-15
200.465,9.563e-15,,,9.563e-15
200.47,1.515e-14,,,1.515e-14
200.475,2.120e-14,,,2.120e-14
200.48,2.619e-14,,,2.619e-14
200.485,2.858e-14,,,2.858e-14
200.49,2.753e-14,,,2.753e-14
200.495,2.342e-14,,,2.342e-14
200.5,1.759e-14,,,1.759e-14
200.505,1.167e-14,,,1.167e-14
200.51,6.835e-15,,,6.835e-15
200.515,3.535e-15,,,3.535e-15
200.52,1.615e-15,,,1.615e-15
200.525,6.512e-16,,,6.512e-16
200.53,2.319e-16,,,2.319e-16
200.535,7.292e-17,,,7.292e-17
200.54,2.025e-17,,,2.025e-17
200.545,4.965e-18,,,4.965e-18
200.55,1.075e-18,,,1.075e-18
200.555,2.056e-19,,,2.056e-19
200.56,3.471e-20,,,3.471e-20
200.565,5.174e-21,,,5.174e-21
200.57,6.812e-22,,,6.812e-22
200.575,7.918e-23,,,7.918e-23
200.58,8.128e-24,,,8.128e-24
200.585,7.368e-25,,,7.368e-25
200.59,5.897e-26,,,5.897e-26
200.595,4.168e-27,,,4.168e-27
200.6,2.601e-28,,,2.601e-28
200.605,1.434e-29,,,1.434e-29
202.461,2.841e-6,2.841e-6,,
202.466,5.098e-5,5.098e-5,,
202.471,8.100e-4,8.100e-4,,
202.476,1.139e-2,1.139e-2,,
202.481,1.419e-1,1.419e-1,,
202.486,1.564e+0,1.564e+0,,
202.491,1.527e+1,1.527e+1,,
202.496,1.319e+2,1.319e+2,,
202.501,1.009e+3,1.009e+3,,
202.506,6.833e+3,6.833e+3,,
202.511,4.097e+4,4.097e+4,,
202.516,2.174e+5,2.174e+5,,
202.521,1.022e+6,1.022e+6,,
202.526,4.250e+6,4.250e+6,,
202.531,1.565e+7,1.565e+7,,
202.536,5.102e+7,5.102e+7,,
202.541,1.473e+8,1.473e+8,,
202.546,3.763e+8,3.763e+8,,
202.551,8.512e+8,8.512e+8,,
202.556,1.705e+9,1.705e+9,,
202.561,3.022e+9,3.022e+9,,
202.566,4.743e+9,4.743e+9,,
202.571,6.591e+9,6.591e+9,,
202.576,8.107e+9,8.107e+9,,
202.581,8.829e+9,8.829e+9,,
202.586,8.512e+9,8.512e+9,,
202.591,7.265e+9,7.265e+9,,
202.596,5.490e+9,5.490e+9,,
202.601,3.672e+9,3.672e+9,,
202.606,2.175e+9,2.175e+9,,
202.611,1.140e+9,1.140e+9,,
202.616,5.292e+8,5.292e+8,,
202.621,2.175e+8,2.175e+8,,
202.626,7.911e+7,7.911e+7,,
202.631,2.548e+7,2.548e+7,,
202.636,7.264e+6,7.264e+6,,
202.641,1.833e+6,1.833e+6,,
202.646,4.097e+5,4.097e+5,,
202.651,8.105e+4,8.105e+4,,
202.656,1.419e+4,1.419e+4,,
202.661,2.201e+3,2.201e+3,,
202.666,3.021e+2,3.021e+2,,
202.671,3.670e+1,3.670e+1,,
202.676,3.949e+0,3.949e+0,,
202.681,3.760e-1,3.760e-1,,
202.686,3.171e-2,3.171e-2,,
202.691,2.367e-3,2.367e-3,,
202.696,1.564e-4,1.564e-4,,
202.701,9.149e-6,9.149e-6,,
202.706,4.738e-7,4.738e-7,,
203.831,2.097e-29,,,2.097e-29
203.836,3.892e-28,,,3.892e-28
203.841,6.404e-27,,,6.404e-27
203.846,9.345e-26,,,9.345e-26
203.851,1.209e-24,,,1.209e-24
203.856,1.387e-23,,,1.387e-23
203.861,1.411e-22,,,1.411e-22
203.866,1.273e-21,,,1.273e-21
203.871,1.019e-20,,,1.019e-20
203.876,7.227e-20,,,7.227e-20
203.881,4.546e-19,,,4.546e-19
203.886,2.536e-18,,,2.536e-18
203.891,1.254e-17,,,1.254e-17
203.896,5.501e-17,,,5.501e-17
203.901,2.140e-16,,,2.140e-16
203.906,7.380e-16,,,7.380e-16
203.911,2.257e-15,,,2.257e-15
203.916,6.121e-15,,,6.121e-15
203.921,1.472e-14,,,1.472e-14
203.926,3.139e-14,,,3.139e-14
203.931,5.935e-14,,,5.935e-14
203.936,9.951e-14,,,9.951e-14
203.941,1.480e-13,,,1.480e-13
203.946,1.951e-13,,,1.951e-13
203.951,2.281e-13,,,2.281e-13
203.956,2.364e-13,,,2.364e-13
203.961,2.174e-13,,,2.174e-13
203.966,1.772e-13,,,1.772e-13
203.971,1.281e-13,,,1.281e-13
203.976,8.210e-14,,,8.210e-14
203.981,4.667e-14,,,4.667e-14
203.986,2.352e-14,,,2.352e-14
203.991,1.051e-14,,,1.051e-14
203.996,4.166e-15,,,4.166e-15
204.001,1.464e-15,,,1.464e-15
204.006,4.563e-16,,,4.563e-16
204.011,1.261e-16,,,1.261e-16
204.016,3.090e-17,,,3.090e-17
204.021,6.713e-18,,,6.713e-18
204.026,1.294e-18,,,1.294e-18
204.031,2.210e-19,,,2.210e-19
204.036,3.348e-20,,,3.348e-20
204.041,4.499e-21,,,4.499e-21
204.046,5.359e-22,,,5.359e-22
204.051,5.661e-23,,,5.661e-23
204.056,5.303e-24,,,5.303e-24
204.061,4.405e-25,,,4.405e-25
204.066,3.245e-26,,,3.245e-26
204.071,2.119e-27,,,2.119e-27
204.076,1.228e-28,,,1.228e-28
205.422,9.224e-30,,,9.224e-30
205.427,1.715e-28,,,1.715e-28
205.432,2.834e-27,,,2.834e-27
205.437,4.160e-26,,,4.160e-26
205.442,5.425e-25,,,5.425e-25
205.447,6.285e-24,,,6.285e-24
205.452,6.469e-23,,,6.469e-23
205.457,5.914e-22,,,5.914e-22
205.462,4.804e-21,,,4.804e-21
205.467,3.467e-20,,,3.467e-20
205.472,2.222e-19,,,2.222e-19
205.477,1.266e-18,,,1.266e-18
205.482,6.404e-18,,,6.404e-18
205.487,2.879e-17,,,2.879e-17
205.492,1.150e-16,,,1.150e-16
205.497,4.078e-16,,,4.078e-16
205.502,1.285e-15,,,1.285e-15
205.507,3.599e-15,,,3.599e-15
205.512,8.951e-15,,,8.951e-15
205.517,1.978e-14,,,1.978e-14
205.522,3.883e-14,,,3.883e-14
205.527,6.772e-14,,,6.772e-14
205.532,1.049e-13,,,1.049e-13
205.537,1.444e-13,,,1.444e-13
205.542,1.766e-13,,,1.766e-13
205.547,1.919e-13,,,1.919e-13
205.552,1.852e-13,,,1.852e-13
205.557,1.588e-13,,,1.588e-13
205.562,1.209e-13,,,1.209e-13
205.567,8.184e-14,,,8.184e-14
205.572,4.920e-14,,,4.920e-14
205.577,2.628e-14,,,2.628e-14
205.582,1.247e-14,,,1.247e-14
205.587,5.255e-15,,,5.255e-15
205.592,1.968e-15,,,1.968e-15
205.597,6.547e-16,,,6.547e-16
205.602,1.935e-16,,,1.935e-16
205.607,5.080e-17,,,5.080e-17
205.612,1.185e-17,,,1.185e-17
205.617,2.456e-18,,,2.456e-18
205.622,4.521e-19,,,4.521e-19
205.627,7.394e-20,,,7.394e-20
205.632,1.074e-20,,,1.074e-20
205.637,1.387e-21,,,1.387e-21
205.642,1.590e-22,,,1.590e-22
205.647,1.620e-23,,,1.620e-23
205.652,1.466e-24,,,1.466e-24
205.657,1.179e-25,,,1.179e-25
205.662,8.420e-27,,,8.420e-27
205.667,5.343e-28,,,5.343e-28
205.672,3.012e-29,,,3.012e-29
206.367,3.712e-28,,,3.712e-28
206.372,6.266e-27,,,6.266e-27
206.377,9.406e-26,,,9.406e-26
206.382,1.256e-24,,,1.256e-24
206.387,1.491e-23,,,1.491e-23
206.392,1.574e-22,,,1.574e-22
206.397,1.479e-21,,,1.479e-21
206.402,1.235e-20,,,1.235e-20
206.407,9.173e-20,,,9.173e-20
206.412,6.060e-19,,,6.060e-19
206.417,3.560e-18,,,3.560e-18
206.422,1.860e-17,,,1.860e-17
206.427,8.644e-17,,,8.644e-17
206.432,3.572e-16,,,3.572e-16
206.437,1.313e-15,,,1.313e-15
206.442,4.291e-15,,,4.291e-15
206.447,1.247e-14,,,1.247e-14
206.452,3.225e-14,,,3.225e-14
206.457,7.415e-14,,,7.415e-14
206.462,1.516e-13,,,1.516e-13
206.467,2.758e-13,,,2.758e-13
206.472,4.460e-13,,,4.460e-13
206.477,6.415e-13,,,6.415e-13
206.482,8.206e-13,,,8.206e-13
206.487,9.336e-13,,,9.336e-13
206.492,9.446e-13,,,9.446e-13
206.497,8.500e-13,,,8.500e-13
206.502,6.802e-13,,,6.802e-13
206.507,4.841e-13,,,4.841e-13
206.512,3.064e-13,,,3.064e-13
206.517,1.725e-13,,,1.725e-13
206.522,8.637e-14,,,8.637e-14
206.527,3.845e-14,,,3.845e-14
206.532,1.523e-14,,,1.523e-14
206.537,5.362e-15,,,5.362e-15
206.542,1.679e-15,,,1.679e-15
206.547,4.678e-16,,,4.678e-16
206.552,1.159e-16,,,1.159e-16
206.557,2.553e-17,,,2.553e-17
206.562,5.002e-18,,,5.002e-18
206.567,8.716e-19,,,8.716e-19
206.572,1.351e-19,,,1.351e-19
206.577,1.862e-20,,,1.862e-20
206.582,2.282e-21,,,2.282e-21
206.587,2.487e-22,,,2.487e-22
206.592,2.412e-23,,,2.412e-23
206.597,2.079e-24,,,2.079e-24
206.602,1.594e-25,,,1.594e-25
206.607,1.087e-26,,,1.087e-26
206.612,6.594e-28,,,6.594e-28
206.617,3.557e-29,,,3.557e-29
208.463,1.115e-29,,,1.115e-29
208.468,1.906e-28,,,1.906e-28
208.473,2.903e-27,,,2.903e-27
208.478,3.943e-26,,,3.943e-26
208.483,4.773e-25,,,4.773e-25
208.488,5.151e-24,,,5.151e-24
208.493,4.956e-23,,,4.956e-23
208.498,4.250e-22,,,4.250e-22
208.503,3.249e-21,,,3.249e-21
208.508,2.214e-20,,,2.214e-20
208.513,1.345e-19,,,1.345e-19
208.518,7.285e-19,,,7.285e-19
208.523,3.517e-18,,,3.517e-18
208.528,1.514e-17,,,1.514e-17
208.533,5.807e-17,,,5.807e-17
208.538,1.986e-16,,,1.986e-16
208.543,6.055e-16,,,6.055e-16
208.548,1.645e-15,,,1.645e-15
208.553,3.986e-15,,,3.986e-15
208.558,8.609e-15,,,8.609e-15
208.563,1.657e-14,,,1.657e-14
