Wavelength (nm),Sum,Pb I (4.4e-02),Pb II (9.5e-01)
202.08,7.956e-8,7.956e-8,
202.085,1.479e-6,1.479e-6,
202.09,2.434e-5,2.434e-5,
202.095,3.543e-4,3.543e-4,
202.1,4.565e-3,4.565e-3,
202.105,5.204e-2,5.204e-2,
202.11,5.250e-1,5.250e-1,
202.115,4.686e+0,4.686e+0,
202.12,3.702e+1,3.702e+1,
202.125,2.587e+2,2.587e+2,
202.13,1.600e+3,1.600e+3,
202.135,8.759e+3,8.759e+3,
202.14,4.242e+4,4.242e+4,
202.145,1.818e+5,1.818e+5,
202.15,6.895e+5,6.895e+5,
202.155,2.314e+6,2.314e+6,
202.16,6.871e+6,6.871e+6,
202.165,1.805e+7,1.805e+7,
202.17,4.198e+7,4.198e+7,
202.175,8.638e+7,8.638e+7,
202.18,1.573e+8,1.573e+8,
202.185,2.534e+8,2.534e+8,
202.19,3.612e+8,3.612e+8,
202.195,4.557e+8,4.557e+8,
202.2,5.088e+8,5.088e+8,
202.205,5.026e+8,5.026e+8,
202.21,4.393e+8,4.393e+8,
202.216,3.181e+8,3.181e+8,
202.221,2.125e+8,2.125e+8,
202.226,1.256e+8,1.256e+8,
202.231,6.568e+7,6.568e+7,
202.236,3.040e+7,3.040e+7,
202.241,1.245e+7,1.245e+7,
202.246,4.511e+6,4.511e+6,
202.251,1.447e+6,1.447e+6,
202.256,4.105e+5,4.105e+5,
202.261,1.031e+5,1.031e+5,
202.266,2.290e+4,2.290e+4,
202.271,4.503e+3,4.503e+3,
202.276,7.835e+2,7.835e+2,
202.281,1.206e+2,1.206e+2,
202.286,1.643e+1,1.643e+1,
202.291,1.981e+0,1.981e+0,
202.296,2.113e-1,2.113e-1,
202.301,1.995e-2,1.995e-2,
202.306,1.666e-3,1.666e-3,
202.311,1.232e-4,1.232e-4,
202.316,8.057e-6,8.057e-6,
202.321,4.663e-7,4.663e-7,
202.326,2.388e-8,2.388e-8,
205.206,4.400e-7,4.400e-7,
205.211,7.489e-6,7.489e-6,
205.216,1.132e-4,1.132e-4,
205.221,1.520e-3,1.520e-3,
205.226,1.813e-2,1.813e-2,
205.231,1.920e-1,1.920e-1,
205.236,1.806e+0,1.806e+0,
205.241,1.509e+1,1.509e+1,
205.246,1.120e+2,1.120e+2,
205.251,7.381e+2,7.381e+2,
205.256,4.321e+3,4.321e+3,
205.261,2.247e+4,2.247e+4,
205.266,1.037e+5,1.037e+5,
205.271,4.255e+5,4.255e+5,
205.276,1.550e+6,1.550e+6,
205.281,5.014e+6,5.014e+6,
205.286,1.441e+7,1.441e+7,
205.291,3.677e+7,3.677e+7,
205.296,8.334e+7,8.334e+7,
205.302,1.903e+8,1.903e+8,
205.307,3.322e+8,3.322e+8,
205.312,5.152e+8,5.152e+8,
205.317,7.097e+8,7.097e+8,
205.322,8.682e+8,8.682e+8,
205.327,9.434e+8,9.434e+8,
205.332,9.104e+8,9.104e+8,
205.337,7.803e+8,7.803e+8,
205.342,5.940e+8,5.940e+8,
205.347,4.016e+8,4.016e+8,
205.352,2.412e+8,2.412e+8,
205.357,1.286e+8,1.286e+8,
205.362,6.094e+7,6.094e+7,
205.367,2.564e+7,2.564e+7,
205.372,9.581e+6,9.581e+6,
205.377,3.180e+6,3.180e+6,
205.382,9.373e+5,9.373e+5,
205.387,2.454e+5,2.454e+5,
205.392,5.706e+4,5.706e+4,
205.397,1.178e+4,1.178e+4,
205.402,2.162e+3,2.162e+3,
205.407,3.522e+2,3.522e+2,
205.412,5.096e+1,5.096e+1,
205.417,6.548e+0,6.548e+0,
205.422,7.474e-1,7.474e-1,
205.427,7.577e-2,7.577e-2,
205.432,6.823e-3,6.823e-3,
205.437,5.456e-4,5.456e-4,
205.442,3.875e-5,3.875e-5,
205.447,2.445e-6,2.445e-6,
205.452,1.370e-7,1.370e-7,
216.87,4.374e-6,4.374e-6,
216.875,6.558e-5,6.558e-5,
216.88,8.842e-4,8.842e-4,
216.885,1.072e-2,1.072e-2,
216.89,1.169e-1,1.169e-1,
216.895,1.146e+0,1.146e+0,
216.9,1.011e+1,1.011e+1,
216.905,8.013e+1,8.013e+1,
216.91,5.714e+2,5.714e+2,
216.915,3.664e+3,3.664e+3,
216.92,2.113e+4,2.113e+4,
216.925,1.095e+5,1.095e+5,
216.93,5.108e+5,5.108e+5,
216.935,2.142e+6,2.142e+6,
216.94,8.076e+6,8.076e+6,
216.945,2.738e+7,2.738e+7,
216.95,8.350e+7,8.350e+7,
216.955,2.290e+8,2.290e+8,
216.96,5.646e+8,5.646e+8,
216.965,1.252e+9,1.252e+9,
216.97,2.497e+9,2.497e+9,
216.975,4.477e+9,4.477e+9,
216.98,7.219e+9,7.219e+9,
216.985,1.047e+10,1.047e+10,
216.99,1.365e+10,1.365e+10,
216.995,1.601e+10,1.601e+10,
217,1.688e+10,1.688e+10,
217.005,1.601e+10,1.601e+10,
217.01,1.365e+10,1.365e+10,
217.015,1.047e+10,1.047e+10,
217.02,7.219e+9,7.219e+9,
217.025,4.477e+9,4.477e+9,
217.03,2.497e+9,2.497e+9,
217.035,1.252e+9,1.252e+9,
217.04,5.646e+8,5.646e+8,
217.045,2.290e+8,2.290e+8,
217.05,8.350e+7,8.350e+7,
217.055,2.738e+7,2.738e+7,
217.06,8.076e+6,8.076e+6,
217.065,2.142e+6,2.142e+6,
217.07,5.108e+5,5.108e+5,
217.075,1.095e+5,1.095e+5,
217.08,2.113e+4,2.113e+4,
217.085,3.664e+3,3.664e+3,
217.09,5.714e+2,5.714e+2,
217.095,8.013e+1,8.013e+1,
217.1,1.011e+1,1.011e+1,
217.105,1.146e+0,1.146e+0,
217.11,1.169e-1,1.169e-1,
217.115,1.072e-2,1.072e-2,
217.12,8.842e-4,8.842e-4,
217.125,6.558e-5,6.558e-5,
217.13,4.374e-6,4.374e-6,
220.221,6.602e-5,,6.602e-5
220.226,9.505e-4,,9.505e-4
220.231,1.235e-2,,1.235e-2
220.236,1.447e-1,,1.447e-1
220.241,1.529e+0,,1.529e+0
220.246,1.458e+1,,1.458e+1
220.251,1.255e+2,,1.255e+2
220.256,9.739e+2,,9.739e+2
220.261,6.819e+3,,6.819e+3
220.266,4.308e+4,,4.308e+4
220.271,2.455e+5,,2.455e+5
220.276,1.262e+6,,1.262e+6
220.281,5.854e+6,,5.854e+6
220.286,2.450e+7,,2.450e+7
220.291,9.247e+7,,9.247e+7
220.296,3.149e+8,,3.149e+8
220.301,9.675e+8,,9.675e+8
220.306,2.682e+9,,2.682e+9
220.311,6.705e+9,,6.705e+9
220.316,1.513e+10,,1.513e+10
220.321,3.078e+10,,3.078e+10
220.326,5.651e+10,,5.651e+10
220.331,9.360e+10,,9.360e+10
220.336,1.399e+11,,1.399e+11
220.341,1.885e+11,,1.885e+11
220.346,2.293e+11,,2.293e+11
220.351,2.515e+11,,2.515e+11
220.356,2.490e+11,,2.490e+11
220.361,2.223e+11,,2.223e+11
220.366,1.791e+11,,1.791e+11
220.371,1.301e+11,,1.301e+11
220.376,8.531e+10,,8.531e+10
220.381,5.046e+10,,5.046e+10
220.386,2.692e+10,,2.692e+10
220.391,1.296e+10,,1.296e+10
220.396,5.628e+9,,5.628e+9
220.401,2.205e+9,,2.205e+9
220.406,7.793e+8,,7.793e+8
220.411,2.485e+8,,2.485e+8
220.416,7.148e+7,,7.148e+7
220.421,1.855e+7,,1.855e+7
220.426,4.343e+6,,4.343e+6
220.431,9.172e+5,,9.172e+5
220.436,1.748e+5,,1.748e+5
220.441,3.004e+4,,3.004e+4
