Wavelength (nm),Pd I (6.4e-02)
244.644,2.762e-7
244.649,3.079e-6
244.654,3.159e-5
244.659,2.981e-4
244.664,2.587e-3
244.669,2.066e-2
244.674,1.518e-1
244.679,1.026e+0
244.684,6.379e+0
244.689,3.649e+1
244.694,1.920e+2
244.699,9.293e+2
244.704,4.138e+3
244.709,1.695e+4
244.714,6.389e+4
244.719,2.215e+5
244.724,7.065e+5
244.729,2.073e+6
244.734,5.595e+6
244.739,1.389e+7
244.744,3.174e+7
244.749,6.669e+7
244.754,1.289e+8
244.759,2.293e+8
244.764,3.751e+8
244.769,5.646e+8
244.774,7.818e+8
244.779,9.958e+8
244.784,1.167e+9
244.789,1.258e+9
244.794,1.247e+9
244.799,1.138e+9
244.804,9.551e+8
244.809,7.374e+8
244.814,5.238e+8
244.819,3.422e+8
244.824,2.057e+8
244.829,1.138e+8
244.834,5.787e+7
244.839,2.708e+7
244.844,1.166e+7
244.849,4.618e+6
244.854,1.683e+6
244.859,5.640e+5
244.864,1.739e+5
244.869,4.933e+4
244.874,1.287e+4
244.879,3.090e+3
244.884,6.825e+2
244.889,1.387e+2
244.894,2.592e+1
244.899,4.456e+0
244.904,7.048e-1
244.909,1.026e-1
244.914,1.373e-2
244.919,1.691e-3
244.924,1.915e-4
244.929,1.996e-5
244.934,1.914e-6
244.939,1.688e-7
247.49,9.939e-8
247.495,1.119e-6
247.5,1.162e-5
247.505,1.112e-4
247.51,9.805e-4
247.515,7.970e-3
247.52,5.971e-2
247.525,4.123e-1
247.53,2.624e+0
247.535,1.539e+1
247.54,8.324e+1
247.545,4.148e+2
247.55,1.905e+3
247.555,8.067e+3
247.56,3.148e+4
247.565,1.132e+5
247.57,3.754e+5
247.575,1.147e+6
247.58,3.230e+6
247.585,8.386e+6
247.59,2.006e+7
247.595,4.425e+7
247.6,8.993e+7
247.605,1.685e+8
247.61,2.909e+8
247.615,4.631e+8
247.62,6.793e+8
247.625,9.185e+8
247.63,1.145e+9
247.635,1.315e+9
247.64,1.392e+9
247.645,1.358e+9
247.65,1.222e+9
247.655,1.013e+9
247.66,7.739e+8
247.665,5.451e+8
247.67,3.538e+8
247.675,2.117e+8
247.68,1.167e+8
247.685,5.934e+7
247.69,2.780e+7
247.695,1.200e+7
247.7,4.778e+6
247.705,1.753e+6
247.71,5.926e+5
247.715,1.847e+5
247.72,5.305e+4
247.725,1.404e+4
247.73,3.427e+3
247.735,7.708e+2
247.74,1.598e+2
