Wavelength (nm),Sum,Sn I (5.3e-02),Sn II (9.4e-01)
214.955,1.583e-7,,1.583e-7
214.96,2.491e-6,,2.491e-6
214.965,3.518e-5,,3.518e-5
214.97,4.461e-4,,4.461e-4
214.975,5.076e-3,,5.076e-3
214.98,5.185e-2,,5.185e-2
214.985,4.753e-1,,4.753e-1
214.99,3.911e+0,,3.911e+0
214.995,2.889e+1,,2.889e+1
215,1.915e+2,,1.915e+2
215.005,1.139e+3,,1.139e+3
215.01,6.084e+3,,6.084e+3
215.015,2.916e+4,,2.916e+4
215.02,1.254e+5,,1.254e+5
215.025,4.844e+5,,4.844e+5
215.03,1.679e+6,,1.679e+6
215.035,5.222e+6,,5.222e+6
215.04,1.458e+7,,1.458e+7
215.045,3.654e+7,,3.654e+7
215.05,8.219e+7,,8.219e+7
215.055,1.659e+8,,1.659e+8
215.06,3.007e+8,,3.007e+8
215.065,4.890e+8,,4.890e+8
215.07,7.139e+8,,7.139e+8
215.075,9.353e+8,,9.353e+8
215.08,1.100e+9,,1.100e+9
215.085,1.161e+9,,1.161e+9
215.09,1.101e+9,,1.101e+9
215.095,9.393e+8,,9.393e+8
215.1,7.264e+8,,7.264e+8
215.105,5.247e+8,,5.247e+8
215.11,3.919e+8,,3.919e+8
215.115,3.755e+8,,3.755e+8
215.12,5.144e+8,,5.144e+8
215.125,8.365e+8,,8.365e+8
215.13,1.344e+9,,1.344e+9
215.135,1.987e+9,,1.987e+9
215.14,2.655e+9,,2.655e+9
215.145,3.189e+9,,3.189e+9
215.15,3.439e+9,,3.439e+9
215.155,3.329e+9,,3.329e+9
215.16,2.893e+9,,2.893e+9
215.165,2.256e+9,,2.256e+9
215.17,1.580e+9,,1.580e+9
215.175,9.929e+8,,9.929e+8
215.18,5.601e+8,,5.601e+8
215.185,2.836e+8,,2.836e+8
215.19,1.289e+8,,1.289e+8
215.195,5.260e+7,,5.260e+7
215.2,1.926e+7,,1.926e+7
215.205,6.332e+6,,6.332e+6
215.21,1.868e+6,,1.868e+6
215.215,4.948e+5,,4.948e+5
215.22,1.176e+5,,1.176e+5
215.225,2.510e+4,,2.510e+4
215.23,4.808e+3,,4.808e+3
215.235,8.267e+2,,8.267e+2
215.24,1.276e+2,,1.276e+2
215.245,1.767e+1,,1.767e+1
215.25,2.198e+0,,2.198e+0
215.255,2.453e-1,,2.453e-1
215.26,2.458e-2,,2.458e-2
215.265,2.210e-3,,2.210e-3
215.27,1.784e-4,,1.784e-4
215.275,1.293e-5,,1.293e-5
215.28,8.408e-7,,8.408e-7
219.801,2.024e-7,2.024e-7,
219.806,3.068e-6,3.068e-6,
219.811,4.194e-5,4.194e-5,
219.816,5.171e-4,5.171e-4,
219.821,5.748e-3,5.748e-3,
219.826,5.762e-2,5.762e-2,
219.831,5.210e-1,5.210e-1,
219.836,4.247e+0,4.247e+0,
219.841,3.123e+1,3.123e+1,
219.846,2.070e+2,2.070e+2,
219.851,1.238e+3,1.238e+3,
219.856,6.674e+3,6.674e+3,
219.861,3.245e+4,3.245e+4,
219.866,1.423e+5,1.423e+5,
219.871,5.627e+5,5.627e+5,
219.876,2.006e+6,2.006e+6,
219.881,6.452e+6,6.452e+6,
219.886,1.871e+7,1.871e+7,
219.891,4.893e+7,4.893e+7,
219.896,1.154e+8,1.154e+8,
219.901,2.454e+8,2.454e+8,
219.906,4.707e+8,4.707e+8,
219.911,8.141e+8,8.141e+8,
219.916,1.270e+9,1.270e+9,
219.921,1.786e+9,1.786e+9,
219.926,2.265e+9,2.265e+9,
219.931,2.591e+9,2.591e+9,
219.936,2.672e+9,2.672e+9,
219.941,2.486e+9,2.486e+9,
219.946,2.085e+9,2.085e+9,
219.951,1.577e+9,1.577e+9,
219.956,1.076e+9,1.076e+9,
219.961,6.620e+8,6.620e+8,
219.966,3.673e+8,3.673e+8,
219.971,1.837e+8,1.837e+8,
219.976,8.290e+7,8.290e+7,
219.981,3.373e+7,3.373e+7,
219.986,1.237e+7,1.237e+7,
219.991,4.094e+6,4.094e+6,
219.996,1.222e+6,1.222e+6,
220.001,3.287e+5,3.287e+5,
220.006,7.976e+4,7.976e+4,
220.011,1.745e+4,1.745e+4,
220.016,3.444e+3,3.444e+3,
220.021,6.129e+2,6.129e+2,
220.026,9.836e+1,9.836e+1,
220.031,1.423e+1,1.423e+1,
220.036,1.858e+0,1.858e+0,
220.041,2.186e-1,2.186e-1,
220.046,2.320e-2,2.320e-2,
220.051,2.221e-3,2.221e-3,
220.056,1.917e-4,1.917e-4,
220.061,1.492e-5,1.492e-5,
220.066,1.047e-6,1.047e-6,
220.832,4.530e-7,4.530e-7,
220.837,6.695e-6,6.695e-6,
220.842,8.932e-5,8.932e-5,
220.847,1.076e-3,1.076e-3,
220.852,1.169e-2,1.169e-2,
220.857,1.147e-1,1.147e-1,
220.862,1.016e+0,1.016e+0,
220.867,8.124e+0,8.124e+0,
220.872,5.863e+1,5.863e+1,
220.877,3.819e+2,3.819e+2,
220.882,2.246e+3,2.246e+3,
220.887,1.192e+4,1.192e+4,
220.892,5.711e+4,5.711e+4,
220.897,2.470e+5,2.470e+5,
220.902,9.643e+5,9.643e+5,
220.907,3.398e+6,3.398e+6,
220.912,1.081e+7,1.081e+7,
220.917,3.104e+7,3.104e+7,
220.922,8.044e+7,8.044e+7,
220.927,1.882e+8,1.882e+8,
220.932,3.974e+8,3.974e+8,
220.937,7.576e+8,7.576e+8,
220.942,1.304e+9,1.304e+9,
220.947,2.025e+9,2.025e+9,
220.952,2.839e+9,2.839e+9,
220.957,3.593e+9,3.593e+9,
220.962,4.104e+9,4.104e+9,
220.967,4.233e+9,4.233e+9,
220.972,3.940e+9,3.940e+9,
220.977,3.310e+9,3.310e+9,
220.982,2.511e+9,2.511e+9,
220.987,1.719e+9,1.719e+9,
220.992,1.062e+9,1.062e+9,
220.997,5.925e+8,5.925e+8,
221.002,2.984e+8,2.984e+8,
221.007,1.356e+8,1.356e+8,
221.012,5.564e+7,5.564e+7,
221.017,2.060e+7,2.060e+7,
221.022,6.888e+6,6.888e+6,
221.027,2.079e+6,2.079e+6,
221.032,5.662e+5,5.662e+5,
221.037,1.392e+5,1.392e+5,
221.042,3.089e+4,3.089e+4,
221.047,6.189e+3,6.189e+3,
221.052,1.119e+3,1.119e+3,
221.057,1.827e+2,1.827e+2,
221.062,2.692e+1,2.692e+1,
221.067,3.581e+0,3.581e+0,
221.072,4.299e-1,4.299e-1,
221.077,4.659e-2,4.659e-2,
221.082,4.557e-3,4.557e-3,
221.087,4.024e-4,4.024e-4,
221.092,3.208e-5,3.208e-5,
221.097,2.308e-6,2.308e-6,
224.468,4.751e-7,4.751e-7,
224.473,6.971e-6,6.971e-6,
224.478,9.263e-5,9.263e-5,
224.483,1.115e-3,1.115e-3,
224.488,1.215e-2,1.215e-2,
224.493,1.199e-1,1.199e-1,
224.498,1.072e+0,1.072e+0,
224.503,8.676e+0,8.676e+0,
224.508,6.361e+1,6.361e+1,
224.513,4.223e+2,4.223e+2,
224.518,2.540e+3,2.540e+3,
224.523,1.383e+4,1.383e+4,
224.528,6.821e+4,6.821e+4,
224.533,3.046e+5,3.046e+5,
224.538,1.232e+6,1.232e+6,
224.543,4.514e+6,4.514e+6,
224.548,1.498e+7,1.498e+7,
224.553,4.500e+7,4.500e+7,
224.558,1.224e+8,1.224e+8,
224.563,3.018e+8,3.018e+8,
224.568,6.735e+8,6.735e+8,
224.573,1.361e+9,1.361e+9,
224.578,2.492e+9,2.492e+9,
224.583,4.131e+9,4.131e+9,
224.588,6.201e+9,6.201e+9,
224.593,8.432e+9,8.432e+9,
224.598,1.038e+10,1.038e+10,
224.603,1.158e+10,1.158e+10,
224.608,1.169e+10,1.169e+10,
224.613,1.070e+10,1.070e+10,
224.618,8.860e+9,8.860e+9,
224.623,6.647e+9,6.647e+9,
224.628,4.516e+9,4.516e+9,
224.633,2.779e+9,2.779e+9,
224.638,1.548e+9,1.548e+9,
224.643,7.814e+8,7.814e+8,
224.648,3.571e+8,3.571e+8,
224.653,1.478e+8,1.478e+8,
224.658,5.541e+7,5.541e+7,
224.663,1.881e+7,1.881e+7,
224.668,5.784e+6,5.784e+6,
224.673,1.610e+6,1.610e+6,
224.678,4.061e+5,4.061e+5,
224.683,9.274e+4,9.274e+4,
224.688,1.918e+4,1.918e+4,
224.693,3.593e+3,3.593e+3,
224.698,6.094e+2,6.094e+2,
224.703,9.362e+1,9.362e+1,
224.708,1.303e+1,1.303e+1,
224.713,1.641e+0,1.641e+0,
224.718,1.873e-1,1.873e-1,
224.723,1.936e-2,1.936e-2,
224.728,1.812e-3,1.812e-3,
224.733,1.536e-4,1.536e-4,
224.738,1.179e-5,1.179e-5,
224.743,8.195e-7,8.195e-7,
226.463,7.851e-8,,7.851e-8
