Wavelength (nm),Sum(calc),Ti I (1.8e-2),Ti II (9.6e-1),Ti III (2.1e-2)
200.605,3.304e-14,,,3.304e-14
200.610,8.017e-13,,,8.017e-13
200.615,1.718e-11,,,1.718e-11
200.620,3.253e-10,,,3.253e-10
200.625,5.440e-9,,,5.440e-9
200.630,8.035e-8,,,8.035e-8
200.635,1.048e-6,,,1.048e-6
200.640,1.208e-5,,,1.208e-5
200.645,1.230e-4,,,1.230e-4
200.650,1.106e-3,,,1.106e-3
200.655,8.784e-3,,,8.784e-3
200.660,6.162e-2,,,6.162e-2
200.665,3.819e-1,,,3.819e-1
200.670,2.090e+0,,,2.090e+0
200.675,1.011e+1,,,1.011e+1
200.680,4.317e+1,,,4.317e+1
200.685,1.629e+2,,,1.629e+2
200.690,5.428e+2,,,5.428e+2
200.695,1.598e+3,,,1.598e+3
200.700,4.158e+3,,,4.158e+3
200.705,9.561e+3,,,9.561e+3
200.710,1.944e+4,,,1.944e+4
200.715,3.495e+4,,,3.495e+4
200.720,5.569e+4,,,5.569e+4
200.725,7.875e+4,,,7.875e+4
200.730,9.921e+4,,,9.921e+4
200.735,1.120e+5,,,1.120e+5
200.740,1.144e+5,,,1.144e+5
200.745,1.071e+5,,,1.071e+5
200.750,9.353e+4,,,9.353e+4
200.755,7.737e+4,,,7.737e+4
200.760,6.123e+4,,,6.123e+4
200.765,4.625e+4,,,4.625e+4
200.770,3.293e+4,,,3.293e+4
200.775,2.173e+4,,,2.173e+4
200.780,1.308e+4,,,1.308e+4
200.785,7.095e+3,,,7.095e+3
200.790,3.441e+3,,,3.441e+3
200.795,1.484e+3,,,1.484e+3
200.800,5.680e+2,,,5.680e+2
200.805,1.924e+2,,,1.924e+2
200.810,5.767e+1,,,5.767e+1
200.815,1.528e+1,,,1.528e+1
200.820,3.576e+0,,,3.576e+0
200.825,7.397e-1,,,7.397e-1
200.830,1.352e-1,,,1.352e-1
200.835,2.182e-2,,,2.182e-2
200.840,3.111e-3,,,3.111e-3
200.845,3.919e-4,,,3.919e-4
200.850,4.360e-5,,,4.360e-5
200.855,4.286e-6,,,4.286e-6
200.860,3.721e-7,,,3.721e-7
200.865,2.853e-8,,,2.853e-8
200.870,1.933e-9,,,1.933e-9
200.875,1.157e-10,,,1.157e-10
200.880,6.114e-12,,,6.114e-12
200.885,2.855e-13,,,2.855e-13
200.949,6.051e-14,,,6.051e-14
200.954,1.452e-12,,,1.452e-12
200.959,3.080e-11,,,3.080e-11
200.964,5.772e-10,,,5.772e-10
200.969,9.560e-9,,,9.560e-9
200.974,1.399e-7,,,1.399e-7
200.979,1.809e-6,,,1.809e-6
200.984,2.068e-5,,,2.068e-5
200.989,2.089e-4,,,2.089e-4
200.994,1.864e-3,,,1.864e-3
200.999,1.470e-2,,,1.470e-2
201.004,1.024e-1,,,1.024e-1
201.009,6.309e-1,,,6.309e-1
201.014,3.433e+0,,,3.433e+0
201.019,1.651e+1,,,1.651e+1
201.024,7.016e+1,,,7.016e+1
201.029,2.635e+2,,,2.635e+2
201.034,8.743e+2,,,8.743e+2
201.039,2.564e+3,,,2.564e+3
201.044,6.644e+3,,,6.644e+3
201.049,1.522e+4,,,1.522e+4
201.054,3.079e+4,,,3.079e+4
201.059,5.506e+4,,,5.506e+4
201.064,8.700e+4,,,8.700e+4
201.069,1.215e+5,,,1.215e+5
201.074,1.499e+5,,,1.499e+5
201.079,1.635e+5,,,1.635e+5
201.084,1.575e+5,,,1.575e+5
201.089,1.341e+5,,,1.341e+5
201.094,1.009e+5,,,1.009e+5
201.099,6.710e+4,,,6.710e+4
201.104,3.943e+4,,,3.943e+4
201.109,2.047e+4,,,2.047e+4
201.114,9.393e+3,,,9.393e+3
201.119,3.809e+3,,,3.809e+3
201.124,1.365e+3,,,1.365e+3
201.129,4.321e+2,,,4.321e+2
201.134,1.209e+2,,,1.209e+2
201.139,2.989e+1,,,2.989e+1
201.144,6.531e+0,,,6.531e+0
201.149,1.261e+0,,,1.261e+0
201.154,2.151e-1,,,2.151e-1
201.159,3.243e-2,,,3.243e-2
201.164,4.321e-3,,,4.321e-3
201.169,5.088e-4,,,5.088e-4
201.174,5.293e-5,,,5.293e-5
201.179,4.866e-6,,,4.866e-6
201.184,3.954e-7,,,3.954e-7
201.189,2.838e-8,,,2.838e-8
201.194,1.801e-9,,,1.801e-9
201.199,1.010e-10,,,1.010e-10
201.204,5.001e-12,,,5.001e-12
201.209,2.189e-13,,,2.189e-13
201.214,8.470e-15,,,8.470e-15
209.591,2.324e-14,,,2.324e-14
209.596,5.175e-13,,,5.175e-13
209.601,1.029e-11,,,1.029e-11
209.606,1.825e-10,,,1.825e-10
209.611,2.889e-9,,,2.889e-9
209.616,4.084e-8,,,4.084e-8
209.621,5.151e-7,,,5.151e-7
209.626,5.800e-6,,,5.800e-6
209.631,5.829e-5,,,5.829e-5
209.636,5.228e-4,,,5.228e-4
209.641,4.185e-3,,,4.185e-3
209.646,2.991e-2,,,2.991e-2
209.651,1.907e-1,,,1.907e-1
209.656,1.086e+0,,,1.086e+0
209.661,5.517e+0,,,5.517e+0
209.666,2.502e+1,,,2.502e+1
209.671,1.013e+2,,,1.013e+2
209.676,3.659e+2,,,3.659e+2
209.681,1.180e+3,,,1.180e+3
209.686,3.396e+3,,,3.396e+3
209.691,8.723e+3,,,8.723e+3
209.696,2.000e+4,,,2.000e+4
209.701,4.093e+4,,,4.093e+4
209.706,7.476e+4,,,7.476e+4
209.711,1.219e+5,,,1.219e+5
209.716,1.774e+5,,,1.774e+5
209.721,2.304e+5,,,2.304e+5
209.726,2.671e+5,,,2.671e+5
209.731,2.763e+5,,,2.763e+5
209.736,2.552e+5,,,2.552e+5
209.741,2.103e+5,,,2.103e+5
209.746,1.548e+5,,,1.548e+5
209.751,1.016e+5,,,1.016e+5
209.756,5.956e+4,,,5.956e+4
209.761,3.116e+4,,,3.116e+4
209.766,1.455e+4,,,1.455e+4
209.771,6.063e+3,,,6.063e+3
209.776,2.255e+3,,,2.255e+3
209.781,7.488e+2,,,7.488e+2
209.786,2.219e+2,,,2.219e+2
209.791,5.869e+1,,,5.869e+1
209.796,1.385e+1,,,1.385e+1
209.801,2.919e+0,,,2.919e+0
209.806,5.490e-1,,,5.490e-1
209.811,9.215e-2,,,9.215e-2
209.816,1.381e-2,,,1.381e-2
209.821,1.846e-3,,,1.846e-3
209.826,2.204e-4,,,2.204e-4
209.831,2.348e-5,,,2.348e-5
209.836,2.232e-6,,,2.232e-6
209.841,1.894e-7,,,1.894e-7
209.846,1.435e-8,,,1.435e-8
209.851,9.704e-10,,,9.704e-10
209.856,6.199e-11,,,6.199e-11
