Wavelength (nm),Sum,Zn I (1.1e-01),Zn II (8.9e-01)
202.426,3.791e-4,,3.791e-4
202.431,6.978e-3,,6.978e-3
202.436,1.137e-1,,1.137e-1
202.441,1.640e+0,,1.640e+0
202.446,2.095e+1,,2.095e+1
202.451,2.369e+2,,2.369e+2
202.456,2.371e+3,,2.371e+3
202.461,2.100e+4,,2.100e+4
202.466,1.647e+5,,1.647e+5
202.471,1.144e+6,,1.144e+6
202.476,7.031e+6,,7.031e+6
202.481,3.826e+7,,3.826e+7
202.486,1.843e+8,,1.843e+8
202.491,7.860e+8,,7.860e+8
202.496,2.967e+9,,2.967e+9
202.501,9.916e+9,,9.916e+9
202.506,2.934e+10,,2.934e+10
202.511,7.683e+10,,7.683e+10
202.516,1.781e+11,,1.781e+11
202.521,3.656e+11,,3.656e+11
202.526,6.643e+11,,6.643e+11
202.531,1.069e+12,,1.069e+12
202.536,1.522e+12,,1.522e+12
202.541,1.918e+12,,1.918e+12
202.546,2.141e+12,,2.141e+12
202.551,2.115e+12,,2.115e+12
202.556,1.849e+12,,1.849e+12
202.561,1.432e+12,,1.432e+12
202.566,9.812e+11,,9.812e+11
202.571,5.953e+11,,5.953e+11
202.576,3.198e+11,,3.198e+11
202.581,1.520e+11,,1.520e+11
202.586,6.400e+10,,6.400e+10
202.591,2.385e+10,,2.385e+10
202.596,7.866e+9,,7.866e+9
202.601,2.297e+9,,2.297e+9
202.606,5.938e+8,,5.938e+8
202.611,1.359e+8,,1.359e+8
202.616,2.753e+7,,2.753e+7
202.621,4.938e+6,,4.938e+6
202.626,7.840e+5,,7.840e+5
202.631,1.102e+5,,1.102e+5
202.636,1.371e+4,,1.371e+4
202.641,1.510e+3,,1.510e+3
202.646,1.473e+2,,1.473e+2
202.651,1.271e+1,,1.271e+1
202.656,9.714e-1,,9.714e-1
202.661,6.571e-2,,6.571e-2
202.666,3.935e-3,,3.935e-3
202.671,2.086e-4,,2.086e-4
206.077,3.883e-4,,3.883e-4
206.082,6.607e-3,,6.607e-3
206.087,9.994e-2,,9.994e-2
206.092,1.344e+0,,1.344e+0
206.097,1.607e+1,,1.607e+1
206.102,1.708e+2,,1.708e+2
206.107,1.614e+3,,1.614e+3
206.112,1.356e+4,,1.356e+4
206.117,1.013e+5,,1.013e+5
206.122,6.729e+5,,6.729e+5
206.127,3.973e+6,,3.973e+6
206.132,2.085e+7,,2.085e+7
206.137,9.733e+7,,9.733e+7
206.142,4.038e+8,,4.038e+8
206.147,1.490e+9,,1.490e+9
206.152,4.885e+9,,4.885e+9
206.157,1.424e+10,,1.424e+10
206.162,3.693e+10,,3.693e+10
206.167,8.510e+10,,8.510e+10
206.172,1.744e+11,,1.744e+11
206.177,3.176e+11,,3.176e+11
206.182,5.144e+11,,5.144e+11
206.187,7.407e+11,,7.407e+11
206.192,9.482e+11,,9.482e+11
206.197,1.079e+12,,1.079e+12
206.202,1.092e+12,,1.092e+12
206.207,9.822e+11,,9.822e+11
206.212,7.856e+11,,7.856e+11
206.217,5.586e+11,,5.586e+11
206.222,3.531e+11,,3.531e+11
206.227,1.984e+11,,1.984e+11
206.232,9.916e+10,,9.916e+10
206.237,4.405e+10,,4.405e+10
206.242,1.740e+10,,1.740e+10
206.247,6.109e+9,,6.109e+9
206.252,1.907e+9,,1.907e+9
206.257,5.292e+8,,5.292e+8
206.262,1.306e+8,,1.306e+8
206.267,2.865e+7,,2.865e+7
206.272,5.587e+6,,5.587e+6
206.277,9.688e+5,,9.688e+5
206.282,1.494e+5,,1.494e+5
206.287,2.047e+4,,2.047e+4
206.292,2.494e+3,,2.494e+3
206.297,2.702e+2,,2.702e+2
206.302,2.602e+1,,2.602e+1
206.307,2.229e+0,,2.229e+0
206.312,1.714e-1,,1.714e-1
206.317,3.433e-2,,3.433e-2
206.322,2.600e-1,,2.600e-1
206.327,2.616e+0,,2.616e+0
206.332,2.348e+1,,2.348e+1
206.337,1.874e+2,,1.874e+2
206.342,1.330e+3,,1.330e+3
206.347,8.391e+3,,8.391e+3
206.352,4.709e+4,,4.709e+4
206.357,2.350e+5,,2.350e+5
206.362,1.043e+6,,1.043e+6
206.367,4.117e+6,,4.117e+6
206.372,1.445e+7,,1.445e+7
206.377,4.510e+7,,4.510e+7
206.382,1.252e+8,,1.252e+8
206.387,3.090e+8,,3.090e+8
206.392,6.782e+8,,6.782e+8
206.397,1.324e+9,,1.324e+9
206.402,2.298e+9,,2.298e+9
206.407,3.548e+9,,3.548e+9
206.412,4.870e+9,,4.870e+9
206.417,5.945e+9,,5.945e+9
206.422,6.454e+9,,6.454e+9
206.427,6.231e+9,,6.231e+9
206.432,5.349e+9,,5.349e+9
206.437,4.084e+9,,4.084e+9
206.442,2.773e+9,,2.773e+9
206.447,1.674e+9,,1.674e+9
206.452,8.988e+8,,8.988e+8
206.457,4.292e+8,,4.292e+8
206.462,1.822e+8,,1.822e+8
206.467,6.881e+7,,6.881e+7
206.472,2.310e+7,,2.310e+7
206.477,6.899e+6,,6.899e+6
206.482,1.832e+6,,1.832e+6
206.487,4.326e+5,,4.326e+5
206.492,9.085e+4,,9.085e+4
206.497,1.697e+4,,1.697e+4
206.502,2.818e+3,,2.818e+3
206.507,4.161e+2,,4.161e+2
206.512,5.465e+1,,5.465e+1
206.517,6.383e+0,,6.383e+0
206.522,6.629e-1,,6.629e-1
206.527,6.123e-2,,6.123e-2
206.532,5.029e-3,,5.029e-3
206.537,3.673e-4,,3.673e-4
206.542,2.386e-5,,2.386e-5
206.547,1.378e-6,,1.378e-6
209.868,2.625e-6,,2.625e-6
209.873,4.320e-5,,4.320e-5
209.878,6.347e-4,,6.347e-4
209.883,8.325e-3,,8.325e-3
209.888,9.748e-2,,9.748e-2
209.893,1.019e+0,,1.019e+0
209.898,9.513e+0,,9.513e+0
209.903,7.928e+1,,7.928e+1
209.908,5.899e+2,,5.899e+2
209.913,3.918e+3,,3.918e+3
209.918,2.324e+4,,2.324e+4
209.923,1.231e+5,,1.231e+5
209.928,5.817e+5,,5.817e+5
209.933,2.455e+6,,2.455e+6
209.938,9.252e+6,,9.252e+6
209.943,3.113e+7,,3.113e+7
209.948,9.350e+7,,9.350e+7
209.953,2.507e+8,,2.507e+8
209.958,6.003e+8,,6.003e+8
209.963,1.283e+9,,1.283e+9
209.968,2.449e+9,,2.449e+9
209.973,4.173e+9,,4.173e+9
209.978,6.348e+9,,6.348e+9
209.983,8.621e+9,,8.621e+9
209.988,1.045e+10,,1.045e+10
209.993,1.132e+10,,1.132e+10
209.998,1.094e+10,,1.094e+10
210.003,9.440e+9,,9.440e+9
210.008,7.273e+9,,7.273e+9
